sk_order,order_number,order_type,priority_level,sales_channel,order_status
55,ORD-0000055,Express,Low,E-commerce,Delivered
56,ORD-0000056,Standard,Critical,B2B,Delivered
57,ORD-0000057,Backorder,High,EDI,Cancelled
58,ORD-0000058,Standard,High,B2B,Delivered
59,ORD-0000059,Express,High,E-commerce,Delivered
60,ORD-0000060,Express,Medium,E-commerce,Delivered
61,ORD-0000061,Standard,High,B2B,Delivered
62,ORD-0000062,Backorder,Low,EDI,Delivered
63,ORD-0000063,Backorder,Medium,EDI,Delivered
64,ORD-0000064,Standard,Critical,B2B,Delivered
65,ORD-0000065,Standard,Critical,B2B,Delivered
66,ORD-0000066,Backorder,High,EDI,Delivered
67,ORD-0000067,Backorder,Critical,EDI,Delivered
68,ORD-0000068,Express,Medium,E-commerce,In Transit
69,ORD-0000069,Backorder,Medium,EDI,Delivered
70,ORD-0000070,Express,Critical,E-commerce,Delivered
71,ORD-0000071,Backorder,Critical,EDI,Delivered
72,ORD-0000072,Backorder,Critical,EDI,Delivered
73,ORD-0000073,Backorder,Low,EDI,In Transit
74,ORD-0000074,Express,Medium,E-commerce,Delivered
75,ORD-0000075,Backorder,Critical,EDI,Delivered
76,ORD-0000076,Standard,High,B2B,Delivered
77,ORD-0000077,Backorder,Critical,EDI,In Transit
78,ORD-0000078,Backorder,High,EDI,Delivered
79,ORD-0000079,Standard,Medium,B2B,Delivered
80,ORD-0000080,Express,Medium,E-commerce,Returned
81,ORD-0000081,Standard,High,B2B,In Transit
82,ORD-0000082,Express,Low,E-commerce,Delivered
83,ORD-0000083,Express,Medium,E-commerce,Delivered
84,ORD-0000084,Standard,Low,B2B,Delivered
85,ORD-0000085,Backorder,High,EDI,Delivered
86,ORD-0000086,Standard,Medium,B2B,Delivered
87,ORD-0000087,Express,High,E-commerce,Delivered
88,ORD-0000088,Express,Medium,E-commerce,Delivered
89,ORD-0000089,Express,High,E-commerce,Delivered
90,ORD-0000090,Backorder,High,EDI,Delivered
91,ORD-0000091,Express,Low,E-commerce,Delivered
92,ORD-0000092,Backorder,Critical,EDI,Delivered
93,ORD-0000093,Standard,Medium,B2B,In Transit
94,ORD-0000094,Express,High,E-commerce,In Transit
95,ORD-0000095,Standard,Critical,B2B,Delivered
96,ORD-0000096,Standard,High,B2B,Delivered
97,ORD-0000097,Standard,High,B2B,In Transit
98,ORD-0000098,Express,Medium,E-commerce,In Transit
99,ORD-0000099,Standard,High,B2B,Cancelled
100,ORD-0000100,Express,Medium,E-commerce,Delivered
101,ORD-0000101,Express,Medium,E-commerce,Delivered
102,ORD-0000102,Standard,Low,B2B,In Transit
103,ORD-0000103,Standard,Critical,B2B,Delivered
104,ORD-0000104,Standard,Medium,B2B,Delivered
105,ORD-0000105,Backorder,Low,EDI,Delivered
106,ORD-0000106,Standard,Medium,B2B,Delivered
107,ORD-0000107,Backorder,Critical,EDI,Delivered
108,ORD-0000108,Express,Medium,E-commerce,Delivered
109,ORD-0000109,Backorder,Medium,EDI,Delivered
110,ORD-0000110,Backorder,High,EDI,Delivered
111,ORD-0000111,Backorder,Critical,EDI,Delivered
112,ORD-0000112,Express,Critical,E-commerce,Delivered
113,ORD-0000113,Standard,Critical,B2B,Delivered
114,ORD-0000114,Express,Low,E-commerce,Delivered
115,ORD-0000115,Express,High,E-commerce,Delivered
116,ORD-0000116,Express,Low,E-commerce,Delivered
117,ORD-0000117,Standard,Low,B2B,In Transit
118,ORD-0000118,Backorder,High,EDI,Delivered
119,ORD-0000119,Backorder,High,EDI,Delivered
120,ORD-0000120,Express,Critical,E-commerce,Delivered
121,ORD-0000121,Standard,Low,B2B,In Transit
122,ORD-0000122,Standard,Critical,B2B,Delivered
123,ORD-0000123,Standard,Critical,B2B,Delivered
124,ORD-0000124,Express,Medium,E-commerce,Delivered
125,ORD-0000125,Backorder,Critical,EDI,Delivered
126,ORD-0000126,Express,Medium,E-commerce,Delivered
127,ORD-0000127,Backorder,Low,EDI,In Transit
128,ORD-0000128,Standard,Medium,B2B,Delivered
129,ORD-0000129,Express,Low,E-commerce,Delivered
130,ORD-0000130,Express,Medium,E-commerce,In Transit
131,ORD-0000131,Express,Low,E-commerce,In Transit
132,ORD-0000132,Express,Medium,E-commerce,Delivered
133,ORD-0000133,Backorder,Critical,EDI,In Transit
134,ORD-0000134,Express,High,E-commerce,Delivered
135,ORD-0000135,Standard,Medium,B2B,In Transit
136,ORD-0000136,Standard,High,B2B,Delivered
137,ORD-0000137,Express,Medium,E-commerce,In Transit
138,ORD-0000138,Standard,Medium,B2B,Delivered
139,ORD-0000139,Standard,Medium,B2B,Delivered
140,ORD-0000140,Express,High,E-commerce,In Transit
141,ORD-0000141,Standard,High,B2B,Cancelled
142,ORD-0000142,Standard,Low,B2B,Delivered
143,ORD-0000143,Express,Critical,E-commerce,Delivered
144,ORD-0000144,Backorder,Medium,EDI,Delivered
145,ORD-0000145,Backorder,High,EDI,Cancelled
146,ORD-0000146,Standard,Medium,B2B,Delivered
147,ORD-0000147,Standard,High,B2B,In Transit
148,ORD-0000148,Standard,High,B2B,Delivered
149,ORD-0000149,Standard,Medium,B2B,In Transit
150,ORD-0000150,Express,Medium,E-commerce,Delivered
151,ORD-0000151,Backorder,Low,EDI,Delivered
152,ORD-0000152,Backorder,Critical,EDI,Delivered
153,ORD-0000153,Standard,High,B2B,Delivered
154,ORD-0000154,Express,Low,E-commerce,In Transit
155,ORD-0000155,Standard,Medium,B2B,Delivered
156,ORD-0000156,Standard,High,B2B,Delivered
157,ORD-0000157,Standard,Low,B2B,Delivered
158,ORD-0000158,Backorder,Medium,EDI,Delivered
159,ORD-0000159,Backorder,High,EDI,Delivered
160,ORD-0000160,Backorder,Medium,EDI,Delivered
161,ORD-0000161,Backorder,High,EDI,Delivered
162,ORD-0000162,Express,Low,E-commerce,Delivered
163,ORD-0000163,Express,Low,E-commerce,Delivered
164,ORD-0000164,Backorder,High,EDI,Delivered
165,ORD-0000165,Standard,Medium,B2B,Delivered
166,ORD-0000166,Backorder,Low,EDI,Delivered
167,ORD-0000167,Standard,High,B2B,Delivered
168,ORD-0000168,Express,Low,E-commerce,Delivered
169,ORD-0000169,Backorder,Critical,EDI,Delivered
170,ORD-0000170,Standard,Critical,B2B,In Transit
171,ORD-0000171,Standard,Low,B2B,Delivered
172,ORD-0000172,Backorder,Medium,EDI,Delivered
173,ORD-0000173,Express,Low,E-commerce,Delivered
174,ORD-0000174,Backorder,Critical,EDI,Delivered
175,ORD-0000175,Backorder,Low,EDI,Delivered
176,ORD-0000176,Backorder,Low,EDI,Delivered
177,ORD-0000177,Backorder,Medium,EDI,Delivered
178,ORD-0000178,Standard,Medium,B2B,Delivered
179,ORD-0000179,Standard,Medium,B2B,Delivered
180,ORD-0000180,Backorder,Critical,EDI,Returned
181,ORD-0000181,Standard,Medium,B2B,Delivered
182,ORD-0000182,Standard,Critical,B2B,In Transit
183,ORD-0000183,Backorder,High,EDI,Delivered
184,ORD-0000184,Backorder,Medium,EDI,Delivered
185,ORD-0000185,Standard,Low,B2B,Delivered
186,ORD-0000186,Standard,Critical,B2B,In Transit
187,ORD-0000187,Standard,High,B2B,Delivered
188,ORD-0000188,Standard,Low,B2B,Returned
189,ORD-0000189,Express,Critical,E-commerce,Delivered
190,ORD-0000190,Backorder,Low,EDI,Delivered
191,ORD-0000191,Standard,High,B2B,In Transit
192,ORD-0000192,Standard,High,B2B,Delivered
193,ORD-0000193,Backorder,Critical,EDI,Delivered
194,ORD-0000194,Express,High,E-commerce,Delivered
195,ORD-0000195,Express,High,E-commerce,Delivered
196,ORD-0000196,Express,Medium,E-commerce,Delivered
197,ORD-0000197,Backorder,Critical,EDI,Delivered
198,ORD-0000198,Standard,Medium,B2B,Delivered
199,ORD-0000199,Express,Critical,E-commerce,Delivered
200,ORD-0000200,Express,Critical,E-commerce,Delivered
201,ORD-0000201,Express,High,E-commerce,Delivered
202,ORD-0000202,Standard,Medium,B2B,Delivered
203,ORD-0000203,Standard,Medium,B2B,Delivered
204,ORD-0000204,Express,Medium,E-commerce,Delivered
205,ORD-0000205,Standard,Low,B2B,Delivered
206,ORD-0000206,Backorder,Medium,EDI,Delivered
207,ORD-0000207,Standard,Medium,B2B,Delivered
208,ORD-0000208,Backorder,Critical,EDI,Delivered
209,ORD-0000209,Backorder,Low,EDI,Delivered
210,ORD-0000210,Backorder,Low,EDI,Delivered
211,ORD-0000211,Express,High,E-commerce,Delivered
212,ORD-0000212,Standard,Medium,B2B,Delivered
213,ORD-0000213,Express,Critical,E-commerce,Delivered
214,ORD-0000214,Standard,Medium,B2B,Delivered
215,ORD-0000215,Standard,Medium,B2B,In Transit
216,ORD-0000216,Backorder,Low,EDI,Delivered
217,ORD-0000217,Backorder,High,EDI,In Transit
218,ORD-0000218,Standard,High,B2B,Delivered
219,ORD-0000219,Backorder,Medium,EDI,Returned
220,ORD-0000220,Backorder,High,EDI,Delivered
221,ORD-0000221,Standard,High,B2B,Delivered
222,ORD-0000222,Express,Critical,E-commerce,Delivered
223,ORD-0000223,Backorder,Low,EDI,Delivered
224,ORD-0000224,Express,Critical,E-commerce,Delivered
225,ORD-0000225,Backorder,High,EDI,Delivered
226,ORD-0000226,Backorder,Critical,EDI,Returned
227,ORD-0000227,Backorder,High,EDI,Delivered
228,ORD-0000228,Backorder,High,EDI,Delivered
229,ORD-0000229,Standard,Medium,B2B,Delivered
230,ORD-0000230,Standard,Low,B2B,Delivered
231,ORD-0000231,Backorder,Critical,EDI,Delivered
232,ORD-0000232,Express,High,E-commerce,Delivered
233,ORD-0000233,Backorder,Critical,EDI,In Transit
234,ORD-0000234,Standard,Critical,B2B,Cancelled
235,ORD-0000235,Standard,Critical,B2B,Delivered
236,ORD-0000236,Express,Low,E-commerce,Delivered
237,ORD-0000237,Express,Medium,E-commerce,Delivered
238,ORD-0000238,Backorder,Medium,EDI,Delivered
239,ORD-0000239,Standard,High,B2B,Delivered
240,ORD-0000240,Express,Critical,E-commerce,Delivered
241,ORD-0000241,Backorder,Medium,EDI,Delivered
242,ORD-0000242,Express,Low,E-commerce,Delivered
243,ORD-0000243,Express,Medium,E-commerce,Returned
244,ORD-0000244,Backorder,Low,EDI,Delivered
245,ORD-0000245,Backorder,Critical,EDI,Delivered
246,ORD-0000246,Express,Low,E-commerce,Delivered
247,ORD-0000247,Backorder,Medium,EDI,Delivered
248,ORD-0000248,Standard,Medium,B2B,Delivered
249,ORD-0000249,Standard,High,B2B,Delivered
250,ORD-0000250,Express,Critical,E-commerce,Delivered
251,ORD-0000251,Backorder,Low,EDI,Delivered
252,ORD-0000252,Backorder,High,EDI,Delivered
253,ORD-0000253,Standard,High,B2B,Delivered
254,ORD-0000254,Standard,Critical,B2B,Delivered
255,ORD-0000255,Backorder,Critical,EDI,Delivered
256,ORD-0000256,Express,High,E-commerce,Delivered
257,ORD-0000257,Standard,High,B2B,Delivered
258,ORD-0000258,Standard,Critical,B2B,Delivered
259,ORD-0000259,Express,Critical,E-commerce,Delivered
260,ORD-0000260,Standard,High,B2B,Delivered
261,ORD-0000261,Express,Medium,E-commerce,Delivered
262,ORD-0000262,Standard,Critical,B2B,Delivered
263,ORD-0000263,Express,Critical,E-commerce,Delivered
264,ORD-0000264,Backorder,Critical,EDI,Delivered
265,ORD-0000265,Standard,Medium,B2B,Delivered
266,ORD-0000266,Express,Critical,E-commerce,Delivered
267,ORD-0000267,Backorder,Low,EDI,Delivered
268,ORD-0000268,Standard,Critical,B2B,Delivered
269,ORD-0000269,Backorder,High,EDI,Delivered
270,ORD-0000270,Standard,High,B2B,Delivered
271,ORD-0000271,Standard,Critical,B2B,Delivered
272,ORD-0000272,Backorder,Critical,EDI,In Transit
273,ORD-0000273,Standard,Critical,B2B,Delivered
274,ORD-0000274,Backorder,High,EDI,Delivered
275,ORD-0000275,Standard,High,B2B,Delivered
276,ORD-0000276,Backorder,Low,EDI,Delivered
277,ORD-0000277,Standard,Critical,B2B,Delivered
278,ORD-0000278,Standard,Low,B2B,Delivered
279,ORD-0000279,Backorder,Low,EDI,Delivered
280,ORD-0000280,Standard,Critical,B2B,Delivered
281,ORD-0000281,Backorder,Low,EDI,Delivered
282,ORD-0000282,Express,Critical,E-commerce,Delivered
283,ORD-0000283,Backorder,Critical,EDI,In Transit
284,ORD-0000284,Standard,High,B2B,Delivered
285,ORD-0000285,Standard,High,B2B,Delivered
286,ORD-0000286,Backorder,Critical,EDI,Delivered
287,ORD-0000287,Standard,High,B2B,Delivered
288,ORD-0000288,Express,Medium,E-commerce,Delivered
289,ORD-0000289,Backorder,Medium,EDI,Delivered
290,ORD-0000290,Backorder,Critical,EDI,Delivered
291,ORD-0000291,Standard,Low,B2B,Delivered
292,ORD-0000292,Standard,Low,B2B,Delivered
293,ORD-0000293,Backorder,Medium,EDI,Delivered
294,ORD-0000294,Backorder,High,EDI,In Transit
295,ORD-0000295,Backorder,Low,EDI,Delivered
296,ORD-0000296,Express,Low,E-commerce,Delivered
297,ORD-0000297,Express,Medium,E-commerce,Delivered
298,ORD-0000298,Backorder,Low,EDI,Delivered
299,ORD-0000299,Express,Medium,E-commerce,Delivered
300,ORD-0000300,Standard,Medium,B2B,Delivered
301,ORD-0000301,Standard,Critical,B2B,In Transit
302,ORD-0000302,Standard,Low,B2B,Delivered
303,ORD-0000303,Standard,Low,B2B,In Transit
304,ORD-0000304,Backorder,Low,EDI,Delivered
305,ORD-0000305,Backorder,Low,EDI,Delivered
306,ORD-0000306,Express,Low,E-commerce,In Transit
307,ORD-0000307,Standard,Critical,B2B,Delivered
308,ORD-0000308,Standard,Low,B2B,Delivered
309,ORD-0000309,Express,High,E-commerce,In Transit
310,ORD-0000310,Standard,Medium,B2B,Delivered
311,ORD-0000311,Standard,Low,B2B,Delivered
312,ORD-0000312,Backorder,Medium,EDI,Delivered
313,ORD-0000313,Standard,Medium,B2B,Delivered
314,ORD-0000314,Standard,High,B2B,In Transit
315,ORD-0000315,Express,Medium,E-commerce,Delivered
316,ORD-0000316,Standard,Medium,B2B,Delivered
317,ORD-0000317,Standard,Medium,B2B,Delivered
318,ORD-0000318,Backorder,Low,EDI,Delivered
319,ORD-0000319,Backorder,Critical,EDI,Delivered
320,ORD-0000320,Standard,Critical,B2B,Delivered
321,ORD-0000321,Standard,Critical,B2B,Delivered
322,ORD-0000322,Standard,Medium,B2B,Delivered
323,ORD-0000323,Standard,Medium,B2B,Delivered
324,ORD-0000324,Backorder,High,EDI,Delivered
325,ORD-0000325,Standard,Medium,B2B,Delivered
326,ORD-0000326,Backorder,Medium,EDI,Delivered
327,ORD-0000327,Standard,Low,B2B,In Transit
328,ORD-0000328,Express,Critical,E-commerce,Delivered
329,ORD-0000329,Backorder,Medium,EDI,Delivered
330,ORD-0000330,Standard,Low,B2B,Delivered
331,ORD-0000331,Express,Low,E-commerce,Delivered
332,ORD-0000332,Standard,Medium,B2B,Delivered
333,ORD-0000333,Standard,High,B2B,Delivered
334,ORD-0000334,Express,High,E-commerce,Delivered
335,ORD-0000335,Standard,Low,B2B,Delivered
336,ORD-0000336,Standard,Low,B2B,Returned
337,ORD-0000337,Backorder,Critical,EDI,Delivered
338,ORD-0000338,Standard,High,B2B,Delivered
339,ORD-0000339,Backorder,High,EDI,In Transit
340,ORD-0000340,Standard,High,B2B,Delivered
341,ORD-0000341,Express,Critical,E-commerce,Delivered
342,ORD-0000342,Backorder,High,EDI,Delivered
343,ORD-0000343,Express,Medium,E-commerce,Delivered
344,ORD-0000344,Standard,Critical,B2B,Delivered
345,ORD-0000345,Standard,Critical,B2B,In Transit
346,ORD-0000346,Backorder,Critical,EDI,Delivered
347,ORD-0000347,Express,Low,E-commerce,In Transit
348,ORD-0000348,Express,Low,E-commerce,Delivered
349,ORD-0000349,Backorder,Low,EDI,Delivered
350,ORD-0000350,Backorder,High,EDI,Delivered
351,ORD-0000351,Express,High,E-commerce,Delivered
352,ORD-0000352,Backorder,Medium,EDI,Delivered
353,ORD-0000353,Standard,Critical,B2B,In Transit
354,ORD-0000354,Backorder,Critical,EDI,Delivered
355,ORD-0000355,Standard,Critical,B2B,Delivered
356,ORD-0000356,Backorder,High,EDI,Delivered
357,ORD-0000357,Standard,Medium,B2B,Delivered
358,ORD-0000358,Standard,High,B2B,Delivered
359,ORD-0000359,Express,Critical,E-commerce,In Transit
360,ORD-0000360,Standard,High,B2B,Delivered
361,ORD-0000361,Express,High,E-commerce,Delivered
362,ORD-0000362,Express,High,E-commerce,Delivered
363,ORD-0000363,Backorder,Critical,EDI,Delivered
364,ORD-0000364,Standard,Low,B2B,Delivered
365,ORD-0000365,Standard,High,B2B,Delivered
366,ORD-0000366,Backorder,High,EDI,Delivered
367,ORD-0000367,Express,Critical,E-commerce,Delivered
368,ORD-0000368,Standard,Critical,B2B,Delivered
369,ORD-0000369,Express,Critical,E-commerce,Delivered
370,ORD-0000370,Express,Medium,E-commerce,In Transit
371,ORD-0000371,Standard,Critical,B2B,Delivered
372,ORD-0000372,Standard,Critical,B2B,Delivered
373,ORD-0000373,Standard,Critical,B2B,Delivered
374,ORD-0000374,Backorder,Critical,EDI,Delivered
375,ORD-0000375,Express,Low,E-commerce,Delivered
376,ORD-0000376,Express,Low,E-commerce,Delivered
377,ORD-0000377,Backorder,Low,EDI,Delivered
378,ORD-0000378,Standard,Critical,B2B,Delivered
379,ORD-0000379,Backorder,High,EDI,In Transit
380,ORD-0000380,Standard,Critical,B2B,Cancelled
381,ORD-0000381,Express,High,E-commerce,Delivered
382,ORD-0000382,Standard,Critical,B2B,Delivered
383,ORD-0000383,Standard,Medium,B2B,Delivered
384,ORD-0000384,Express,Low,E-commerce,Delivered
385,ORD-0000385,Express,Critical,E-commerce,In Transit
386,ORD-0000386,Express,Critical,E-commerce,In Transit
387,ORD-0000387,Backorder,Critical,EDI,Delivered
388,ORD-0000388,Standard,Low,B2B,Delivered
389,ORD-0000389,Express,Low,E-commerce,Delivered
390,ORD-0000390,Backorder,Low,EDI,In Transit
391,ORD-0000391,Backorder,Low,EDI,Delivered
392,ORD-0000392,Express,High,E-commerce,In Transit
393,ORD-0000393,Express,Critical,E-commerce,In Transit
394,ORD-0000394,Backorder,High,EDI,Delivered
395,ORD-0000395,Backorder,Medium,EDI,Delivered
396,ORD-0000396,Express,Critical,E-commerce,Delivered
397,ORD-0000397,Express,Medium,E-commerce,Delivered
398,ORD-0000398,Backorder,Low,EDI,Delivered
399,ORD-0000399,Express,Low,E-commerce,Delivered
400,ORD-0000400,Standard,Medium,B2B,In Transit
401,ORD-0000401,Express,Critical,E-commerce,Delivered
402,ORD-0000402,Backorder,Critical,EDI,Delivered
403,ORD-0000403,Standard,Low,B2B,Delivered
404,ORD-0000404,Backorder,Low,EDI,Delivered
405,ORD-0000405,Express,Medium,E-commerce,Delivered
406,ORD-0000406,Backorder,High,EDI,Delivered
407,ORD-0000407,Backorder,Low,EDI,Delivered
408,ORD-0000408,Express,Medium,E-commerce,Delivered
409,ORD-0000409,Backorder,Low,EDI,Delivered
410,ORD-0000410,Backorder,Critical,EDI,Returned
411,ORD-0000411,Standard,High,B2B,In Transit
412,ORD-0000412,Backorder,High,EDI,Delivered
413,ORD-0000413,Standard,Medium,B2B,Delivered
414,ORD-0000414,Express,Critical,E-commerce,Cancelled
415,ORD-0000415,Backorder,Critical,EDI,Delivered
416,ORD-0000416,Express,Critical,E-commerce,Delivered
417,ORD-0000417,Backorder,High,EDI,In Transit
418,ORD-0000418,Backorder,Critical,EDI,Delivered
419,ORD-0000419,Standard,High,B2B,Delivered
420,ORD-0000420,Express,Critical,E-commerce,Delivered
421,ORD-0000421,Express,High,E-commerce,Delivered
422,ORD-0000422,Standard,Low,B2B,Delivered
423,ORD-0000423,Backorder,High,EDI,Cancelled
424,ORD-0000424,Express,Critical,E-commerce,Cancelled
425,ORD-0000425,Backorder,Medium,EDI,Delivered
426,ORD-0000426,Backorder,Critical,EDI,Delivered
427,ORD-0000427,Backorder,High,EDI,Delivered
428,ORD-0000428,Backorder,Low,EDI,In Transit
429,ORD-0000429,Express,Critical,E-commerce,Delivered
430,ORD-0000430,Backorder,High,EDI,In Transit
431,ORD-0000431,Express,Medium,E-commerce,Delivered
432,ORD-0000432,Express,High,E-commerce,Delivered
433,ORD-0000433,Backorder,Critical,EDI,Delivered
434,ORD-0000434,Standard,Critical,B2B,Delivered
435,ORD-0000435,Express,High,E-commerce,Delivered
436,ORD-0000436,Standard,High,B2B,Delivered
437,ORD-0000437,Express,Low,E-commerce,In Transit
438,ORD-0000438,Express,Low,E-commerce,Delivered
439,ORD-0000439,Backorder,Critical,EDI,In Transit
440,ORD-0000440,Backorder,High,EDI,Delivered
441,ORD-0000441,Express,Medium,E-commerce,In Transit
442,ORD-0000442,Standard,Critical,B2B,Delivered
443,ORD-0000443,Backorder,Low,EDI,Delivered
444,ORD-0000444,Express,High,E-commerce,In Transit
445,ORD-0000445,Standard,Low,B2B,Delivered
446,ORD-0000446,Backorder,High,EDI,Delivered
447,ORD-0000447,Standard,Critical,B2B,Delivered
448,ORD-0000448,Express,Medium,E-commerce,Delivered
449,ORD-0000449,Backorder,Medium,EDI,Delivered
450,ORD-0000450,Standard,High,B2B,Delivered
451,ORD-0000451,Standard,High,B2B,Delivered
452,ORD-0000452,Backorder,Low,EDI,Delivered
453,ORD-0000453,Express,Medium,E-commerce,Delivered
454,ORD-0000454,Backorder,Low,EDI,Delivered
455,ORD-0000455,Standard,Low,B2B,Delivered
456,ORD-0000456,Standard,Critical,B2B,Delivered
457,ORD-0000457,Backorder,Low,EDI,Delivered
458,ORD-0000458,Express,High,E-commerce,In Transit
459,ORD-0000459,Express,Critical,E-commerce,Delivered
460,ORD-0000460,Express,Medium,E-commerce,Delivered
461,ORD-0000461,Backorder,Medium,EDI,Delivered
462,ORD-0000462,Standard,Medium,B2B,In Transit
463,ORD-0000463,Standard,Critical,B2B,Delivered
464,ORD-0000464,Express,Medium,E-commerce,In Transit
465,ORD-0000465,Express,Low,E-commerce,In Transit
466,ORD-0000466,Backorder,Critical,EDI,Delivered
467,ORD-0000467,Standard,Critical,B2B,Returned
468,ORD-0000468,Standard,High,B2B,Delivered
469,ORD-0000469,Backorder,High,EDI,Delivered
470,ORD-0000470,Express,Low,E-commerce,In Transit
471,ORD-0000471,Backorder,Medium,EDI,In Transit
472,ORD-0000472,Backorder,Critical,EDI,Delivered
473,ORD-0000473,Standard,Medium,B2B,Delivered
474,ORD-0000474,Standard,Critical,B2B,Delivered
475,ORD-0000475,Backorder,Critical,EDI,In Transit
476,ORD-0000476,Backorder,Low,EDI,Delivered
477,ORD-0000477,Standard,High,B2B,In Transit
478,ORD-0000478,Backorder,High,EDI,In Transit
479,ORD-0000479,Backorder,High,EDI,In Transit
480,ORD-0000480,Express,High,E-commerce,Delivered
481,ORD-0000481,Backorder,Critical,EDI,Delivered
482,ORD-0000482,Backorder,Medium,EDI,Delivered
483,ORD-0000483,Backorder,High,EDI,Delivered
484,ORD-0000484,Standard,Low,B2B,Delivered
485,ORD-0000485,Standard,Low,B2B,Delivered
486,ORD-0000486,Standard,High,B2B,Delivered
487,ORD-0000487,Standard,Medium,B2B,Delivered
488,ORD-0000488,Standard,Medium,B2B,Delivered
489,ORD-0000489,Express,Low,E-commerce,Delivered
490,ORD-0000490,Standard,Medium,B2B,Delivered
491,ORD-0000491,Express,Low,E-commerce,Delivered
492,ORD-0000492,Express,Critical,E-commerce,Delivered
493,ORD-0000493,Express,Medium,E-commerce,Delivered
494,ORD-0000494,Backorder,Medium,EDI,Delivered
495,ORD-0000495,Backorder,High,EDI,In Transit
496,ORD-0000496,Express,High,E-commerce,In Transit
497,ORD-0000497,Backorder,Critical,EDI,Delivered
498,ORD-0000498,Standard,Critical,B2B,In Transit
499,ORD-0000499,Standard,High,B2B,Delivered
500,ORD-0000500,Backorder,High,EDI,Delivered
501,ORD-0000501,Standard,Medium,B2B,Delivered
502,ORD-0000502,Standard,High,B2B,Delivered
503,ORD-0000503,Backorder,High,EDI,Delivered
504,ORD-0000504,Express,Critical,E-commerce,Delivered
505,ORD-0000505,Backorder,Low,EDI,In Transit
506,ORD-0000506,Standard,Medium,B2B,Delivered
507,ORD-0000507,Backorder,Critical,EDI,Cancelled
508,ORD-0000508,Backorder,Medium,EDI,Delivered
509,ORD-0000509,Express,High,E-commerce,In Transit
510,ORD-0000510,Backorder,Low,EDI,Delivered
511,ORD-0000511,Backorder,Low,EDI,Delivered
512,ORD-0000512,Backorder,Critical,EDI,Delivered
513,ORD-0000513,Standard,Critical,B2B,In Transit
514,ORD-0000514,Backorder,Medium,EDI,Delivered
515,ORD-0000515,Express,Medium,E-commerce,Delivered
516,ORD-0000516,Express,Critical,E-commerce,Delivered
517,ORD-0000517,Express,Low,E-commerce,In Transit
518,ORD-0000518,Backorder,Medium,EDI,Delivered
