fact_delivery_id,sk_date,sk_order,sk_driver,sk_vehicle,sk_route,sk_client,planned_delay_hours,real_delay_hours,delay_minutes,delay_category,delivered_on_time_flag,service_rate
51,1579,1505,43,9,11,23,7.68,9.63,117.27,Moderate Delay,0,0.712
52,1966,1964,53,10,12,29,9.52,13.64,247.24,Severe Delay,0,0.575
53,1822,198,47,10,11,27,7.44,7.77,19.83,Minor Delay,1,0.761
54,1377,680,34,6,5,13,3.18,2.48,0,On Time,1,0.926
55,1895,629,51,10,11,30,7.03,9.07,122.62,Moderate Delay,0,0.623
56,122,1317,14,1,1,1,5.0,3.9,0,On Time,1,0.764
57,594,89,2,2,3,2,11.33,10.17,0,On Time,1,0.822
58,1735,872,47,9,10,23,4.46,4.83,22.04,Minor Delay,0,0.89
59,162,39,2,1,2,10,3.58,3.63,2.94,On Time,1,0.796
60,801,1016,36,6,8,11,2.02,1.94,0,On Time,1,0.789
61,805,1582,32,6,6,15,8.38,6.53,0,On Time,1,0.797
62,1971,2417,53,10,9,22,7.43,12.8,322.23,Severe Delay,0,0.463
63,437,78,2,2,4,2,8.83,9.98,69.07,Moderate Delay,1,0.717
64,791,391,29,6,5,14,3.11,3.25,8.73,On Time,1,0.828
65,793,1185,24,6,7,16,4.4,4.06,0,On Time,1,0.755
66,1482,1333,42,9,9,22,7.24,10.52,197.25,Severe Delay,0,0.582
67,768,756,21,6,8,11,2.09,2.07,0,On Time,1,0.754
68,676,127,11,1,3,9,10.55,11.12,34.58,Minor Delay,1,0.841
69,496,683,9,3,4,8,8.91,7.95,0,On Time,1,0.892
70,2159,1750,47,10,11,30,7.8,9.04,74.08,Moderate Delay,1,0.588
71,1794,1619,44,9,12,23,9.2,10.08,52.66,Moderate Delay,1,0.738
72,947,737,36,5,6,18,8.42,9.07,39.09,Minor Delay,1,0.715
73,77,161,15,1,2,4,3.41,6.53,187.18,Severe Delay,1,0.621
74,2075,1297,42,9,12,22,9.54,11.03,89.1,Moderate Delay,1,0.773
75,788,2258,23,5,8,19,2.04,3.92,113.32,Moderate Delay,0,0.634
76,1848,2230,46,10,9,22,6.7,9.35,159.46,Moderate Delay,1,0.671
77,534,158,1,1,3,3,10.46,8.16,0,On Time,1,0.797
78,276,1898,7,4,1,1,5.41,5.75,20.48,Minor Delay,1,0.785
79,1685,2304,42,9,10,23,4.28,4.05,0,On Time,1,0.932
80,1321,1741,33,6,7,11,4.31,5.67,81.75,Moderate Delay,1,0.653
81,507,1805,1,2,2,3,3.63,3.83,12.03,On Time,1,0.614
82,1962,2316,42,12,12,21,9.58,10.89,78.69,Moderate Delay,0,0.692
83,1193,459,28,5,8,20,2.28,2.07,0,On Time,1,0.71
84,275,257,12,3,4,7,8.63,6.73,0,On Time,1,0.801
85,1546,1840,40,9,11,27,6.86,11.0,248.7,Severe Delay,0,0.506
86,1267,34,36,6,8,17,2.02,2.32,17.96,Minor Delay,1,0.778
87,1868,1120,52,9,9,21,7.12,6.87,0,On Time,1,0.737
88,1757,992,44,9,10,22,4.31,7.0,161.43,Moderate Delay,1,0.692
89,2074,2016,43,9,12,26,9.21,8.61,0,On Time,1,0.879
90,917,1515,28,6,8,20,1.96,1.97,0.52,On Time,1,0.771
91,736,1793,30,7,5,11,3.1,3.24,8.16,On Time,1,0.818
92,2168,240,41,10,9,24,6.75,8.75,120.35,Moderate Delay,1,0.606
93,1288,2122,22,5,6,16,7.63,6.4,0,On Time,1,0.791
94,1669,367,54,9,10,23,3.94,5.29,80.61,Moderate Delay,0,0.753
95,1080,570,29,7,6,14,8.16,8.16,0.46,On Time,1,0.842
96,754,130,26,7,8,12,2.28,3.47,71.15,Moderate Delay,0,0.646
97,618,1756,18,2,1,6,4.75,6.23,88.9,Moderate Delay,1,0.618
98,2137,1710,48,9,10,22,4.01,4.61,36.21,Minor Delay,1,0.717
99,1814,591,49,11,9,26,7.35,9.93,154.46,Moderate Delay,1,0.701
100,41,1197,10,2,1,5,4.74,6.88,128.37,Moderate Delay,0,0.703
101,2084,2377,40,9,12,29,9.12,10.2,64.55,Moderate Delay,1,0.808
102,1954,1993,38,11,9,22,7.58,7.77,11.53,On Time,1,0.793
103,2146,1847,39,9,9,26,7.47,8.66,71.58,Moderate Delay,0,0.692
104,624,1828,17,1,1,6,5.01,5.46,26.5,Minor Delay,1,0.787
105,1292,599,21,7,8,17,2.18,2.25,4.05,On Time,1,0.771
106,978,461,21,6,7,14,3.76,4.14,22.88,Minor Delay,1,0.871
107,330,491,12,1,4,8,8.64,7.52,0,On Time,1,0.79
108,486,2203,1,1,2,1,3.78,3.21,0,On Time,1,0.727
109,858,996,36,7,8,16,2.28,2.92,38.08,Minor Delay,1,0.78
110,197,2305,13,3,2,1,3.83,6.1,136.55,Moderate Delay,0,0.664
111,1324,2093,22,6,8,13,2.19,1.71,0,On Time,1,0.864
112,344,320,13,1,4,2,9.07,7.08,0,On Time,1,0.808
113,1216,543,28,6,5,12,3.26,3.3,2.22,On Time,1,0.808
114,1153,1221,22,7,5,16,3.29,3.73,26.09,Minor Delay,1,0.691
115,1938,2048,52,9,10,26,4.49,5.02,31.46,Minor Delay,1,0.861
116,133,1463,1,3,3,9,11.26,12.88,97.37,Moderate Delay,1,0.765
117,788,1717,24,5,8,14,2.12,2.99,51.81,Moderate Delay,1,0.857
118,543,1040,11,2,3,2,10.07,9.61,0,On Time,1,0.768
119,1025,1274,30,6,8,14,2.09,2.03,0,On Time,1,0.945
120,1781,254,43,9,9,29,7.6,10.71,186.7,Severe Delay,0,0.626
121,1975,2328,44,9,11,29,7.53,11.42,233.0,Severe Delay,0,0.516
122,147,869,11,1,1,8,5.24,6.47,73.96,Moderate Delay,0,0.772
123,157,699,15,3,4,1,8.67,8.62,0,On Time,0,0.757
124,1039,1794,20,7,6,14,7.78,6.5,0,On Time,1,0.866
125,697,279,12,1,2,9,3.78,4.9,66.96,Moderate Delay,1,0.721
126,465,1386,11,1,1,7,5.21,4.06,0,On Time,1,0.781
127,1727,650,54,9,12,29,9.72,14.44,283.0,Severe Delay,0,0.596
128,1856,84,46,11,11,23,7.13,7.13,0.35,On Time,1,0.868
129,611,1372,9,3,3,9,11.09,13.5,144.74,Moderate Delay,1,0.672
130,284,1617,10,2,2,9,3.85,4.77,55.28,Moderate Delay,1,0.782
131,998,140,34,7,7,12,3.76,4.79,62.12,Moderate Delay,0,0.748
132,61,1110,8,1,1,5,5.07,5.08,0.49,On Time,1,0.872
133,1789,1978,42,9,11,25,7.31,8.54,74.33,Moderate Delay,1,0.701
134,1991,1092,42,11,12,22,9.55,14.71,309.71,Severe Delay,0,0.52
135,1655,2085,47,11,9,29,7.22,6.92,0,On Time,1,0.883
136,1603,2204,44,9,12,29,9.46,8.47,0,On Time,1,0.82
137,1030,678,20,6,8,13,2.21,2.24,1.79,On Time,1,0.935
138,429,914,12,2,4,8,8.8,8.07,0,On Time,1,0.862
139,1045,244,23,5,8,16,2.23,1.82,0,On Time,1,0.838
140,2119,1889,38,10,9,29,7.21,5.63,0,On Time,1,0.915
141,1929,1033,46,12,9,22,6.86,6.95,5.24,On Time,1,0.884
142,704,1262,6,1,2,2,3.64,4.18,32.31,Minor Delay,0,0.869
143,475,1148,14,2,2,6,3.47,6.42,177.17,Moderate Delay,1,0.534
144,1646,1426,53,9,9,30,7.48,14.73,434.95,Severe Delay,0,0.45
145,1854,513,47,9,12,21,9.42,9.44,1.74,On Time,1,0.733
146,1182,671,34,7,8,13,2.11,2.38,16.34,Minor Delay,1,0.774
147,51,1848,12,1,1,5,5.2,7.09,113.9,Moderate Delay,0,0.783
148,2150,1863,41,10,12,26,9.32,11.11,107.72,Moderate Delay,0,0.714
149,757,2177,27,7,8,19,2.21,2.53,19.06,Minor Delay,1,0.864
150,650,772,14,2,3,8,10.22,7.97,0,On Time,1,0.784
151,759,1774,26,6,8,12,1.98,2.06,4.77,On Time,1,0.856
152,2083,1781,42,10,9,23,7.22,8.82,95.79,Moderate Delay,0,0.668
153,635,228,17,2,2,7,3.46,3.78,18.97,Minor Delay,1,0.842
154,379,2282,17,2,4,10,8.22,8.49,16.36,Minor Delay,1,0.777
155,840,2154,29,6,6,15,8.31,7.83,0,On Time,1,0.865
156,375,1202,13,3,4,10,9.04,8.44,0,On Time,1,0.823
157,510,356,15,1,1,3,4.74,4.62,0,On Time,1,0.726
158,1348,1692,27,6,8,12,2.19,2.33,8.36,On Time,1,0.791
159,1257,1971,30,5,6,19,8.7,6.78,0,On Time,1,0.752
160,933,1744,34,7,5,16,2.86,2.92,3.22,On Time,1,0.797
161,1285,751,36,5,6,14,8.31,6.86,0,On Time,1,0.937
162,317,2091,2,1,1,9,4.96,4.92,0,On Time,1,0.866
163,1976,1387,51,10,9,29,6.76,6.76,0,On Time,1,0.906
164,1409,796,34,6,6,19,8.62,10.44,109.34,Moderate Delay,0,0.685
165,472,1363,18,1,2,4,3.5,4.31,48.71,Moderate Delay,0,0.783
166,693,2109,13,2,1,9,5.39,5.24,0,On Time,1,0.868
167,642,632,8,4,4,8,8.84,6.9,0,On Time,1,0.847
168,1388,2137,33,5,8,14,2.26,3.03,46.14,Moderate Delay,1,0.865
169,644,884,17,1,3,2,11.4,8.89,0,On Time,1,0.936
170,345,1030,7,2,2,9,3.56,4.71,68.72,Moderate Delay,1,0.73
171,429,1180,15,3,4,6,9.2,16.0,408.05,Severe Delay,0,0.45
172,1059,952,27,6,7,15,3.93,3.6,0,On Time,1,0.841
173,824,370,35,5,7,19,4.19,3.84,0,On Time,1,0.73
174,911,520,27,5,7,14,4.19,4.02,0,On Time,1,0.769
175,1217,2310,25,6,6,12,8.3,7.18,0,On Time,1,0.819
176,1951,1976,39,9,9,22,6.85,9.44,155.34,Moderate Delay,0,0.693
177,641,1002,2,3,4,2,8.89,8.64,0,On Time,1,0.885
178,2111,2350,41,12,11,21,7.61,8.76,68.81,Moderate Delay,1,0.799
179,677,1024,11,1,3,6,11.19,11.33,8.48,On Time,1,0.703
180,1962,1622,46,10,9,21,6.74,10.25,210.35,Severe Delay,0,0.54
181,371,271,16,2,2,9,3.39,5.13,104.54,Moderate Delay,1,0.73
182,763,2132,35,6,7,15,4.07,3.79,0,On Time,1,0.826
183,1263,25,31,6,7,15,4.32,3.8,0,On Time,1,0.848
184,265,2344,5,1,1,1,4.75,4.44,0,On Time,1,0.845
185,302,590,6,1,1,6,5.42,5.28,0,On Time,1,0.861
186,1272,1776,34,5,5,19,3.0,2.55,0,On Time,1,0.827
187,1609,1421,45,11,12,22,8.99,11.1,126.61,Moderate Delay,1,0.682
188,818,2333,30,7,6,12,7.94,6.19,0,On Time,1,0.771
189,1156,1003,32,7,8,14,2.03,2.32,17.09,Minor Delay,1,0.864
190,1378,2141,28,5,8,19,2.26,3.37,66.42,Moderate Delay,1,0.698
191,2036,321,42,10,12,23,8.87,12.62,224.64,Severe Delay,0,0.603
192,784,1677,22,5,8,12,2.24,3.18,56.31,Moderate Delay,1,0.822
193,1453,1047,34,5,8,14,2.01,1.95,0,On Time,1,0.798
194,912,1780,28,5,7,12,3.89,4.34,26.59,Minor Delay,0,0.828
195,847,2388,31,6,8,18,2.29,2.22,0,On Time,1,0.79
196,72,1252,6,2,1,2,4.97,4.69,0,On Time,1,0.846
197,1866,2436,38,9,10,24,3.87,4.28,25.11,Minor Delay,1,0.843
198,365,1174,10,2,3,7,11.4,13.17,106.51,Moderate Delay,1,0.747
199,126,1953,10,1,4,9,8.77,7.21,0,On Time,1,0.879
200,619,1945,15,1,2,4,3.73,3.83,5.84,On Time,1,0.821
201,1216,1080,24,7,7,16,3.88,4.47,35.45,Minor Delay,1,0.774
202,1078,1576,21,7,5,11,3.12,2.43,0,On Time,0,0.851
203,63,1156,15,1,2,9,3.63,4.38,44.91,Minor Delay,1,0.797
204,470,2081,14,2,4,1,8.53,7.59,0,On Time,1,0.855
205,679,1374,8,1,2,9,3.41,4.49,64.69,Moderate Delay,0,0.699
206,1468,1179,52,9,10,22,4.52,5.42,54.1,Moderate Delay,1,0.77
207,1073,394,20,6,8,15,1.97,2.0,2.11,On Time,1,0.868
208,1537,1431,52,9,10,26,4.15,7.81,219.44,Severe Delay,0,0.613
209,2127,2386,49,9,11,24,7.49,10.5,180.42,Severe Delay,0,0.59
210,678,1117,16,2,2,3,3.8,4.87,64.73,Moderate Delay,1,0.607
211,621,2234,1,1,2,5,3.3,4.16,51.44,Moderate Delay,0,0.831
212,1166,970,32,6,7,13,3.83,4.97,68.11,Moderate Delay,1,0.845
213,2180,253,41,9,10,29,4.16,4.84,40.94,Minor Delay,1,0.79
214,545,614,6,1,1,4,4.83,4.99,9.44,On Time,1,0.875
215,416,173,8,2,4,7,8.56,10.66,126.01,Moderate Delay,1,0.589
216,204,1566,18,3,1,9,4.75,4.2,0,On Time,1,0.834
217,365,589,5,1,4,7,9.21,12.36,189.08,Severe Delay,0,0.54
218,1191,12,23,6,5,11,2.96,3.0,2.38,On Time,1,0.778
219,1411,2021,22,5,6,20,8.15,7.57,0,On Time,1,0.758
220,880,2242,20,8,7,18,4.02,3.22,0,On Time,1,0.789
221,987,1408,36,7,5,19,3.02,2.35,0,On Time,1,0.82
222,1487,768,51,11,12,24,8.85,10.04,70.98,Moderate Delay,1,0.786
223,1053,510,22,5,7,12,4.38,3.85,0,On Time,1,0.785
224,1066,1665,22,7,6,11,8.55,8.59,2.4,On Time,1,0.874
225,430,1734,5,2,4,4,9.29,12.14,171.28,Moderate Delay,1,0.658
226,143,2484,2,3,2,3,3.59,4.29,41.63,Minor Delay,1,0.738
227,1731,2425,52,9,10,28,3.89,4.64,45.03,Moderate Delay,0,0.707
228,172,2100,13,2,1,7,4.73,3.81,0,On Time,1,0.772
229,435,2052,8,3,3,10,10.67,11.89,73.22,Moderate Delay,1,0.693
230,1085,1836,22,6,8,18,2.22,2.61,23.28,Minor Delay,1,0.828
231,878,2374,32,5,5,11,3.22,2.89,0,On Time,1,0.872
232,874,923,36,6,6,13,7.42,5.79,0,On Time,1,0.889
233,993,2126,21,6,7,12,4.0,3.12,0,On Time,1,0.816
234,1176,1914,30,5,8,13,2.25,2.18,0,On Time,1,0.819
235,1248,1927,30,5,5,11,3.0,2.63,0,On Time,1,0.771
236,63,1849,7,1,2,7,3.81,4.16,20.5,Minor Delay,1,0.784
237,170,2181,2,1,3,8,10.97,11.51,31.89,Minor Delay,1,0.759
238,195,523,12,1,4,10,9.16,8.7,0,On Time,0,0.763
239,899,1351,23,6,6,12,8.62,10.23,96.74,Moderate Delay,1,0.627
240,1632,117,47,11,9,29,6.89,10.53,218.39,Severe Delay,0,0.663
241,2137,2480,43,11,12,23,9.87,15.12,315.01,Severe Delay,0,0.528
242,1364,1968,27,6,6,19,8.3,7.73,0,On Time,1,0.839
243,735,1520,23,8,6,12,7.72,6.58,0,On Time,1,0.804
244,7,2243,17,2,3,8,11.09,8.74,0,On Time,1,0.737
245,860,1418,34,5,7,20,4.1,3.96,0,On Time,1,0.774
246,1430,544,32,5,7,14,3.81,3.38,0,On Time,1,0.833
247,1467,793,45,10,12,27,9.94,8.61,0,On Time,1,0.804
248,811,2157,23,6,6,11,7.9,6.16,0,On Time,1,0.739
249,866,962,30,6,8,17,2.23,1.96,0,On Time,1,0.783
250,1028,709,22,6,7,12,4.1,4.75,38.99,Minor Delay,1,0.797
251,573,611,8,2,1,7,5.16,6.0,50.18,Moderate Delay,1,0.834
252,1047,2075,34,7,6,12,7.49,9.16,99.82,Moderate Delay,1,0.645
253,308,758,15,2,4,9,8.58,7.94,0,On Time,1,0.808
254,84,1478,17,2,1,7,4.78,5.3,30.74,Minor Delay,1,0.848
255,888,769,36,5,8,15,1.96,2.15,11.26,On Time,1,0.848
256,826,1729,35,6,8,14,2.27,2.02,0,On Time,1,0.823
257,551,1969,15,1,3,7,9.92,8.27,0,On Time,1,0.783
258,1324,307,20,6,5,12,3.01,2.66,0,On Time,1,0.827
259,1296,2445,20,5,8,11,2.15,2.32,10.47,On Time,1,0.797
260,1643,1660,43,12,11,28,7.15,8.38,73.92,Moderate Delay,1,0.702
261,1648,2028,39,10,10,21,4.29,6.04,104.86,Moderate Delay,1,0.736
262,967,571,32,5,8,11,2.23,1.74,0,On Time,1,0.739
263,240,60,14,3,1,6,5.3,5.53,14.28,On Time,1,0.825
264,899,790,23,6,8,12,2.06,2.77,42.59,Minor Delay,0,0.739
265,1685,1200,52,9,12,23,10.26,14.37,246.7,Severe Delay,0,0.532
266,329,371,17,1,3,3,9.76,8.59,0,On Time,1,0.766
267,678,645,2,1,1,6,5.46,5.35,0,On Time,1,0.797
268,1251,1753,31,8,6,17,8.1,7.75,0,On Time,1,0.763
269,2136,1451,54,10,9,28,6.57,7.94,82.57,Moderate Delay,1,0.633
270,207,1096,1,2,3,3,11.09,8.65,0,On Time,1,0.774
271,191,1769,1,2,4,2,8.22,8.96,44.3,Minor Delay,1,0.862
272,2090,362,46,10,12,30,10.35,15.16,288.23,Severe Delay,0,0.45
273,6,2287,13,3,1,6,4.92,5.63,42.43,Minor Delay,1,0.698
274,548,2409,12,1,4,2,9.2,17.6,503.93,Severe Delay,0,0.45
275,323,1733,9,2,3,9,10.67,9.36,0,On Time,1,0.77
276,29,2302,6,1,1,5,4.78,5.51,44.18,Minor Delay,1,0.824
277,219,687,11,2,2,5,3.44,3.79,21.25,Minor Delay,1,0.828
278,1485,98,44,10,11,25,6.95,9.97,180.82,Severe Delay,0,0.555
279,674,1707,13,1,1,8,5.02,5.66,37.83,Minor Delay,1,0.698
280,1290,1154,34,5,6,19,8.59,7.1,0,On Time,1,0.765
281,685,457,14,1,2,9,3.51,4.25,44.36,Minor Delay,1,0.787
282,885,1980,22,6,7,20,4.33,4.16,0,On Time,1,0.781
283,210,1477,6,3,3,8,10.25,7.99,0,On Time,1,0.817
284,1476,2420,53,9,9,23,7.57,6.51,0,On Time,1,0.86
285,835,1983,24,5,7,16,3.89,3.06,0,On Time,1,0.863
286,729,2045,1,2,2,6,3.29,3.53,13.89,On Time,1,0.777
287,627,107,18,2,1,6,4.69,5.14,26.72,Minor Delay,1,0.841
288,1757,562,47,10,10,25,4.08,4.86,46.59,Moderate Delay,0,0.685
289,326,1127,14,2,1,1,5.28,4.98,0,On Time,1,0.858
290,1975,1023,43,11,11,29,7.87,6.14,0,On Time,1,0.886
291,738,667,27,6,8,14,2.2,3.05,51.39,Moderate Delay,1,0.789
292,1329,540,19,5,5,13,3.15,3.47,19.31,Minor Delay,1,0.847
293,1236,2144,30,5,5,15,3.18,2.48,0,On Time,1,0.813
294,353,1872,2,3,4,9,8.92,9.58,39.48,Minor Delay,0,0.8
295,892,2131,31,8,8,14,2.14,1.79,0,On Time,1,0.814
296,777,999,20,7,8,15,2.18,1.79,0,On Time,1,0.833
297,1786,2359,46,9,10,29,4.17,4.0,0,On Time,1,0.848
298,355,2395,17,1,1,5,5.13,5.05,0,On Time,1,0.874
299,64,1177,12,3,4,2,8.14,7.52,0,On Time,1,0.877
300,592,1322,8,1,2,1,3.32,3.94,36.74,Minor Delay,1,0.812
301,1461,555,22,6,5,14,2.9,2.6,0,On Time,1,0.9
302,650,2368,1,3,4,2,9.06,7.74,0,On Time,1,0.857
303,1654,1768,37,9,11,21,7.12,8.69,94.28,Moderate Delay,1,0.728
304,1764,1526,44,10,12,21,9.13,7.12,0,On Time,1,0.804
305,1172,2007,27,5,7,17,3.95,4.05,6.15,On Time,1,0.726
306,121,2128,13,2,3,8,10.61,9.69,0,On Time,1,0.797
307,1716,651,52,10,10,22,4.29,4.93,38.31,Minor Delay,1,0.789
308,453,175,4,1,2,3,3.58,4.35,46.1,Moderate Delay,0,0.742
309,2051,840,43,10,12,27,9.16,12.29,188.09,Severe Delay,0,0.652
310,646,1064,4,4,2,5,3.47,2.98,0,On Time,1,0.826
311,2004,857,46,10,12,29,9.99,14.46,267.93,Severe Delay,1,0.574
312,1341,730,35,7,8,13,2.21,1.72,0,On Time,1,0.931
313,1887,2112,49,9,12,29,10.14,10.12,0,On Time,1,0.778
314,760,602,35,5,8,20,2.09,2.65,33.37,Minor Delay,1,0.736
315,841,1913,25,7,8,13,2.23,2.03,0,On Time,1,0.855
316,1025,534,35,5,7,19,3.84,3.01,0,On Time,1,0.782
317,12,2493,14,2,4,2,8.18,7.05,0,On Time,1,0.857
318,320,682,5,2,1,3,4.92,7.07,129.0,Moderate Delay,0,0.609
319,2015,1476,37,10,11,28,7.76,8.79,61.92,Moderate Delay,1,0.672
320,678,2006,12,2,2,1,3.79,5.34,93.03,Moderate Delay,0,0.639
321,1332,1398,27,7,7,11,3.85,3.62,0,On Time,1,0.82
322,1186,2057,34,5,8,18,2.03,2.26,14.09,On Time,1,0.851
323,437,1940,1,1,4,8,7.96,8.5,32.4,Minor Delay,1,0.788
324,1055,1749,32,5,8,18,2.25,2.49,14.85,On Time,1,0.857
325,1006,1704,31,5,8,11,2.23,2.34,6.56,On Time,1,0.887
326,2075,138,41,11,11,24,7.79,9.51,102.92,Moderate Delay,0,0.754
327,431,1022,7,1,2,10,3.46,5.53,124.05,Moderate Delay,0,0.653
328,1560,1845,37,11,10,23,4.15,3.46,0,On Time,1,0.87
329,805,2295,30,7,8,18,1.99,1.79,0,On Time,1,0.807
330,1605,2491,43,11,11,28,7.82,11.63,228.73,Severe Delay,0,0.581
331,1106,49,31,5,6,12,7.55,5.89,0,On Time,1,0.802
332,1130,274,31,5,5,20,3.23,2.52,0,On Time,1,0.84
333,1413,1007,35,7,8,13,2.04,2.07,1.61,On Time,1,0.828
334,1132,2020,34,6,7,13,3.96,3.46,0,On Time,1,0.887
335,998,833,21,5,8,12,2.01,2.06,3.04,On Time,0,0.643
336,1099,2343,33,6,8,14,2.26,2.02,0,On Time,1,0.901
337,1105,2402,36,5,5,16,2.84,2.61,0,On Time,1,0.761
338,1969,286,43,10,9,23,7.13,9.41,136.72,Moderate Delay,1,0.741
339,1559,986,44,9,12,24,10.23,9.36,0,On Time,1,0.783
340,13,909,12,4,1,5,4.88,3.81,0,On Time,1,0.827
341,1887,1467,47,9,11,21,7.76,8.59,49.67,Moderate Delay,1,0.808
342,780,278,34,5,8,16,2.11,1.79,0,On Time,1,0.741
343,238,829,7,2,4,4,8.99,12.92,235.68,Severe Delay,0,0.561
344,2166,81,45,12,9,29,6.86,13.18,378.92,Severe Delay,0,0.469
345,1950,1735,51,10,10,22,4.47,5.17,41.97,Minor Delay,1,0.875
346,1451,1679,21,6,5,18,3.18,4.07,53.39,Moderate Delay,1,0.771
347,1816,1918,54,10,11,21,7.54,8.99,87.46,Moderate Delay,1,0.735
348,690,428,3,2,2,5,3.41,3.23,0,On Time,1,0.841
349,1379,184,27,7,6,16,8.09,8.81,43.17,Minor Delay,1,0.867
350,216,2121,13,1,2,9,3.52,4.57,62.87,Moderate Delay,1,0.671
351,433,1878,6,1,1,5,5.3,5.58,16.83,Minor Delay,1,0.808
352,1146,288,35,6,8,14,2.25,2.5,14.97,On Time,1,0.795
353,1816,984,39,11,9,25,6.6,8.59,119.56,Moderate Delay,0,0.639
354,1593,774,52,12,11,28,7.38,9.75,142.31,Moderate Delay,1,0.536
355,1693,1584,40,11,9,26,6.9,8.96,123.81,Moderate Delay,1,0.771
356,1326,643,30,6,5,18,2.91,2.67,0,On Time,1,0.785
357,2034,431,39,9,11,27,7.97,8.25,16.7,Minor Delay,0,0.774
358,1454,220,28,6,8,12,2.16,2.37,12.67,On Time,1,0.814
359,42,1325,11,3,2,10,3.72,4.58,51.53,Moderate Delay,1,0.713
360,1905,1696,49,9,9,28,7.28,10.74,207.53,Severe Delay,1,0.562
361,592,1075,3,2,4,5,9.24,10.53,77.44,Moderate Delay,1,0.718
362,1248,1261,25,5,7,19,4.25,4.39,8.78,On Time,1,0.808
363,1967,1077,43,10,10,29,4.51,4.68,10.44,On Time,1,0.882
