fact_sales_id,sk_date,sk_client,sk_product,sk_order,quantity_units,unit_sale_price,revenue_amount,cost_amount,margin_amount,margin_rate,margin_band,discount_amount
31,1468,29,3,791,29.0,701.63,19202.27,15171.73,4030.54,0.2099,Medium,1145.08
32,1720,24,2,1403,23.0,339.11,7553.71,6629.88,923.83,0.1223,Medium,245.8
33,1614,29,3,2212,18.0,754.19,12978.57,9015.93,3962.64,0.3053,High,596.82
34,1453,17,4,18,56.0,355.45,18379.61,17522.57,857.04,0.0466,Low,1525.66
35,1629,21,1,1194,38.0,629.64,23926.17,20702.91,3223.26,0.1347,Medium,0.0
36,386,5,1,2106,81.0,691.68,52700.1,44838.27,7861.83,0.1492,Medium,3325.91
37,1351,12,3,212,15.0,663.55,9549.21,8285.58,1263.63,0.1323,Medium,404.09
38,611,6,4,2319,77.0,371.98,28106.3,24186.46,3919.84,0.1395,Medium,535.94
39,1578,21,1,1118,101.0,557.72,54636.98,52630.65,2006.33,0.0367,Low,1692.86
40,30,8,3,1487,24.0,636.94,14163.93,12872.61,1291.32,0.0912,Low,1122.7
41,605,2,4,1524,27.0,400.97,10144.0,8783.21,1360.79,0.1341,Medium,682.24
42,1183,18,1,1804,52.0,624.97,32029.62,27276.59,4753.03,0.1484,Medium,468.59
43,298,8,5,2244,70.0,549.53,36066.53,26652.46,9414.07,0.261,High,2400.73
44,1342,14,5,1996,26.0,495.89,12013.99,9599.28,2414.71,0.201,Medium,879.02
45,489,9,3,207,16.0,750.17,11370.47,7903.89,3466.58,0.3049,High,632.21
46,695,5,5,668,27.0,516.87,13130.88,10040.23,3090.65,0.2354,High,824.48
47,316,7,2,818,87.0,301.2,25380.92,23809.2,1571.72,0.0619,Low,823.13
48,1125,19,1,470,49.0,659.08,31248.95,25806.19,5442.76,0.1742,Medium,1045.88
49,379,4,1,2411,31.0,612.97,18227.69,16035.99,2191.7,0.1202,Medium,774.52
50,708,10,4,139,53.0,346.08,18127.99,16114.71,2013.28,0.1111,Medium,214.42
51,1579,23,4,1505,57.0,360.39,19216.92,17711.26,1505.66,0.0784,Low,1325.16
52,1966,29,4,1964,36.0,377.21,12015.08,10918.8,1096.28,0.0912,Low,1564.49
53,1822,27,3,198,11.0,593.56,6495.58,5802.0,693.58,0.1068,Medium,33.62
54,1377,13,2,680,86.0,320.57,26145.33,25257.25,888.08,0.034,Low,1423.27
55,1895,30,1,629,18.0,688.2,12285.67,9993.71,2291.96,0.1866,Medium,101.98
56,122,1,5,1317,49.0,461.82,22567.2,19202.79,3364.41,0.1491,Medium,62.14
57,594,2,2,89,38.0,369.07,13451.71,11302.66,2149.05,0.1598,Medium,572.94
58,1735,23,1,872,63.0,568.38,33161.95,31354.89,1807.06,0.0545,Low,2645.72
59,162,10,1,39,88.0,557.66,49073.77,46810.62,2263.15,0.0461,Low,0.0
60,801,11,4,1016,56.0,362.46,19788.64,18062.97,1725.67,0.0872,Low,509.32
61,805,15,5,1582,12.0,431.97,4887.32,4556.38,330.94,0.0677,Low,296.28
62,1971,22,2,2417,63.0,345.82,20775.88,19323.55,1452.33,0.0699,Low,1010.91
63,437,2,2,78,103.0,328.63,30769.72,29840.57,929.15,0.0302,Low,3078.98
64,791,14,4,391,61.0,395.33,22783.02,19479.43,3303.59,0.145,Medium,1332.31
65,793,16,2,1185,79.0,367.22,28414.77,23411.64,5003.13,0.1761,Medium,595.96
66,1482,22,4,1333,42.0,378.16,14792.48,13220.73,1571.75,0.1063,Medium,1090.37
67,768,11,5,756,16.0,521.12,8337.96,5908.78,2429.18,0.2913,High,0.0
68,676,9,1,127,76.0,654.37,48702.35,40650.36,8051.99,0.1653,Medium,1029.87
69,496,8,4,683,40.0,383.53,14756.25,12864.71,1891.54,0.1282,Medium,584.92
70,2159,30,4,1750,24.0,371.02,8748.14,7173.35,1574.79,0.18,Medium,156.41
71,1794,23,4,1619,34.0,375.92,12105.8,10729.55,1376.25,0.1137,Medium,675.62
72,947,18,1,737,23.0,586.98,12822.95,11898.36,924.59,0.0721,Low,677.62
73,77,4,2,161,87.0,318.08,26773.47,26019.46,754.01,0.0282,Low,899.67
74,2075,22,1,1297,102.0,603.22,57607.83,53929.6,3678.23,0.0638,Low,3920.73
75,788,19,2,2258,35.0,351.2,11500.97,10346.2,1154.77,0.1004,Medium,791.02
76,1848,22,3,2230,24.0,699.4,15561.48,12901.76,2659.72,0.1709,Medium,1224.14
77,534,3,2,158,31.0,308.67,9332.58,9435.38,-102.8,-0.011,Loss,236.33
78,276,1,4,1898,59.0,324.91,18922.26,17735.65,1186.61,0.0627,Low,247.64
79,1685,23,5,2304,34.0,467.28,14798.36,12557.13,2241.23,0.1515,Medium,1089.14
80,1321,11,3,1741,20.0,766.9,15038.48,10533.31,4505.17,0.2996,High,299.47
81,507,3,1,1805,15.0,688.34,9857.02,8179.4,1677.62,0.1702,Medium,468.04
82,1962,21,4,2316,43.0,345.86,14303.79,13060.43,1243.36,0.0869,Low,568.35
83,1193,20,1,459,48.0,600.19,28343.57,27523.65,819.92,0.0289,Low,465.73
84,275,7,3,257,26.0,788.93,19404.55,13217.06,6187.49,0.3189,High,1107.52
85,1546,27,5,1840,13.0,529.05,6877.65,4934.85,1942.8,0.2825,High,0.0
86,1267,17,4,34,40.0,395.8,15690.73,12835.97,2854.76,0.1819,Medium,141.17
87,1868,21,2,1120,24.0,369.83,8740.92,6864.19,1876.73,0.2147,Medium,134.99
88,1757,22,2,992,113.0,364.72,37146.23,34445.32,2700.91,0.0727,Low,4066.86
89,2074,26,4,2016,66.0,359.75,21943.68,21078.31,865.37,0.0394,Low,1800.06
90,917,20,4,1515,45.0,334.85,14782.66,14462.64,320.02,0.0216,Low,285.61
91,736,11,4,1793,26.0,403.93,10352.55,8576.21,1776.34,0.1716,Medium,149.7
92,2168,24,1,240,31.0,601.72,18551.88,16162.64,2389.24,0.1288,Medium,101.38
93,1288,16,5,2122,18.0,415.31,7236.6,6961.98,274.62,0.0379,Low,239.04
94,1669,23,3,367,28.0,576.7,15103.19,14698.99,404.2,0.0268,Low,1044.4
95,1080,14,5,570,32.0,508.97,15014.03,11868.38,3145.65,0.2095,Medium,1272.88
96,754,12,5,130,12.0,497.31,5754.44,4443.48,1310.96,0.2278,High,213.27
97,618,6,5,1756,9.0,578.16,4829.97,3652.52,1177.45,0.2438,High,373.47
98,2137,22,4,1710,27.0,428.59,10409.09,8932.69,1476.4,0.1418,Medium,1162.8
99,1814,26,2,591,62.0,319.56,18180.18,18552.82,-372.64,-0.0205,Loss,1632.47
100,41,5,3,1197,19.0,630.36,11412.59,10010.48,1402.11,0.1229,Medium,564.23
101,2084,29,4,2377,72.0,336.57,22525.14,22048.95,476.19,0.0211,Low,1707.66
102,1954,22,5,1993,20.0,652.4,12201.16,7567.82,4633.34,0.3797,High,846.8
103,2146,26,5,1847,17.0,534.52,8661.91,6611.64,2050.27,0.2367,High,424.94
104,624,6,2,1828,60.0,332.18,19533.26,17881.83,1651.43,0.0845,Low,397.42
105,1292,17,4,599,47.0,379.18,17514.37,14400.46,3113.91,0.1778,Medium,307.22
106,978,14,1,461,182.0,596.91,101831.33,94420.02,7411.31,0.0728,Low,6805.94
107,330,8,4,491,48.0,355.21,15828.54,14412.33,1416.21,0.0895,Low,1221.49
108,486,1,3,2203,20.0,800.91,15427.17,10630.36,4796.81,0.3109,High,591.07
109,858,16,2,996,48.0,358.47,16585.71,14964.28,1621.43,0.0978,Low,620.75
110,197,1,1,2305,42.0,679.83,27317.72,22032.53,5285.19,0.1935,Medium,1235.21
111,1324,13,4,2093,61.0,366.04,21441.25,18460.79,2980.46,0.139,Medium,886.91
112,344,2,3,320,17.0,750.57,11992.53,8709.79,3282.74,0.2737,High,767.18
113,1216,12,4,543,61.0,371.44,21333.84,18495.9,2837.94,0.133,Medium,1323.99
114,1153,16,4,1221,8.0,371.87,2756.48,2394.89,361.59,0.1312,Medium,218.49
115,1938,26,5,2048,30.0,602.4,16942.66,11616.27,5326.39,0.3144,High,1129.28
116,133,9,4,1463,41.0,325.94,13141.72,12262.71,879.01,0.0669,Low,221.99
117,788,14,1,1717,112.0,645.04,66908.78,60712.41,6196.37,0.0926,Low,5335.89
118,543,2,2,1040,94.0,299.12,26422.22,25591.93,830.29,0.0314,Low,1695.37
119,1025,14,2,1274,71.0,343.75,22845.19,21159.4,1685.79,0.0738,Low,1561.32
120,1781,29,1,254,69.0,569.94,38156.14,34703.81,3452.33,0.0905,Low,1169.7
121,1975,29,4,2328,61.0,333.51,17910.71,19159.79,-1249.08,-0.0697,Loss,2433.42
122,147,8,2,869,157.0,341.69,49288.25,47350.73,1937.52,0.0393,Low,4356.88
123,157,1,1,699,23.0,706.04,15718.88,13041.69,2677.19,0.1703,Medium,519.95
124,1039,14,4,1794,32.0,405.28,12198.6,10824.83,1373.77,0.1126,Medium,770.27
125,697,9,2,279,56.0,356.37,19553.59,17269.24,2284.35,0.1168,Medium,403.28
126,465,7,4,1386,51.0,361.72,17982.79,15870.4,2112.39,0.1175,Medium,465.11
127,1727,29,1,650,36.0,560.44,18722.9,18825.29,-102.39,-0.0055,Loss,1452.89
128,1856,23,4,84,70.0,350.57,22908.21,22379.07,529.14,0.0231,Low,1631.69
129,611,9,5,1372,28.0,567.12,14946.52,11363.61,3582.91,0.2397,High,932.81
130,284,9,3,1617,18.0,664.69,11201.12,9468.41,1732.71,0.1547,Medium,763.24
131,998,12,2,140,46.0,380.58,16897.71,12630.57,4267.14,0.2525,High,608.8
132,61,5,2,1110,131.0,319.05,39096.51,38887.95,208.56,0.0053,Low,2698.67
133,1789,25,2,1978,30.0,336.9,10107.14,8531.1,1576.04,0.1559,Medium,0.0
134,1991,22,5,1092,27.0,476.72,12020.49,10473.86,1546.63,0.1287,Medium,851.01
135,1655,29,4,2085,48.0,368.78,16758.3,15633.46,1124.84,0.0671,Low,943.33
136,1603,29,4,2204,54.0,338.23,17431.88,16461.21,970.67,0.0557,Low,832.7
137,1030,13,4,678,110.0,367.28,37740.98,33282.75,4458.23,0.1181,Medium,2659.76
138,429,8,3,914,53.0,604.71,29576.23,26527.56,3048.67,0.1031,Medium,2473.3
139,1045,16,1,244,108.0,588.2,61803.09,55027.44,6775.65,0.1096,Medium,1722.0
140,2119,29,4,1889,57.0,370.64,19405.92,16596.87,2809.05,0.1448,Medium,1720.51
141,1929,22,5,1033,54.0,513.58,26087.3,20145.01,5942.29,0.2278,High,1645.87
142,704,2,2,1262,127.0,319.29,38034.21,34783.15,3251.06,0.0855,Low,2516.14
143,475,6,2,1148,12.0,298.07,3576.83,3433.5,143.33,0.0401,Low,0.0
144,1646,30,1,1426,17.0,651.1,10883.09,8950.4,1932.69,0.1776,Medium,185.61
145,1854,21,4,513,24.0,383.75,8738.81,7569.84,1168.97,0.1338,Medium,471.3
146,1182,13,2,671,80.0,371.9,27673.92,24715.52,2958.4,0.1069,Medium,2077.97
147,51,5,3,1848,9.0,651.97,5386.04,4958.87,427.17,0.0793,Low,481.67
148,2150,26,1,1863,46.0,662.67,28667.64,25979.57,2688.07,0.0938,Low,1814.99
149,757,19,4,2177,71.0,338.82,23003.1,20796.58,2206.52,0.0959,Low,1053.11
150,650,8,4,772,52.0,364.01,17448.19,17326.05,122.14,0.007,Low,1480.36
151,759,12,2,1774,84.0,304.62,24218.14,24030.93,187.21,0.0077,Low,1369.68
152,2083,23,4,1781,30.0,347.42,9701.17,9221.72,479.45,0.0494,Low,721.31
153,635,7,1,228,24.0,619.49,14365.47,12970.67,1394.8,0.0971,Low,502.21
154,379,10,2,2282,54.0,318.31,16785.91,16138.91,647.0,0.0385,Low,402.83
155,840,15,2,2154,30.0,355.48,10109.48,9127.17,982.31,0.0972,Low,554.85
156,375,10,5,1202,20.0,404.5,8090.01,7291.44,798.57,0.0987,Low,0.0
157,510,3,1,356,79.0,560.23,43180.48,39711.87,3468.61,0.0803,Low,1077.46
158,1348,12,2,1692,68.0,358.41,23549.08,20071.72,3477.36,0.1477,Medium,823.03
159,1257,19,1,1971,95.0,693.41,61885.33,51812.26,10073.07,0.1628,Medium,3988.62
160,933,16,2,1744,28.0,311.01,8450.94,8235.82,215.12,0.0255,Low,257.4
161,1285,14,4,751,40.0,341.87,12581.45,12618.32,-36.87,-0.0029,Loss,1093.19
162,317,9,4,2091,45.0,391.66,16505.06,15309.81,1195.25,0.0724,Low,1119.62
163,1976,29,2,1387,117.0,302.54,33402.55,32206.87,1195.68,0.0358,Low,1994.24
164,1409,19,4,796,57.0,381.97,21230.02,17265.88,3964.14,0.1867,Medium,542.25
165,472,4,2,1363,107.0,355.04,37378.79,32371.6,5007.19,0.134,Medium,610.32
166,693,9,4,2109,43.0,328.25,13209.22,12694.1,515.12,0.039,Low,905.73
167,642,8,5,632,7.0,511.3,3332.33,2844.86,487.47,0.1463,Medium,246.79
168,1388,14,1,2137,139.0,614.19,79439.27,69881.41,9557.86,0.1203,Medium,5933.69
169,644,2,2,884,143.0,340.16,46516.26,41872.41,4643.85,0.0998,Low,2126.48
170,345,9,2,1030,34.0,352.77,11803.17,10053.63,1749.54,0.1482,Medium,190.94
171,429,6,2,1180,76.0,347.94,25352.84,22728.26,2624.58,0.1035,Medium,1090.31
172,1059,15,1,952,91.0,561.08,48251.52,48336.06,-84.54,-0.0018,Loss,2806.98
173,824,19,4,370,26.0,383.82,9701.32,8550.84,1150.48,0.1186,Medium,277.96
174,911,14,2,520,26.0,315.69,7552.43,7626.97,-74.54,-0.0099,Loss,655.41
175,1217,12,4,2310,47.0,383.11,17326.38,13739.76,3586.62,0.207,Medium,679.56
176,1951,22,1,1976,92.0,599.09,49750.73,46024.28,3726.45,0.0749,Low,5365.15
177,641,2,1,1002,88.0,637.05,53163.81,47835.27,5328.54,0.1002,Medium,2896.84
178,2111,21,4,2350,68.0,355.02,23510.65,21115.43,2395.22,0.1019,Medium,630.69
179,677,6,3,1024,17.0,830.17,13958.44,9146.6,4811.84,0.3447,High,154.42
180,1962,21,2,1622,42.0,284.96,11323.41,11678.82,-355.41,-0.0314,Loss,644.84
181,371,9,3,271,11.0,759.11,7947.96,5629.51,2318.45,0.2917,High,402.27
182,763,15,3,2132,6.0,851.01,4893.54,3053.31,1840.23,0.3761,High,212.55
183,1263,15,4,25,54.0,343.61,18125.14,16346.26,1778.88,0.0981,Low,429.55
184,265,1,5,2344,15.0,544.64,8036.17,6080.0,1956.17,0.2434,High,133.45
185,302,6,1,590,118.0,610.07,69217.87,59625.78,9592.09,0.1386,Medium,2770.02
186,1272,19,2,1776,53.0,347.39,17592.34,14852.67,2739.67,0.1557,Medium,819.21
187,1609,22,3,1421,20.0,759.34,14269.82,9927.56,4342.26,0.3043,High,917.02
188,818,12,3,2333,23.0,743.18,16630.39,12218.83,4411.56,0.2653,High,462.81
189,1156,14,1,1003,63.0,631.88,37567.4,33274.71,4292.69,0.1143,Medium,2240.75
190,1378,19,3,2141,44.0,703.71,29919.97,24915.84,5004.13,0.1673,Medium,1043.22
191,2036,23,3,321,11.0,565.13,5800.95,5479.42,321.53,0.0554,Low,415.52
192,784,12,2,1677,86.0,322.3,26733.12,24115.84,2617.28,0.0979,Low,985.06
193,1453,14,1,1047,39.0,698.06,26735.6,20558.83,6176.77,0.231,High,488.85
194,912,12,2,1780,36.0,310.93,10802.42,9958.93,843.49,0.0781,Low,391.02
195,847,18,5,2388,18.0,437.46,7643.19,6835.0,808.19,0.1057,Medium,231.04
196,72,2,2,1252,55.0,344.99,17335.3,16511.47,823.83,0.0475,Low,1638.88
197,1866,24,4,2436,51.0,340.43,16321.56,15611.68,709.88,0.0435,Low,1040.22
198,365,7,4,1174,56.0,426.7,23095.84,16788.67,6307.17,0.2731,High,799.21
199,126,9,4,1953,80.0,362.9,27882.9,23466.67,4416.23,0.1584,Medium,1148.73
200,619,4,3,1945,5.0,847.82,4125.4,2600.77,1524.63,0.3696,High,113.68
201,1216,16,1,1080,41.0,596.49,23717.2,21187.42,2529.78,0.1067,Medium,738.87
202,1078,11,2,1576,110.0,328.99,34558.56,30492.91,4065.65,0.1176,Medium,1630.03
203,63,9,1,1156,65.0,527.16,32390.45,32334.21,56.24,0.0017,Low,1875.16
204,470,1,2,2081,60.0,339.47,19552.89,17658.04,1894.85,0.0969,Low,815.54
205,679,9,2,1374,25.0,345.53,8291.61,7353.83,937.78,0.1131,Medium,346.7
206,1468,22,5,1179,15.0,583.24,8249.48,5588.57,2660.91,0.3226,High,499.08
207,1073,15,1,394,77.0,562.82,41874.53,39976.41,1898.12,0.0453,Low,1462.24
208,1537,26,4,1431,38.0,394.87,13924.03,11162.11,2761.92,0.1984,Medium,1080.88
209,2127,24,2,2386,55.0,345.74,18533.35,16691.65,1841.7,0.0994,Low,482.61
210,678,3,4,1117,14.0,381.96,5126.6,4425.66,700.94,0.1367,Medium,220.89
211,621,5,2,2234,91.0,311.96,26070.68,26126.19,-55.51,-0.0021,Loss,2317.74
212,1166,13,1,970,123.0,659.23,76945.84,67568.48,9377.36,0.1219,Medium,4139.03
213,2180,29,2,253,78.0,344.15,24960.79,22881.09,2079.7,0.0833,Low,1882.86
214,545,4,2,614,95.0,318.25,28727.02,27573.11,1153.91,0.0402,Low,1506.89
215,416,7,1,173,31.0,633.78,18474.7,17067.88,1406.82,0.0761,Low,1172.35
216,204,9,5,1566,29.0,584.37,16542.97,11539.22,5003.75,0.3025,High,403.81
217,365,7,1,589,31.0,629.11,18957.6,17050.29,1907.31,0.1006,Medium,544.91
218,1191,11,1,12,45.0,658.84,29027.6,23950.21,5077.39,0.1749,Medium,620.22
219,1411,20,3,2021,8.0,622.36,4805.62,3971.06,834.56,0.1737,Medium,173.3
220,880,18,4,2242,19.0,341.75,6279.69,5527.13,752.56,0.1198,Medium,213.62
221,987,19,1,1408,84.0,661.39,53730.48,44403.34,9327.14,0.1736,Medium,1826.24
222,1487,24,1,768,38.0,601.95,21336.64,20326.11,1010.53,0.0474,Low,1537.58
223,1053,12,4,510,47.0,355.43,16371.71,14690.35,1681.36,0.1027,Medium,333.34
224,1066,11,4,1665,63.0,357.45,21476.4,20759.74,716.66,0.0334,Low,1043.07
225,430,4,1,1734,54.0,533.34,26707.65,26922.78,-215.13,-0.0081,Loss,2092.69
226,143,3,4,2484,59.0,364.68,20604.63,18354.38,2250.25,0.1092,Medium,911.21
227,1731,28,5,2425,26.0,491.11,12644.06,9678.22,2965.84,0.2346,High,124.68
228,172,7,2,2100,27.0,346.48,8878.37,7981.61,896.76,0.101,Medium,476.56
229,435,10,2,2052,46.0,295.24,13581.18,12790.83,790.35,0.0582,Low,0.0
230,1085,18,5,1836,10.0,617.71,5799.1,4018.61,1780.49,0.307,High,377.96
231,878,11,2,2374,72.0,327.85,22482.8,21686.73,796.07,0.0354,Low,1122.68
232,874,13,5,923,60.0,497.2,27889.72,22998.76,4890.96,0.1754,Medium,1942.55
233,993,12,2,2126,33.0,358.24,11381.36,10050.56,1330.8,0.1169,Medium,440.58
234,1176,13,4,1914,178.0,342.41,58021.84,56139.58,1882.26,0.0324,Low,2927.73
235,1248,11,1,1927,27.0,594.96,15600.25,14347.84,1252.41,0.0803,Low,463.75
236,63,7,4,1849,25.0,362.14,8749.16,7960.14,789.02,0.0902,Low,304.39
237,170,8,3,2181,27.0,576.4,14814.1,13831.58,982.52,0.0663,Low,748.72
238,195,10,5,523,5.0,420.34,2064.77,1989.93,74.84,0.0362,Low,36.94
239,899,12,2,1351,24.0,385.21,9006.0,7220.41,1785.59,0.1983,Medium,239.01
240,1632,29,1,117,52.0,548.36,26406.63,27246.21,-839.58,-0.0318,Loss,2107.95
241,2137,23,3,2480,21.0,633.99,12500.62,11027.78,1472.84,0.1178,Medium,813.16
242,1364,19,5,1968,33.0,504.36,16060.91,12336.23,3724.68,0.2319,High,582.82
243,735,12,5,1520,24.0,577.92,13288.57,9339.45,3949.12,0.2972,High,581.54
244,7,8,1,2243,71.0,654.15,44812.64,36939.1,7873.54,0.1757,Medium,1632.29
245,860,20,4,1418,29.0,330.37,9426.64,8458.28,968.36,0.1027,Medium,154.2
246,1430,14,4,544,54.0,487.81,24499.0,17869.8,6629.2,0.2706,High,1842.88
247,1467,27,1,793,62.0,588.89,35626.96,32539.61,3087.35,0.0867,Low,884.11
248,811,11,4,2157,33.0,387.9,12317.01,9832.63,2484.38,0.2017,Medium,483.75
249,866,17,4,962,54.0,367.75,18923.3,17053.54,1869.76,0.0988,Low,935.14
250,1028,12,3,709,17.0,746.53,12587.27,8741.76,3845.51,0.3055,High,103.81
251,573,7,1,611,96.0,572.07,53140.53,49667.38,3473.15,0.0654,Low,1778.57
252,1047,12,2,2075,77.0,362.6,26263.22,21523.59,4739.63,0.1805,Medium,1656.79
253,308,9,2,758,55.0,343.98,18262.41,16330.15,1932.26,0.1058,Medium,656.41
254,84,7,3,1478,18.0,703.64,12007.04,9802.17,2204.87,0.1836,Medium,658.4
255,888,15,4,769,63.0,323.74,20194.85,18429.55,1765.3,0.0874,Low,201.06
256,826,14,1,1729,106.0,653.3,65273.93,60057.76,5216.17,0.0799,Low,3975.85
257,551,7,3,1969,6.0,781.11,4376.35,3129.41,1246.94,0.2849,High,310.29
258,1324,12,1,307,53.0,600.23,30738.2,28882.67,1855.53,0.0604,Low,1074.24
259,1296,11,2,2445,56.0,343.82,18822.1,15958.25,2863.85,0.1522,Medium,432.07
260,1643,28,4,1660,36.0,398.87,14359.45,11746.68,2612.77,0.182,Medium,0.0
261,1648,21,1,2028,39.0,572.1,21679.24,19397.19,2282.05,0.1053,Medium,632.8
262,967,11,4,571,25.0,445.43,10472.01,7939.98,2532.03,0.2418,High,663.63
263,240,6,4,60,23.0,352.08,7828.09,6861.44,966.65,0.1235,Medium,269.68
264,899,12,3,790,23.0,645.12,14520.95,11818.19,2702.76,0.1861,Medium,316.89
265,1685,23,2,1200,44.0,388.14,16357.74,13310.65,3047.09,0.1863,Medium,720.62
266,329,3,2,371,43.0,325.01,13463.03,12334.54,1128.49,0.0838,Low,512.53
267,678,6,4,645,80.0,348.15,26976.72,27046.43,-69.71,-0.0026,Loss,875.15
268,1251,17,5,1753,5.0,515.18,2575.91,1910.58,665.33,0.2583,High,0.0
269,2136,28,4,1451,23.0,430.86,9524.38,7291.32,2233.06,0.2345,High,385.31
270,207,3,1,1096,48.0,571.85,26825.5,25811.52,1013.98,0.0378,Low,623.22
271,191,2,4,1769,80.0,379.68,28394.43,25473.71,2920.72,0.1029,Medium,1979.62
272,2090,30,2,362,31.0,375.35,11108.8,9043.71,2065.09,0.1859,Medium,527.07
273,6,6,4,2287,31.0,379.88,11464.96,9364.58,2100.38,0.1832,Medium,311.44
274,548,2,4,2409,31.0,441.04,11957.59,9438.42,2519.17,0.2107,Medium,1714.69
275,323,9,4,1733,49.0,374.6,17717.43,15324.33,2393.1,0.1351,Medium,637.78
276,29,5,2,2302,77.0,332.83,24003.06,22675.4,1327.66,0.0553,Low,1624.99
277,219,5,5,687,35.0,569.3,18797.83,13695.21,5102.62,0.2714,High,1127.74
278,1485,25,2,98,53.0,339.03,17016.53,16772.74,243.79,0.0143,Low,951.81
279,674,8,1,1707,90.0,581.89,49424.64,46244.46,3180.18,0.0643,Low,2945.7
280,1290,19,4,1154,67.0,364.8,23494.63,20072.08,3422.55,0.1457,Medium,947.27
281,685,9,2,457,76.0,327.29,24092.13,22129.79,1962.34,0.0815,Low,781.64
282,885,20,1,1980,58.0,666.7,36489.01,31253.29,5235.72,0.1435,Medium,2179.36
283,210,8,1,1477,84.0,631.5,47526.69,46042.31,1484.38,0.0312,Low,5519.54
284,1476,23,4,2420,20.0,365.31,6827.04,6360.25,466.79,0.0684,Low,479.13
285,835,16,1,1983,45.0,547.97,23919.95,23698.17,221.78,0.0093,Low,738.61
286,729,6,2,2045,38.0,363.73,13092.12,11558.44,1533.68,0.1171,Medium,729.72
287,627,6,4,107,90.0,338.23,29854.52,26352.7,3501.82,0.1173,Medium,586.18
288,1757,25,1,562,32.0,644.81,19558.43,18096.75,1461.68,0.0747,Low,1075.38
289,326,1,2,1127,78.0,306.99,22981.22,21244.22,1737.0,0.0756,Low,963.65
290,1975,29,4,1023,47.0,399.77,17243.74,14485.92,2757.82,0.1599,Medium,1545.32
291,738,14,2,667,54.0,326.41,16806.79,15725.95,1080.84,0.0643,Low,819.12
292,1329,13,4,540,68.0,351.58,22124.77,21894.11,230.66,0.0104,Low,1782.4
293,1236,15,5,2144,21.0,501.04,10169.67,8703.35,1466.32,0.1442,Medium,352.17
294,353,9,4,1872,55.0,370.58,19859.67,16144.61,3715.06,0.1871,Medium,522.35
295,892,14,5,2131,9.0,450.18,3771.27,3594.36,176.91,0.0469,Low,280.31
296,777,15,3,999,21.0,666.88,13244.24,10558.65,2685.59,0.2028,Medium,760.33
297,1786,29,5,2359,19.0,559.84,9991.83,7335.95,2655.88,0.2658,High,645.2
