fact_satisfaction_id,sk_date,sk_client,sk_order,satisfaction_score,satisfaction_band,complaint_flag,nps_class,resolution_hours
78,276,1,1898,4.9,Excellent,0,Promoter,66.28
79,1685,23,2304,5.0,Excellent,0,Promoter,21.49
80,1321,11,1741,4.1,Good,0,Passive,98.67
81,507,3,1805,3.7,Average,0,Passive,72.49
82,1962,21,2316,4.1,Good,0,Passive,30.88
83,1193,20,459,4.5,Excellent,0,Promoter,61.6
84,275,7,257,4.7,Excellent,0,Promoter,26.91
85,1546,27,1840,3.0,Average,1,Detractor,122.94
86,1267,17,34,4.2,Good,0,Passive,45.53
87,1868,21,1120,3.9,Average,1,Passive,29.03
88,1757,22,992,3.7,Average,1,Passive,61.11
89,2074,26,2016,4.8,Excellent,0,Promoter,98.34
90,917,20,1515,4.2,Good,0,Passive,36.79
91,736,11,1793,4.7,Excellent,0,Promoter,84.19
92,2168,24,240,4.3,Good,0,Passive,33.14
93,1288,16,2122,3.8,Average,1,Passive,79.81
94,1669,23,367,3.2,Average,1,Detractor,185.07
95,1080,14,570,4.4,Good,1,Passive,23.75
96,754,12,130,4.7,Excellent,0,Promoter,86.45
97,618,6,1756,4.0,Good,0,Passive,34.42
98,2137,22,1710,3.0,Average,1,Detractor,64.1
99,1814,26,591,3.9,Average,0,Passive,10.29
100,41,5,1197,5.0,Excellent,0,Promoter,71.88
101,2084,29,2377,4.1,Good,0,Passive,40.64
102,1954,22,1993,4.8,Excellent,0,Promoter,21.05
103,2146,26,1847,5.0,Excellent,0,Promoter,18.78
104,624,6,1828,3.4,Average,1,Detractor,68.84
105,1292,17,599,4.7,Excellent,0,Promoter,18.77
106,978,14,461,4.7,Excellent,0,Promoter,22.55
107,330,8,491,4.7,Excellent,0,Promoter,101.33
108,486,1,2203,4.5,Excellent,0,Promoter,23.8
109,858,16,996,4.0,Good,0,Passive,25.2
110,197,1,2305,3.9,Average,0,Passive,19.92
111,1324,13,2093,4.3,Good,0,Passive,17.65
112,344,2,320,4.2,Good,1,Passive,200.64
113,1216,12,543,4.8,Excellent,0,Promoter,45.36
114,1153,16,1221,4.7,Excellent,0,Promoter,90.79
115,1938,26,2048,4.7,Excellent,0,Promoter,47.13
116,133,9,1463,3.6,Average,1,Passive,145.84
117,788,14,1717,4.5,Excellent,0,Promoter,39.86
118,543,2,1040,5.0,Excellent,0,Promoter,30.1
119,1025,14,1274,3.7,Average,1,Passive,163.11
120,1781,29,254,3.0,Average,1,Detractor,68.44
121,1975,29,2328,3.6,Average,1,Passive,64.0
122,147,8,869,4.6,Excellent,0,Promoter,48.41
123,157,1,699,3.8,Average,1,Passive,45.58
124,1039,14,1794,4.8,Excellent,0,Promoter,95.39
125,697,9,279,3.7,Average,1,Passive,165.56
126,465,7,1386,4.2,Good,0,Passive,73.05
127,1727,29,650,2.9,Poor,1,Detractor,127.49
128,1856,23,84,4.9,Excellent,0,Promoter,47.98
129,611,9,1372,3.5,Average,0,Passive,13.79
130,284,9,1617,4.4,Good,1,Passive,87.78
131,998,12,140,2.9,Poor,1,Detractor,46.65
132,61,5,1110,5.0,Excellent,0,Promoter,49.71
133,1789,25,1978,4.4,Good,0,Passive,18.93
134,1991,22,1092,3.7,Average,0,Passive,24.64
135,1655,29,2085,4.8,Excellent,0,Promoter,55.96
136,1603,29,2204,4.0,Good,1,Passive,85.8
137,1030,13,678,4.7,Excellent,0,Promoter,105.43
138,429,8,914,4.7,Excellent,0,Promoter,42.56
139,1045,16,244,3.6,Average,1,Passive,178.91
140,2119,29,1889,4.7,Excellent,0,Promoter,48.41
141,1929,22,1033,4.0,Good,0,Passive,18.58
142,704,2,1262,4.9,Excellent,0,Promoter,52.05
143,475,6,1148,3.7,Average,1,Passive,166.83
144,1646,30,1426,2.7,Poor,1,Detractor,160.42
145,1854,21,513,4.5,Excellent,0,Promoter,44.79
146,1182,13,671,3.6,Average,0,Passive,83.08
147,51,5,1848,4.5,Excellent,0,Promoter,38.04
148,2150,26,1863,4.4,Good,0,Passive,96.1
149,757,19,2177,4.0,Good,1,Passive,49.19
150,650,8,772,4.1,Good,1,Passive,59.12
151,759,12,1774,4.9,Excellent,0,Promoter,19.53
152,2083,23,1781,3.1,Average,1,Detractor,146.66
153,635,7,228,3.7,Average,0,Passive,68.59
154,379,10,2282,3.9,Average,0,Passive,48.47
155,840,15,2154,4.8,Excellent,0,Promoter,23.85
156,375,10,1202,4.7,Excellent,1,Promoter,157.93
157,510,3,356,4.6,Excellent,0,Promoter,5.32
158,1348,12,1692,4.1,Good,0,Passive,16.95
159,1257,19,1971,4.7,Excellent,0,Promoter,37.7
160,933,16,1744,4.5,Excellent,0,Promoter,15.75
161,1285,14,751,4.7,Excellent,0,Promoter,28.93
162,317,9,2091,4.5,Excellent,0,Promoter,16.36
163,1976,29,1387,4.8,Excellent,1,Promoter,104.7
164,1409,19,796,3.8,Average,0,Passive,62.58
165,472,4,1363,4.4,Good,0,Passive,21.72
166,693,9,2109,4.4,Good,0,Passive,38.52
167,642,8,632,4.8,Excellent,0,Promoter,8.46
168,1388,14,2137,3.9,Average,1,Passive,22.59
169,644,2,884,4.4,Good,0,Passive,42.5
170,345,9,1030,3.0,Average,1,Detractor,43.44
171,429,6,1180,3.1,Average,1,Detractor,88.4
172,1059,15,952,4.7,Excellent,0,Promoter,14.88
173,824,19,370,4.3,Good,1,Passive,165.53
174,911,14,520,3.9,Average,0,Passive,24.02
175,1217,12,2310,4.5,Excellent,0,Promoter,11.56
176,1951,22,1976,3.6,Average,1,Passive,88.68
177,641,2,1002,3.9,Average,1,Passive,170.88
178,2111,21,2350,4.5,Excellent,0,Promoter,35.34
179,677,6,1024,4.2,Good,0,Passive,79.33
180,1962,21,1622,3.9,Average,0,Passive,32.85
181,371,9,271,4.2,Good,0,Passive,17.93
182,763,15,2132,4.6,Excellent,0,Promoter,33.19
183,1263,15,25,4.5,Excellent,0,Promoter,31.06
184,265,1,2344,4.2,Good,0,Passive,41.65
185,302,6,590,4.7,Excellent,0,Promoter,22.04
186,1272,19,1776,4.2,Good,1,Passive,136.78
187,1609,22,1421,3.9,Average,0,Passive,65.21
188,818,12,2333,4.4,Good,1,Passive,116.89
189,1156,14,1003,3.9,Average,0,Passive,39.86
190,1378,19,2141,3.9,Average,1,Passive,204.4
191,2036,23,321,3.6,Average,0,Passive,20.04
192,784,12,1677,4.2,Good,0,Passive,65.01
193,1453,14,1047,4.1,Good,0,Passive,30.0
194,912,12,1780,5.0,Excellent,0,Promoter,43.16
195,847,18,2388,4.2,Good,0,Passive,25.78
196,72,2,1252,4.5,Excellent,0,Promoter,76.03
197,1866,24,2436,5.0,Excellent,0,Promoter,38.15
198,365,7,1174,3.2,Average,0,Detractor,27.23
199,126,9,1953,4.0,Good,0,Passive,67.45
200,619,4,1945,4.5,Excellent,0,Promoter,33.57
201,1216,16,1080,3.5,Average,1,Passive,69.0
202,1078,11,1576,4.0,Good,0,Passive,54.42
203,63,9,1156,3.7,Average,1,Passive,106.23
204,470,1,2081,4.4,Good,1,Passive,126.8
205,679,9,1374,3.9,Average,0,Passive,24.18
206,1468,22,1179,4.2,Good,0,Passive,45.55
207,1073,15,394,4.7,Excellent,0,Promoter,39.51
208,1537,26,1431,3.1,Average,1,Detractor,141.07
209,2127,24,2386,2.8,Poor,1,Detractor,104.79
210,678,3,1117,3.2,Average,1,Detractor,46.64
211,621,5,2234,4.3,Good,1,Passive,102.91
212,1166,13,970,3.7,Average,0,Passive,15.65
213,2180,29,253,4.0,Good,0,Passive,55.73
214,545,4,614,3.3,Average,1,Detractor,112.67
215,416,7,173,3.5,Average,0,Passive,17.26
216,204,9,1566,4.7,Excellent,0,Promoter,10.55
217,365,7,589,3.7,Average,0,Passive,16.62
218,1191,11,12,4.4,Good,0,Passive,27.21
219,1411,20,2021,3.6,Average,0,Passive,22.36
220,880,18,2242,4.1,Good,0,Passive,38.44
221,987,19,1408,4.8,Excellent,0,Promoter,59.97
222,1487,24,768,4.2,Good,0,Passive,44.78
223,1053,12,510,4.4,Good,0,Passive,30.48
224,1066,11,1665,4.5,Excellent,0,Promoter,35.69
225,430,4,1734,3.0,Average,1,Detractor,73.23
226,143,3,2484,4.3,Good,0,Passive,55.42
227,1731,28,2425,4.3,Good,0,Passive,38.54
228,172,7,2100,4.3,Good,0,Passive,31.17
229,435,10,2052,4.3,Good,0,Passive,33.72
230,1085,18,1836,4.3,Good,0,Passive,14.85
231,878,11,2374,4.8,Excellent,0,Promoter,23.18
232,874,13,923,4.5,Excellent,1,Promoter,160.79
233,993,12,2126,4.4,Good,0,Passive,69.94
234,1176,13,1914,4.4,Good,0,Passive,29.4
235,1248,11,1927,3.5,Average,1,Passive,163.37
236,63,7,1849,4.6,Excellent,0,Promoter,17.62
237,170,8,2181,4.4,Good,0,Passive,59.08
238,195,10,523,4.2,Good,0,Passive,22.75
239,899,12,1351,3.6,Average,1,Passive,74.2
240,1632,29,117,3.3,Average,0,Detractor,10.79
241,2137,23,2480,2.9,Poor,1,Detractor,154.19
242,1364,19,1968,4.4,Good,0,Passive,35.41
243,735,12,1520,5.0,Excellent,0,Promoter,86.1
244,7,8,2243,4.8,Excellent,0,Promoter,80.73
245,860,20,1418,4.7,Excellent,0,Promoter,19.53
246,1430,14,544,4.8,Excellent,0,Promoter,20.31
247,1467,27,793,3.3,Average,1,Detractor,51.73
248,811,11,2157,4.4,Good,0,Passive,14.13
249,866,17,962,5.0,Excellent,0,Promoter,57.15
250,1028,12,709,4.1,Good,0,Passive,61.97
251,573,7,611,4.0,Good,1,Passive,154.91
252,1047,12,2075,3.7,Average,1,Passive,72.36
253,308,9,758,4.7,Excellent,0,Promoter,94.71
254,84,7,1478,5.0,Excellent,1,Promoter,178.15
255,888,15,769,4.5,Excellent,0,Promoter,37.96
256,826,14,1729,4.7,Excellent,0,Promoter,29.91
257,551,7,1969,4.3,Good,1,Passive,127.45
258,1324,12,307,4.7,Excellent,0,Promoter,36.43
259,1296,11,2445,4.9,Excellent,0,Promoter,35.43
260,1643,28,1660,4.2,Good,0,Passive,14.68
261,1648,21,2028,4.4,Good,0,Passive,25.96
262,967,11,571,4.4,Good,0,Passive,32.61
263,240,6,60,4.7,Excellent,0,Promoter,11.68
264,899,12,790,4.6,Excellent,0,Promoter,75.32
265,1685,23,1200,3.6,Average,0,Passive,58.16
266,329,3,371,4.6,Excellent,0,Promoter,57.18
267,678,6,645,3.8,Average,1,Passive,174.67
268,1251,17,1753,4.3,Good,0,Passive,20.35
269,2136,28,1451,3.6,Average,1,Passive,43.4
270,207,3,1096,4.2,Good,1,Passive,171.37
271,191,2,1769,4.7,Excellent,0,Promoter,62.02
272,2090,30,362,3.7,Average,0,Passive,79.37
273,6,6,2287,4.4,Good,0,Passive,74.16
274,548,2,2409,2.1,Poor,1,Detractor,112.26
275,323,9,1733,4.4,Good,0,Passive,40.65
276,29,5,2302,4.1,Good,0,Passive,29.94
277,219,5,687,3.8,Average,0,Passive,58.82
278,1485,25,98,4.1,Good,0,Passive,58.37
279,674,8,1707,4.3,Good,0,Passive,12.24
280,1290,19,1154,3.9,Average,0,Passive,27.08
281,685,9,457,4.6,Excellent,0,Promoter,45.01
282,885,20,1980,4.6,Excellent,0,Promoter,13.07
283,210,8,1477,3.9,Average,1,Passive,56.82
284,1476,23,2420,4.6,Excellent,0,Promoter,20.66
285,835,16,1983,4.0,Good,1,Passive,47.62
286,729,6,2045,4.3,Good,1,Passive,22.21
287,627,6,107,4.6,Excellent,0,Promoter,39.83
288,1757,25,562,4.5,Excellent,0,Promoter,37.89
289,326,1,1127,4.4,Good,0,Passive,33.08
290,1975,29,1023,4.4,Good,1,Passive,85.68
291,738,14,667,4.4,Good,0,Passive,55.07
292,1329,13,540,4.1,Good,0,Passive,67.23
293,1236,15,2144,4.0,Good,1,Passive,70.79
294,353,9,1872,3.5,Average,0,Passive,25.34
295,892,14,2131,4.4,Good,0,Passive,28.67
296,777,15,999,4.0,Good,0,Passive,39.81
297,1786,29,2359,5.0,Excellent,0,Promoter,68.0
298,355,5,2395,4.0,Good,0,Passive,37.59
299,64,2,1177,4.7,Excellent,0,Promoter,72.67
300,592,1,1322,4.5,Excellent,0,Promoter,85.15
301,1461,14,555,4.9,Excellent,0,Promoter,27.37
302,650,2,2368,4.4,Good,0,Passive,22.71
303,1654,21,1768,3.9,Average,0,Passive,8.92
304,1764,21,1526,3.2,Average,1,Detractor,176.08
305,1172,17,2007,3.8,Average,1,Passive,9.15
306,121,8,2128,5.0,Excellent,0,Promoter,54.44
307,1716,22,651,5.0,Excellent,0,Promoter,32.4
308,453,3,175,3.8,Average,1,Passive,49.29
309,2051,27,840,3.8,Average,0,Passive,32.17
310,646,5,1064,4.6,Excellent,0,Promoter,66.91
311,2004,29,857,3.7,Average,0,Passive,39.38
312,1341,13,730,4.1,Good,0,Passive,69.0
313,1887,29,2112,3.8,Average,1,Passive,37.32
314,760,20,602,4.4,Good,0,Passive,81.37
315,841,13,1913,4.8,Excellent,0,Promoter,61.97
316,1025,19,534,4.5,Excellent,0,Promoter,35.41
317,12,2,2493,4.7,Excellent,0,Promoter,85.14
318,320,3,682,4.4,Good,0,Passive,78.63
319,2015,28,1476,3.8,Average,0,Passive,56.29
320,678,1,2006,4.3,Good,0,Passive,48.45
321,1332,11,1398,4.6,Excellent,0,Promoter,71.38
322,1186,18,2057,4.1,Good,0,Passive,69.16
323,437,8,1940,3.9,Average,1,Passive,185.53
324,1055,18,1749,4.0,Good,1,Passive,90.08
325,1006,11,1704,3.1,Average,1,Detractor,109.12
326,2075,24,138,4.3,Good,0,Passive,52.98
327,431,10,1022,3.5,Average,0,Passive,77.34
328,1560,23,1845,4.0,Good,1,Passive,133.52
329,805,18,2295,4.2,Good,1,Passive,78.83
330,1605,28,2491,3.5,Average,0,Passive,34.86
331,1106,12,49,4.8,Excellent,0,Promoter,9.44
332,1130,20,274,3.7,Average,1,Passive,27.69
333,1413,13,1007,3.8,Average,1,Passive,100.19
334,1132,13,2020,4.5,Excellent,1,Promoter,77.35
335,998,12,833,4.3,Good,0,Passive,20.1
336,1099,14,2343,4.0,Good,0,Passive,75.16
337,1105,16,2402,4.4,Good,0,Passive,56.09
338,1969,23,286,4.9,Excellent,0,Promoter,28.65
339,1559,24,986,4.7,Excellent,0,Promoter,27.33
340,13,5,909,3.9,Average,0,Passive,95.35
341,1887,21,1467,4.5,Excellent,0,Promoter,26.95
342,780,16,278,4.2,Good,1,Passive,176.23
343,238,4,829,3.6,Average,0,Passive,76.05
344,2166,29,81,4.1,Good,0,Passive,45.93
345,1950,22,1735,4.6,Excellent,0,Promoter,53.58
346,1451,18,1679,3.9,Average,0,Passive,10.76
347,1816,21,1918,4.2,Good,0,Passive,15.26
348,690,5,428,5.0,Excellent,0,Promoter,25.06
349,1379,16,184,3.7,Average,1,Passive,137.69
350,216,9,2121,3.9,Average,1,Passive,51.84
351,433,5,1878,5.0,Excellent,0,Promoter,69.16
352,1146,14,288,3.7,Average,1,Passive,157.43
353,1816,25,984,3.5,Average,1,Passive,135.58
354,1593,28,774,4.5,Excellent,0,Promoter,42.66
355,1693,26,1584,4.1,Good,0,Passive,62.92
356,1326,18,643,4.7,Excellent,0,Promoter,18.38
357,2034,27,431,4.1,Good,0,Passive,42.43
358,1454,12,220,3.6,Average,0,Passive,38.04
359,42,10,1325,4.4,Good,0,Passive,24.38
360,1905,28,1696,3.4,Average,0,Detractor,26.86
361,592,5,1075,4.3,Good,0,Passive,25.73
362,1248,19,1261,4.5,Excellent,0,Promoter,38.36
363,1967,29,1077,5.0,Excellent,0,Promoter,13.81
364,61,7,538,4.7,Excellent,0,Promoter,69.29
365,1901,30,1655,3.2,Average,0,Detractor,52.42
366,330,4,102,4.7,Excellent,0,Promoter,16.5
367,503,6,810,3.6,Average,0,Passive,30.49
368,616,9,312,3.6,Average,1,Passive,58.35
369,1285,19,123,5.0,Excellent,0,Promoter,79.48
370,973,14,891,4.9,Excellent,0,Promoter,60.75
371,1071,15,2201,4.2,Good,1,Passive,184.42
372,580,1,1886,3.8,Average,0,Passive,12.4
373,652,9,1716,4.4,Good,0,Passive,30.97
374,517,5,1414,4.1,Good,1,Passive,73.02
375,746,14,2358,4.8,Excellent,0,Promoter,72.75
376,1600,24,2355,4.3,Good,0,Passive,25.86
377,1747,29,51,4.5,Excellent,1,Promoter,21.36
378,1346,15,1375,4.9,Excellent,0,Promoter,39.06
379,324,8,1448,4.1,Good,0,Passive,80.22
380,1385,20,702,3.4,Average,1,Detractor,138.57
381,1263,17,958,4.4,Good,1,Passive,107.68
382,888,12,1592,4.3,Good,0,Passive,45.8
383,682,1,482,3.5,Average,1,Passive,90.62
384,217,6,2433,4.0,Good,0,Passive,79.07
385,267,9,2150,4.5,Excellent,0,Promoter,29.65
386,1007,12,2365,3.7,Average,1,Passive,50.16
387,108,6,2040,4.8,Excellent,0,Promoter,55.92
388,134,8,1633,4.7,Excellent,0,Promoter,73.18
389,132,2,2022,3.5,Average,0,Passive,26.99
390,1745,26,2223,4.3,Good,0,Passive,26.58
391,1783,23,2277,4.0,Good,1,Passive,108.71
392,1326,13,2232,5.0,Excellent,0,Promoter,6.25
393,1585,29,1086,3.9,Average,1,Passive,131.56
394,2029,21,2133,3.4,Average,1,Detractor,25.98
395,879,18,1469,4.4,Good,0,Passive,8.68
396,2109,29,1206,4.2,Good,0,Passive,32.56
397,281,10,377,4.6,Excellent,0,Promoter,48.72
398,287,7,1109,3.6,Average,1,Passive,193.27
399,1822,28,490,4.1,Good,0,Passive,54.8
400,198,2,2173,4.7,Excellent,0,Promoter,49.77
401,356,4,1519,4.8,Excellent,0,Promoter,21.6
402,1048,17,707,4.5,Excellent,0,Promoter,22.6
403,1784,21,486,4.2,Good,0,Passive,25.07
404,337,5,848,4.1,Good,0,Passive,53.41
405,1685,25,2086,2.9,Poor,1,Detractor,151.24
406,317,7,1766,4.7,Excellent,0,Promoter,53.04
407,108,1,2089,4.5,Excellent,0,Promoter,39.99
408,314,5,1589,3.0,Average,1,Detractor,124.29
409,1168,17,17,4.6,Excellent,0,Promoter,53.43
410,364,5,1493,4.0,Good,0,Passive,28.27
411,1296,12,305,5.0,Excellent,0,Promoter,34.76
412,698,5,2252,4.6,Excellent,0,Promoter,53.93
413,28,1,1324,4.7,Excellent,0,Promoter,19.44
414,1145,18,2477,4.9,Excellent,0,Promoter,52.07
415,1955,21,1119,4.4,Good,0,Passive,10.03
416,645,5,132,4.9,Excellent,0,Promoter,52.75
417,432,2,1512,5.0,Excellent,0,Promoter,42.86
418,1956,21,1430,4.0,Good,0,Passive,63.04
419,1373,19,851,4.2,Good,0,Passive,56.99
420,1527,24,353,3.8,Average,0,Passive,18.27
421,608,5,1511,3.6,Average,0,Passive,28.05
422,2070,22,2353,2.3,Poor,1,Detractor,58.97
423,1263,13,1284,3.8,Average,1,Passive,55.16
424,1843,27,2488,4.3,Good,0,Passive,62.46
425,1131,11,468,3.7,Average,1,Passive,72.09
426,705,7,306,4.5,Excellent,0,Promoter,53.0
427,1341,15,1489,4.2,Good,0,Passive,44.45
428,1343,12,1336,4.3,Good,1,Passive,175.12
429,344,4,363,4.8,Excellent,0,Promoter,17.01
430,1121,15,2036,4.6,Excellent,0,Promoter,23.79
431,1463,22,1516,4.1,Good,0,Passive,92.33
432,1011,16,58,4.3,Good,1,Passive,168.25
433,1227,20,269,3.7,Average,0,Passive,33.8
434,531,9,929,4.2,Good,0,Passive,22.73
435,2152,22,1298,3.8,Average,1,Passive,76.03
436,2005,30,2492,3.9,Average,0,Passive,48.46
437,1205,15,579,4.5,Excellent,0,Promoter,76.75
438,1489,23,422,4.4,Good,1,Passive,120.84
439,1555,28,376,4.1,Good,0,Passive,13.92
440,677,3,2248,4.2,Good,0,Passive,38.39
441,1268,14,1579,4.7,Excellent,0,Promoter,16.29
442,1673,23,569,4.5,Excellent,0,Promoter,15.49
443,1322,17,2140,4.6,Excellent,0,Promoter,18.33
444,1030,14,2035,3.4,Average,1,Detractor,42.3
445,1970,23,935,4.7,Excellent,0,Promoter,78.78
446,595,6,440,4.2,Good,0,Passive,46.0
447,451,1,172,4.4,Good,0,Passive,71.77
448,779,12,231,4.0,Good,0,Passive,23.12
449,1134,15,2467,4.5,Excellent,0,Promoter,20.12
450,251,2,2299,3.3,Average,0,Detractor,48.55
451,1666,26,152,3.5,Average,0,Passive,35.77
452,836,16,2382,4.1,Good,1,Passive,202.76
453,693,5,101,4.9,Excellent,0,Promoter,79.36
454,1863,25,2412,4.6,Excellent,0,Promoter,19.59
455,482,6,961,3.6,Average,1,Passive,61.99
456,2110,23,304,4.7,Excellent,0,Promoter,58.33
457,199,6,2005,4.6,Excellent,0,Promoter,83.27
458,877,19,811,4.4,Good,0,Passive,14.89
459,1726,25,473,4.1,Good,0,Passive,27.94
460,439,5,319,4.5,Excellent,0,Promoter,60.46
461,630,9,843,4.9,Excellent,0,Promoter,61.38
462,286,2,1437,5.0,Excellent,0,Promoter,21.33
463,302,1,342,4.1,Good,0,Passive,26.25
464,1198,18,703,5.0,Excellent,0,Promoter,12.5
465,462,7,2114,4.1,Good,0,Passive,20.67
466,942,19,692,4.9,Excellent,0,Promoter,33.4
467,1010,15,749,5.0,Excellent,0,Promoter,73.13
468,868,19,1224,4.4,Good,0,Passive,25.65
469,1560,30,1737,3.5,Average,0,Passive,101.4
470,1483,24,1410,5.0,Excellent,0,Promoter,7.67
471,1527,25,1447,3.7,Average,0,Passive,44.74
472,1745,26,604,4.5,Excellent,0,Promoter,16.91
473,991,16,2196,4.8,Excellent,0,Promoter,54.22
474,188,1,511,4.6,Excellent,0,Promoter,87.94
475,1429,12,365,4.4,Good,0,Passive,50.66
476,989,11,1188,3.5,Average,1,Passive,87.93
477,1808,26,2134,4.2,Good,0,Passive,47.98
478,2025,23,1639,3.5,Average,0,Passive,5.17
479,1460,11,2314,3.3,Average,1,Detractor,165.2
480,1236,11,704,4.8,Excellent,0,Promoter,16.06
481,377,1,2259,4.1,Good,1,Passive,103.31
482,1408,11,1897,3.3,Average,1,Detractor,108.42
483,1094,13,1959,4.5,Excellent,0,Promoter,43.03
484,1680,29,2334,4.9,Excellent,0,Promoter,80.16
485,1232,11,82,4.1,Good,0,Passive,40.74
486,827,16,2056,4.2,Good,1,Passive,86.68
487,581,8,688,4.9,Excellent,0,Promoter,75.51
488,2038,29,1212,3.8,Average,1,Passive,32.45
489,2062,22,1979,4.2,Good,1,Passive,180.19
490,124,3,2320,3.6,Average,0,Passive,30.69
491,323,1,1561,4.2,Good,0,Passive,51.41
492,1852,30,281,4.0,Good,0,Passive,53.66
493,1834,26,1471,3.9,Average,0,Passive,17.0
494,1478,28,2194,4.5,Excellent,0,Promoter,38.06
495,1623,24,937,4.0,Good,0,Passive,53.33
496,230,9,1525,4.1,Good,0,Passive,17.19
497,103,5,1043,5.0,Excellent,0,Promoter,36.97
498,102,2,1564,3.7,Average,1,Passive,183.72
499,451,4,1637,3.2,Average,1,Detractor,98.47
500,410,5,2,4.5,Excellent,0,Promoter,26.1
501,1690,28,366,4.0,Good,0,Passive,25.74
502,1159,14,1138,4.1,Good,0,Passive,97.29
503,1401,12,1268,4.5,Excellent,0,Promoter,45.1
504,922,18,2226,4.1,Good,1,Passive,205.64
505,805,14,2069,4.8,Excellent,0,Promoter,18.86
506,290,9,1290,4.1,Good,0,Passive,100.71
507,1050,14,36,4.7,Excellent,0,Promoter,29.58
508,1249,13,302,5.0,Excellent,0,Promoter,26.8
