fact_incident_id,sk_date,sk_incident,sk_driver,sk_vehicle,sk_route,incident_cost_amount,severity_score,severity_band,resolution_hours,accident_flag
70,2159,5,47,10,11,557.63,1.21,Low,16.12,0
71,1794,1,44,9,12,407.03,1.03,Low,9.96,0
72,947,5,36,5,6,249.01,1.38,Low,17.55,0
73,77,1,15,1,2,14471.6,3.74,High,58.82,0
74,2075,3,42,9,12,1657.96,3.03,Medium,66.24,0
75,788,1,23,5,8,1190.47,1.35,Low,16.37,0
76,1848,1,46,10,9,548.29,0.84,Low,8.23,0
77,534,2,1,1,3,12528.64,4.37,High,101.27,1
78,276,1,7,4,1,858.74,1.14,Low,7.45,0
79,1685,3,42,9,10,1455.13,2.61,Medium,53.99,0
80,1321,1,33,6,7,473.87,0.6,Low,15.56,0
81,507,5,1,2,2,300.62,0.84,Low,23.53,0
82,1962,3,42,12,12,2834.46,2.21,Medium,31.84,0
83,1193,3,28,5,8,1199.54,2.21,Medium,56.11,0
84,275,1,12,3,4,718.81,1.41,Low,13.27,0
85,1546,1,40,9,11,12409.3,4.38,High,99.56,0
86,1267,5,36,6,8,380.04,0.66,Low,30.56,0
87,1868,2,52,9,9,15784.97,3.87,High,134.49,1
88,1757,1,44,9,10,491.68,0.92,Low,6.3,0
89,2074,5,43,9,12,588.73,1.27,Low,5.55,0
90,917,1,28,6,8,377.49,0.74,Low,11.34,0
91,736,1,30,7,5,634.44,1.08,Low,9.1,0
92,2168,1,41,10,9,844.94,0.69,Low,7.37,0
93,1288,2,22,5,6,6011.25,3.94,High,97.82,1
94,1669,4,54,9,10,842.32,2.13,Medium,56.68,0
95,1080,4,29,7,6,3540.75,2.18,Medium,84.77,0
96,754,1,26,7,8,628.88,0.87,Low,26.33,0
97,618,1,18,2,1,284.78,1.21,Low,7.63,0
98,2137,4,48,9,10,2989.59,2.46,Medium,15.57,0
99,1814,1,49,11,9,1071.99,0.9,Low,20.89,0
100,41,1,10,2,1,812.65,1.44,Low,21.95,0
101,2084,1,40,9,12,911.55,1.21,Low,19.49,0
102,1954,1,38,11,9,556.08,0.98,Low,16.63,0
103,2146,1,39,9,9,576.62,1.2,Low,29.61,0
104,624,4,17,1,1,4737.82,2.64,Medium,57.02,0
105,1292,3,21,7,8,558.93,2.32,Medium,67.49,0
106,978,1,21,6,7,480.37,1.07,Low,33.39,0
107,330,1,12,1,4,579.32,1.02,Low,21.95,0
108,486,1,1,1,2,200.65,1.06,Low,30.07,0
109,858,1,36,7,8,317.62,0.71,Low,23.43,0
110,197,1,13,3,2,1066.51,0.67,Low,18.34,0
111,1324,1,22,6,8,255.57,1.29,Low,24.68,0
112,344,4,13,1,4,4388.88,2.1,Medium,21.24,0
113,1216,3,28,6,5,4178.47,2.64,Medium,38.49,0
114,1153,1,22,7,5,607.55,1.26,Low,17.37,0
115,1938,1,52,9,10,677.09,0.88,Low,2.56,0
116,133,4,1,3,3,1416.48,2.82,Medium,67.17,0
117,788,1,24,5,8,274.43,1.08,Low,6.56,0
118,543,1,11,2,3,325.44,1.12,Low,6.23,0
119,1025,2,30,6,8,7843.74,3.77,High,44.25,1
120,1781,4,43,9,9,1057.16,2.55,Medium,33.52,0
121,1975,1,44,9,11,8714.59,3.86,High,140.99,0
122,147,1,11,1,1,521.11,1.24,Low,4.05,0
123,157,4,15,3,4,2342.69,2.86,Medium,52.56,0
124,1039,3,20,7,6,6814.89,4.42,High,65.79,0
125,697,4,12,1,2,2975.28,2.17,Medium,46.97,0
126,465,3,11,1,1,2079.56,3.11,Medium,13.06,0
127,1727,1,54,9,12,8283.35,4.0,High,158.01,0
128,1856,1,46,11,11,1227.07,1.18,Low,12.35,0
129,611,1,9,3,3,741.47,0.87,Low,12.38,0
130,284,2,10,2,2,7666.08,3.71,High,77.43,1
131,998,4,34,7,7,4815.96,2.29,Medium,35.99,0
132,61,1,8,1,1,382.55,0.74,Low,25.45,0
133,1789,1,42,9,11,526.02,0.93,Low,2.23,0
134,1991,1,42,11,12,13662.51,3.98,High,32.49,0
135,1655,3,47,11,9,4025.41,2.23,Medium,73.45,0
136,1603,2,44,9,12,7987.67,4.15,High,98.81,1
137,1030,5,20,6,8,347.61,1.4,Low,12.17,0
138,429,1,12,2,4,333.4,1.36,Low,7.25,0
139,1045,4,23,5,8,2449.79,2.12,Medium,47.01,0
140,2119,3,38,10,9,9811.42,4.23,High,117.56,0
141,1929,1,46,12,9,1240.89,0.93,Low,25.28,0
142,704,3,6,1,2,3328.01,4.28,Medium,47.51,0
143,475,4,14,2,2,5091.98,2.22,Medium,51.29,0
144,1646,1,53,9,9,12270.1,4.02,High,145.73,0
145,1854,1,47,9,12,369.2,0.87,Low,25.98,0
146,1182,3,34,7,8,1093.63,4.45,Medium,58.32,0
147,51,1,12,1,1,959.37,1.42,Low,8.34,0
148,2150,1,41,10,12,992.29,0.79,Low,15.9,0
149,757,4,27,7,8,2238.84,2.16,Medium,37.93,0
150,650,2,14,2,3,3824.34,4.33,High,119.07,1
151,759,5,26,6,8,412.23,0.98,Low,7.67,0
152,2083,2,42,10,9,3416.23,4.18,High,154.4,1
153,635,5,17,2,2,357.2,0.99,Low,4.94,0
154,379,3,17,2,4,1419.59,2.87,Medium,30.25,0
155,840,3,29,6,6,767.21,2.41,Medium,85.0,0
156,375,4,13,3,4,2578.91,2.62,Medium,66.67,0
157,510,5,15,1,1,292.56,1.12,Low,26.85,0
158,1348,1,27,6,8,489.48,1.46,Low,11.66,0
159,1257,1,30,5,6,929.61,0.99,Low,13.85,0
160,933,1,34,7,5,853.3,0.67,Low,4.06,0
161,1285,5,36,5,6,889.19,0.65,Low,25.79,0
162,317,5,2,1,1,444.19,1.1,Low,16.83,0
163,1976,4,51,10,9,3781.27,2.03,Medium,62.98,0
164,1409,1,34,6,6,326.06,1.01,Low,9.89,0
165,472,1,18,1,2,280.22,0.77,Low,19.17,0
166,693,1,13,2,1,363.74,1.23,Low,8.32,0
167,642,3,8,4,4,3201.28,2.7,Medium,54.98,0
168,1388,4,33,5,8,4471.1,2.08,Medium,50.04,0
169,644,1,17,1,3,647.58,1.16,Low,18.49,0
170,345,2,7,2,2,11738.77,4.42,High,60.89,1
171,429,1,15,3,4,9286.58,3.95,High,49.54,0
172,1059,5,27,6,7,184.12,1.12,Low,12.92,0
173,824,2,35,5,7,8592.26,4.06,High,144.61,1
174,911,1,27,5,7,1169.43,0.64,Low,10.54,0
175,1217,5,25,6,6,876.17,0.74,Low,17.18,0
176,1951,1,39,9,9,180.93,0.86,Low,27.94,0
177,641,2,2,3,4,11004.82,3.71,High,102.22,1
178,2111,3,41,12,11,1878.21,2.4,Medium,58.13,0
179,677,1,11,1,3,313.15,1.22,Low,7.26,0
180,1962,1,46,10,9,10688.8,3.66,High,59.81,0
181,371,1,16,2,2,1198.4,1.26,Low,16.58,0
182,763,1,35,6,7,741.65,0.71,Low,15.77,0
183,1263,1,31,6,7,488.39,1.4,Low,10.84,0
184,265,3,5,1,1,2543.95,2.54,Medium,86.05,0
185,302,1,6,1,1,887.24,0.78,Low,8.09,0
186,1272,4,34,5,5,3331.91,2.22,Medium,43.09,0
187,1609,1,45,11,12,783.45,0.65,Low,2.01,0
188,818,4,30,7,6,2265.53,2.5,Medium,79.93,0
189,1156,5,32,7,8,710.16,1.37,Low,22.05,0
190,1378,4,28,5,8,1982.6,2.28,Medium,59.11,0
191,2036,1,42,10,12,9197.83,4.65,High,108.67,0
192,784,3,22,5,8,4712.26,2.61,Medium,67.12,0
193,1453,5,34,5,8,1034.14,1.07,Low,13.58,0
194,912,1,28,5,7,599.85,0.73,Low,15.08,0
195,847,1,31,6,8,933.87,1.3,Low,8.67,0
196,72,3,6,2,1,2972.65,2.19,Medium,67.46,0
197,1866,3,38,9,10,6376.65,3.55,High,55.61,0
198,365,1,10,2,3,440.15,1.22,Low,15.58,0
199,126,1,10,1,4,816.34,0.66,Low,15.48,0
200,619,3,15,1,2,1306.58,2.61,Medium,32.37,0
201,1216,4,24,7,7,1741.52,2.79,Medium,81.27,0
202,1078,3,21,7,5,2441.71,2.55,Medium,32.87,0
203,63,2,15,1,2,9789.31,4.34,High,86.18,1
204,470,2,14,2,4,9848.77,3.91,High,183.15,1
205,679,5,8,1,2,463.36,1.33,Low,5.22,0
206,1468,1,52,9,10,412.78,0.7,Low,23.32,0
207,1073,3,20,6,8,1869.4,2.78,Medium,24.57,0
208,1537,2,52,9,10,16138.26,4.02,High,74.02,1
209,2127,4,49,9,11,3902.47,2.83,Medium,35.94,0
210,678,2,16,2,2,9048.8,3.94,High,220.17,1
211,621,4,1,1,2,2072.49,2.07,Medium,26.93,0
212,1166,1,32,6,7,582.1,1.06,Low,15.26,0
213,2180,1,41,9,10,247.48,1.36,Low,11.29,0
214,545,2,6,1,1,6300.19,3.98,High,111.18,1
215,416,1,8,2,4,520.58,1.02,Low,25.1,0
216,204,1,18,3,1,597.05,1.21,Low,7.04,0
217,365,1,5,1,4,11147.75,4.14,High,81.12,0
218,1191,5,23,6,5,525.08,1.0,Low,17.7,0
219,1411,1,22,5,6,1260.26,0.78,Low,23.1,0
220,880,3,20,8,7,632.25,2.04,Medium,32.88,0
221,987,5,36,7,5,922.53,0.62,Low,19.8,0
222,1487,5,51,11,12,783.11,1.2,Low,8.7,0
223,1053,5,22,5,7,1031.64,1.29,Low,6.33,0
224,1066,3,22,7,6,806.18,2.12,Medium,27.52,0
225,430,1,5,2,4,1031.15,1.13,Low,8.83,0
226,143,1,2,3,2,823.36,1.35,Low,3.31,0
227,1731,3,52,9,10,3366.72,2.42,Medium,57.2,0
228,172,1,13,2,1,966.7,1.15,Low,9.46,0
229,435,5,8,3,3,437.77,1.32,Low,7.57,0
230,1085,1,22,6,8,168.27,1.09,Low,28.03,0
231,878,1,32,5,5,1190.06,1.24,Low,8.69,0
232,874,4,36,6,6,1075.87,2.33,Medium,48.93,0
233,993,1,21,6,7,551.24,1.38,Low,10.04,0
234,1176,1,30,5,8,528.05,0.98,Low,6.12,0
235,1248,4,30,5,5,3365.95,2.24,Medium,19.5,0
236,63,3,7,1,2,2258.49,2.71,Medium,24.33,0
237,170,1,2,1,3,697.66,1.45,Low,7.3,0
238,195,3,12,1,4,4427.94,2.36,Medium,39.15,0
239,899,4,23,6,6,2056.48,2.13,Medium,32.95,0
240,1632,1,47,11,9,11411.18,3.79,High,115.45,0
241,2137,1,43,11,12,4936.3,4.23,High,136.15,0
242,1364,3,27,6,6,8103.51,2.63,High,232.58,0
243,735,5,23,8,6,1077.44,1.01,Low,15.63,0
244,7,5,17,2,3,651.22,0.95,Low,12.89,0
245,860,1,34,5,7,975.17,1.17,Low,17.79,0
246,1430,1,32,5,7,660.95,0.63,Low,11.16,0
247,1467,4,45,10,12,2882.02,2.49,Medium,44.38,0
248,811,1,23,6,6,803.45,0.61,Low,19.51,0
249,866,1,30,6,8,365.55,1.34,Low,11.56,0
250,1028,1,22,6,7,104.38,1.14,Low,22.95,0
251,573,4,8,2,1,2812.7,2.45,Medium,35.7,0
252,1047,2,34,7,6,12607.73,4.41,High,150.08,1
253,308,3,15,2,4,3281.13,4.12,Medium,76.59,0
254,84,4,17,2,1,3830.91,2.11,Medium,72.56,0
255,888,5,36,5,8,458.26,1.31,Low,14.88,0
256,826,1,35,6,8,440.24,0.7,Low,10.83,0
257,551,4,15,1,3,2998.06,2.14,Medium,82.21,0
258,1324,1,20,6,5,605.5,1.31,Low,3.99,0
259,1296,3,20,5,8,2630.54,3.14,Medium,64.55,0
260,1643,1,43,12,11,549.95,0.77,Low,13.64,0
261,1648,1,39,10,10,162.95,1.44,Low,11.29,0
262,967,3,32,5,8,2453.07,2.4,Medium,23.88,0
263,240,5,14,3,1,1030.3,0.7,Low,6.46,0
264,899,5,23,6,8,353.1,0.87,Low,8.92,0
265,1685,1,52,9,12,18824.28,4.38,High,150.48,0
266,329,1,17,1,3,1382.41,1.23,Low,6.47,0
267,678,2,2,1,1,16483.07,4.3,High,46.32,1
268,1251,3,31,8,6,2187.11,2.13,Medium,73.3,0
269,2136,2,54,10,9,9177.31,3.75,High,157.5,1
270,207,4,1,2,3,4046.06,2.31,Medium,55.13,0
271,191,1,1,2,4,602.04,1.32,Low,11.63,0
272,2090,1,46,10,12,5756.73,4.21,High,98.8,0
273,6,1,13,3,1,585.36,0.8,Low,25.86,0
274,548,1,12,1,4,11410.21,4.21,High,45.23,0
275,323,1,9,2,3,340.44,1.0,Low,2.71,0
276,29,1,6,1,1,277.16,1.3,Low,33.0,0
277,219,1,11,2,2,891.93,1.5,Low,19.11,0
278,1485,1,44,10,11,12145.71,3.52,High,94.25,0
279,674,1,13,1,1,625.13,1.36,Low,11.18,0
280,1290,1,34,5,6,174.72,1.25,Low,7.47,0
281,685,1,14,1,2,757.9,1.2,Low,22.82,0
282,885,1,22,6,7,690.42,0.8,Low,8.75,0
283,210,4,6,3,3,2158.33,2.59,Medium,45.94,0
284,1476,3,53,9,9,1699.73,2.15,Medium,25.7,0
285,835,2,24,5,7,4090.42,4.24,High,90.62,1
286,729,4,1,2,2,2273.97,2.08,Medium,46.56,0
287,627,3,18,2,1,876.06,4.01,Medium,76.12,0
288,1757,1,47,10,10,581.01,1.03,Low,10.03,0
289,326,3,14,2,1,2536.25,2.6,Medium,38.72,0
290,1975,2,43,11,11,6374.74,4.3,High,155.17,1
291,738,1,27,6,8,1249.63,1.22,Low,8.85,0
292,1329,1,19,5,5,468.35,1.4,Low,11.9,0
293,1236,4,30,5,5,3141.22,2.64,Medium,42.48,0
294,353,1,2,3,4,485.72,1.02,Low,20.96,0
295,892,5,31,8,8,597.78,1.41,Low,6.86,0
296,777,3,20,7,8,2212.2,2.57,Medium,50.36,0
297,1786,1,46,9,10,446.45,1.25,Low,7.72,0
298,355,1,17,1,1,938.36,0.85,Low,5.81,0
299,64,1,12,3,4,601.91,1.31,Low,15.47,0
300,592,1,8,1,2,429.69,1.13,Low,15.7,0
301,1461,5,22,6,5,685.6,0.91,Low,11.78,0
302,650,5,1,3,4,834.53,1.49,Low,11.05,0
303,1654,1,37,9,11,515.07,0.64,Low,11.87,0
304,1764,2,44,10,12,9525.78,4.12,High,82.5,1
305,1172,4,27,5,7,1698.04,2.32,Medium,69.03,0
306,121,1,13,2,3,983.25,1.3,Low,30.52,0
307,1716,3,52,10,10,3348.92,2.15,Medium,65.64,0
308,453,4,4,1,2,1415.48,2.78,Medium,38.96,0
309,2051,1,43,10,12,10639.09,4.64,High,191.17,0
310,646,1,4,4,2,340.58,1.46,Low,12.09,0
311,2004,3,46,10,12,3399.09,2.28,Medium,62.75,0
312,1341,1,35,7,8,780.57,1.28,Low,5.23,0
313,1887,4,49,9,12,2814.32,2.5,Medium,88.01,0
314,760,1,35,5,8,281.52,1.46,Low,7.89,0
315,841,5,25,7,8,253.42,1.48,Low,8.41,0
316,1025,1,35,5,7,455.45,0.81,Low,20.8,0
317,12,3,14,2,4,3503.88,4.11,Medium,36.78,0
318,320,3,5,2,1,3428.28,2.62,Medium,44.3,0
319,2015,1,37,10,11,345.99,0.87,Low,7.11,0
320,678,1,12,2,2,746.32,0.97,Low,8.59,0
321,1332,1,27,7,7,284.42,1.14,Low,13.4,0
322,1186,3,34,5,8,1570.99,2.7,Medium,47.04,0
323,437,2,1,1,4,14358.18,4.4,High,71.92,1
324,1055,4,32,5,8,2113.3,2.53,Medium,60.62,0
325,1006,2,31,5,8,16409.65,4.21,High,167.08,1
326,2075,1,41,11,11,545.5,1.43,Low,4.53,0
327,431,1,7,1,2,737.81,0.91,Low,25.68,0
328,1560,2,37,11,10,4840.01,3.75,High,176.87,1
329,805,4,30,7,8,2393.36,2.26,Medium,8.72,0
330,1605,1,43,11,11,10668.22,4.46,High,120.87,0
331,1106,3,31,5,6,2628.86,2.74,Medium,55.37,0
332,1130,2,31,5,5,15718.97,3.92,High,202.25,1
333,1413,4,35,7,8,737.82,2.41,Medium,52.76,0
334,1132,4,34,6,7,872.4,2.55,Medium,35.53,0
335,998,3,21,5,8,4383.94,4.05,Medium,15.33,0
336,1099,1,33,6,8,303.16,0.96,Low,16.98,0
337,1105,5,36,5,5,569.18,0.84,Low,13.47,0
338,1969,3,43,10,9,2344.11,3.69,Medium,47.8,0
339,1559,5,44,9,12,176.58,1.38,Low,13.22,0
340,13,5,12,4,1,855.9,1.16,Low,13.96,0
341,1887,1,47,9,11,575.0,1.26,Low,11.97,0
342,780,4,34,5,8,2219.67,2.43,Medium,28.9,0
343,238,1,7,2,4,18061.87,3.62,High,140.41,0
344,2166,1,45,12,9,10454.35,3.96,High,220.11,0
345,1950,5,51,10,10,533.83,0.87,Low,11.39,0
346,1451,3,21,6,5,3882.03,3.38,Medium,76.92,0
347,1816,1,54,10,11,821.1,1.4,Low,7.87,0
348,690,5,3,2,2,379.9,1.06,Low,17.96,0
349,1379,4,27,7,6,1957.45,2.82,Medium,12.43,0
350,216,4,13,1,2,4118.84,2.6,Medium,36.18,0
351,433,1,6,1,1,411.93,1.06,Low,10.64,0
352,1146,4,35,6,8,1004.11,2.47,Medium,51.68,0
353,1816,4,39,11,9,2290.69,2.52,Medium,39.47,0
354,1593,1,52,12,11,501.66,1.27,Low,12.12,0
355,1693,1,40,11,9,329.36,0.97,Low,6.24,0
356,1326,5,30,6,5,401.04,0.96,Low,18.21,0
357,2034,1,39,9,11,193.61,1.47,Low,13.09,0
358,1454,3,28,6,8,2205.14,2.66,Medium,35.32,0
359,42,1,11,3,2,261.72,1.15,Low,20.13,0
360,1905,1,49,9,9,10879.7,4.72,High,88.81,0
361,592,1,3,2,4,475.4,1.28,Low,25.81,0
362,1248,5,25,5,7,480.21,1.05,Low,16.79,0
363,1967,1,43,10,10,435.35,0.74,Low,15.02,0
364,61,1,5,3,3,639.99,1.11,Low,13.68,0
365,1901,1,41,10,12,18878.73,3.71,High,176.6,0
366,330,5,3,2,4,336.53,1.39,Low,12.72,0
367,503,1,16,1,4,596.74,0.66,Low,14.84,0
368,616,2,12,1,3,18396.56,4.11,High,124.61,1
369,1285,1,28,5,5,1080.22,0.84,Low,14.96,0
370,973,5,28,5,6,573.45,0.96,Low,12.8,0
371,1071,2,30,6,7,9833.09,4.13,High,89.72,1
372,580,1,5,1,3,7889.31,4.78,High,108.84,0
373,652,1,10,4,1,495.07,1.32,Low,5.37,0
374,517,2,2,2,2,12677.46,4.16,High,85.54,1
375,746,1,20,6,6,424.69,0.73,Low,13.09,0
376,1600,1,43,9,10,254.15,0.73,Low,10.99,0
377,1747,4,53,10,10,3395.76,2.61,Medium,28.04,0
378,1346,1,19,6,7,727.61,1.4,Low,7.71,0
379,324,1,15,4,2,461.0,1.42,Low,13.97,0
380,1385,4,34,5,8,1835.59,2.79,Medium,20.1,0
381,1263,4,32,8,6,1742.03,2.12,Medium,33.73,0
382,888,1,23,5,7,567.35,0.89,Low,28.43,0
383,682,4,18,3,2,907.02,2.13,Medium,50.76,0
384,217,1,4,1,4,402.36,1.21,Low,16.64,0
385,267,1,17,2,1,411.29,1.19,Low,7.23,0
386,1007,4,30,5,7,3055.51,2.42,Medium,63.98,0
387,108,1,8,2,4,957.83,0.75,Low,31.61,0
388,134,3,9,2,1,2639.19,4.08,Medium,41.57,0
389,132,1,9,3,4,387.82,0.63,Low,21.84,0
390,1745,5,43,9,12,268.41,0.92,Low,19.99,0
391,1783,2,39,10,12,15978.92,4.32,High,76.6,1
392,1326,3,35,5,7,4057.63,2.33,Medium,41.36,0
393,1585,2,54,11,11,8108.34,4.48,High,162.35,1
394,2029,2,50,9,12,6728.05,4.46,High,68.96,1
395,879,5,21,7,7,556.84,0.95,Low,11.0,0
396,2109,1,46,9,10,378.89,1.25,Low,9.95,0
397,281,3,11,2,4,3043.23,2.68,Medium,46.57,0
398,287,4,17,1,4,2681.25,2.34,Medium,66.67,0
399,1822,3,50,10,9,7310.35,3.91,High,149.58,0
400,198,1,2,1,1,517.72,0.76,Low,8.08,0
401,356,5,17,2,4,1236.32,1.37,Low,24.3,0
402,1048,1,32,5,5,394.51,0.89,Low,23.48,0
403,1784,1,38,9,11,513.83,0.68,Low,6.22,0
404,337,1,5,2,1,857.47,0.69,Low,5.77,0
405,1685,1,45,12,12,6495.92,4.13,High,156.41,0
406,317,5,13,3,2,842.64,0.65,Low,2.53,0
407,108,3,5,3,4,3583.79,2.71,Medium,39.08,0
408,314,1,16,2,4,5553.81,4.22,High,76.4,0
409,1168,5,33,5,7,274.25,0.64,Low,10.57,0
410,364,1,14,1,1,631.58,0.69,Low,7.67,0
411,1296,3,32,6,5,7064.4,4.37,High,49.79,0
412,698,5,3,2,4,556.44,1.38,Low,24.08,0
413,28,1,11,2,1,760.63,0.73,Low,13.09,0
414,1145,3,20,6,8,18219.68,2.83,High,123.88,0
415,1955,3,40,9,10,3344.44,2.07,Medium,38.03,0
416,645,1,8,1,3,508.3,1.09,Low,4.55,0
417,432,3,12,2,1,1425.51,2.27,Medium,30.33,0
418,1956,1,50,10,12,16089.16,4.0,High,86.33,0
419,1373,1,24,5,8,466.32,1.07,Low,17.17,0
420,1527,1,37,12,10,641.81,1.34,Low,19.05,0
421,608,3,10,3,2,772.35,2.71,Medium,80.07,0
422,2070,1,39,11,12,7839.74,3.76,High,62.47,0
423,1263,4,27,5,7,2671.05,2.65,Medium,17.22,0
424,1843,1,42,9,10,890.56,0.85,Low,8.9,0
425,1131,4,34,8,5,3093.39,2.11,Medium,53.31,0
426,705,1,18,1,3,220.31,1.23,Low,25.48,0
427,1341,1,35,7,6,594.36,0.77,Low,15.92,0
428,1343,1,28,5,5,851.08,0.72,Low,14.36,0
429,344,5,1,2,2,262.32,0.75,Low,8.71,0
430,1121,1,20,6,8,274.6,0.87,Low,15.45,0
431,1463,1,41,12,9,373.01,0.9,Low,3.73,0
432,1011,4,26,5,7,1793.39,2.16,Medium,28.33,0
433,1227,5,33,5,8,740.31,1.17,Low,13.97,0
434,531,1,5,1,4,433.0,1.08,Low,10.03,0
435,2152,4,45,11,9,1220.7,2.22,Medium,16.86,0
436,2005,3,42,9,10,2777.32,2.76,Medium,39.74,0
437,1205,5,30,7,8,562.0,1.01,Low,30.36,0
438,1489,2,51,10,10,18776.27,4.04,High,120.81,1
439,1555,1,37,11,9,187.8,0.69,Low,2.63,0
440,677,1,8,3,4,619.76,1.35,Low,27.93,0
441,1268,3,19,8,5,2650.57,2.8,Medium,25.98,0
442,1673,5,52,10,9,1331.8,1.28,Low,16.8,0
443,1322,1,22,5,8,361.88,1.22,Low,6.67,0
444,1030,2,35,6,6,12170.45,4.48,High,82.54,1
445,1970,1,54,9,11,528.26,1.32,Low,12.41,0
446,595,3,6,1,2,1496.05,2.65,Medium,49.37,0
447,451,1,18,4,4,429.12,1.31,Low,5.06,0
448,779,5,35,5,8,1109.28,1.18,Low,10.99,0
449,1134,3,22,6,8,1419.05,2.33,Medium,22.85,0
450,251,1,1,2,4,350.78,0.68,Low,6.6,0
451,1666,1,42,10,12,3840.23,4.57,High,195.06,0
452,836,4,33,5,6,3898.03,2.04,Medium,28.14,0
453,693,1,1,3,4,284.87,1.05,Low,30.15,0
454,1863,1,52,11,11,582.46,0.83,Low,7.57,0
455,482,2,7,1,4,6455.93,3.84,High,82.34,1
456,2110,1,46,9,10,698.39,1.27,Low,7.27,0
457,199,1,14,2,2,1144.56,0.92,Low,6.48,0
458,877,5,27,6,8,1290.36,1.23,Low,5.24,0
459,1726,1,45,11,10,479.92,1.08,Low,13.5,0
460,439,5,6,2,2,266.82,0.8,Low,25.52,0
