fact_stock_id,sk_date,sk_product,sk_warehouse,stock_theoretical,stock_real,stock_value_amount,safety_stock,stockout_flag,stock_status
32,1720,2,8,255.0,242.9,70017.26,187.0,0,Healthy
33,1614,3,7,106.0,174.57,87439.46,73.0,0,Overstock
34,1453,4,6,175.0,311.49,94523.49,117.0,0,Overstock
35,1629,1,7,272.0,110.61,60261.81,116.0,1,Below Safety
36,386,1,2,353.0,247.78,137160.81,155.0,0,Healthy
37,1351,3,4,244.0,134.65,74376.9,87.0,0,Healthy
38,611,4,1,322.0,115.64,35793.55,120.0,1,Below Safety
39,1578,1,7,317.0,56.4,29389.79,179.0,1,Below Safety
40,30,3,1,204.0,44.09,23648.06,77.0,1,Below Safety
41,605,4,2,133.0,112.71,36665.03,81.0,0,Healthy
42,1183,1,6,135.0,135.02,70824.71,93.0,0,Healthy
43,298,5,2,151.0,149.46,56906.81,87.0,0,Healthy
44,1342,5,4,109.0,162.85,60124.74,81.0,0,Healthy
45,489,3,2,112.0,104.12,51434.55,43.0,0,Overstock
46,695,5,1,94.0,138.55,51521.24,67.0,0,Healthy
47,316,2,1,164.0,184.99,50626.02,104.0,0,Healthy
48,1125,1,5,441.0,119.43,62898.64,165.0,1,Below Safety
49,379,1,1,466.0,251.39,130041.57,163.0,0,Healthy
50,708,4,3,212.0,158.22,48106.96,89.0,0,Healthy
51,1579,4,7,129.0,158.28,49181.37,67.0,0,Overstock
52,1966,4,8,180.0,353.03,107073.97,120.0,0,Overstock
53,1822,3,8,128.0,225.28,117227.59,71.0,0,Overstock
54,1377,2,6,272.0,156.08,43663.89,103.0,0,Healthy
55,1895,1,9,293.0,342.46,190135.88,121.0,0,Overstock
56,122,5,1,164.0,218.77,85734.6,85.0,0,Overstock
57,594,2,3,373.0,246.56,69606.86,143.0,0,Healthy
58,1735,1,7,208.0,192.65,95881.25,128.0,0,Healthy
59,162,1,2,176.0,20.43,10380.13,116.0,1,Below Safety
60,801,4,6,192.0,185.35,59785.19,98.0,0,Healthy
61,805,5,6,88.0,153.1,55330.23,71.0,0,Healthy
62,1971,2,8,212.0,119.04,35686.94,97.0,0,Healthy
63,437,2,1,394.0,217.23,62934.62,138.0,0,Healthy
64,791,4,5,140.0,235.71,75270.43,79.0,0,Overstock
65,793,2,4,324.0,341.62,101239.06,167.0,0,Healthy
66,1482,4,8,224.0,276.85,87146.63,95.0,0,Overstock
67,768,5,5,104.0,146.5,54102.25,60.0,0,Overstock
68,676,1,3,215.0,263.3,134141.45,114.0,0,Overstock
69,496,4,3,136.0,72.06,23175.77,52.0,0,Healthy
70,2159,4,9,361.0,119.37,35678.44,133.0,1,Below Safety
71,1794,4,9,227.0,122.19,37683.78,81.0,0,Healthy
72,947,1,4,337.0,77.9,40299.22,155.0,1,Below Safety
73,77,2,1,257.0,432.87,129460.29,179.0,0,Overstock
74,2075,1,7,254.0,197.42,104380.22,106.0,0,Healthy
75,788,2,4,162.0,206.2,60953.89,110.0,0,Healthy
76,1848,3,8,245.0,290.9,156380.03,88.0,0,Overstock
77,534,2,2,304.0,251.33,73689.34,122.0,0,Healthy
78,276,4,3,178.0,124.04,37286.95,99.0,0,Healthy
79,1685,5,9,221.0,244.34,90241.47,97.0,0,Overstock
80,1321,3,5,245.0,101.83,53630.36,87.0,0,Healthy
81,507,1,3,232.0,243.31,132675.28,134.0,0,Healthy
82,1962,4,8,150.0,251.36,76345.79,114.0,0,Healthy
83,1193,1,6,454.0,209.83,115292.9,215.0,1,Below Safety
84,275,3,2,201.0,153.16,77858.64,83.0,0,Healthy
85,1546,5,8,148.0,53.7,20384.72,99.0,1,Below Safety
86,1267,4,6,152.0,189.71,60877.8,93.0,0,Healthy
87,1868,2,8,225.0,62.75,17946.99,85.0,1,Below Safety
88,1757,2,7,609.0,367.26,108826.91,220.0,0,Healthy
89,2074,4,7,205.0,143.84,45937.93,88.0,0,Healthy
90,917,4,4,119.0,31.5,9645.29,66.0,1,Below Safety
91,736,4,4,297.0,258.19,80779.98,119.0,0,Healthy
92,2168,1,8,164.0,210.25,109619.16,105.0,0,Healthy
93,1288,5,5,159.0,96.18,37200.15,57.0,0,Healthy
94,1669,3,9,202.0,118.56,62239.74,78.0,0,Healthy
95,1080,5,5,164.0,175.43,65064.7,80.0,0,Healthy
96,754,5,6,203.0,126.26,46752.81,80.0,0,Healthy
97,618,5,1,91.0,162.11,65790.0,61.0,0,Overstock
98,2137,4,9,161.0,27.43,8634.62,76.0,1,Below Safety
99,1814,2,7,118.0,222.85,66685.44,92.0,0,Overstock
100,41,3,2,123.0,195.41,102955.17,93.0,0,Healthy
101,2084,4,8,113.0,133.46,40870.18,72.0,0,Healthy
102,1954,5,7,88.0,110.56,41834.9,66.0,0,Healthy
103,2146,5,8,127.0,162.1,63043.92,57.0,0,Overstock
104,624,2,3,205.0,84.75,25258.09,129.0,1,Below Safety
105,1292,4,6,198.0,432.72,132582.32,159.0,0,Overstock
106,978,1,4,196.0,107.5,55034.79,85.0,0,Healthy
107,330,4,1,197.0,89.75,26948.05,74.0,0,Healthy
108,486,3,2,80.0,66.14,35154.6,61.0,0,Healthy
109,858,2,6,304.0,302.4,91940.96,187.0,0,Healthy
110,197,1,1,267.0,433.31,227307.52,163.0,0,Overstock
111,1324,4,5,231.0,163.03,48704.93,114.0,0,Healthy
112,344,3,1,193.0,171.82,88030.4,80.0,0,Healthy
113,1216,4,6,455.0,178.61,54156.59,160.0,0,Healthy
114,1153,4,6,220.0,184.89,53693.52,147.0,0,Healthy
115,1938,5,9,129.0,140.39,54360.28,65.0,0,Healthy
116,133,4,2,364.0,132.01,39482.92,127.0,0,Healthy
117,788,1,5,620.0,366.24,188596.35,214.0,0,Healthy
118,543,2,2,546.0,465.55,126748.11,224.0,0,Healthy
119,1025,2,6,282.0,53.92,15501.84,110.0,1,Below Safety
120,1781,1,7,413.0,319.17,160527.74,156.0,0,Healthy
121,1975,4,8,133.0,137.15,43078.11,81.0,0,Healthy
122,147,2,2,168.0,237.68,70013.38,83.0,0,Overstock
123,157,1,3,265.0,388.37,210313.65,163.0,0,Overstock
124,1039,4,6,215.0,258.35,82991.49,156.0,0,Healthy
125,697,2,2,188.0,140.07,41282.04,99.0,0,Healthy
126,465,4,1,239.0,200.66,59991.72,84.0,0,Overstock
127,1727,1,9,145.0,104.42,54603.81,120.0,1,Below Safety
128,1856,4,8,214.0,35.84,11458.08,134.0,1,Below Safety
129,611,5,1,128.0,97.52,39577.83,62.0,0,Healthy
130,284,3,1,72.0,72.45,38110.33,41.0,0,Healthy
131,998,2,6,387.0,87.38,23992.59,149.0,1,Below Safety
132,61,2,2,161.0,208.5,59578.9,90.0,0,Overstock
133,1789,2,8,153.0,172.73,48360.01,127.0,0,Healthy
134,1991,5,9,184.0,123.41,47873.3,104.0,0,Healthy
135,1655,4,7,203.0,124.58,40575.34,86.0,0,Healthy
136,1603,4,7,240.0,280.13,85394.03,146.0,0,Healthy
137,1030,4,5,241.0,176.69,53461.17,127.0,0,Healthy
138,429,3,2,147.0,181.69,90939.49,109.0,0,Healthy
139,1045,1,4,165.0,120.33,61309.74,120.0,0,Healthy
140,2119,4,7,198.0,8.29,2413.83,101.0,1,Below Safety
141,1929,5,9,176.0,36.71,13694.88,82.0,1,Below Safety
142,704,2,3,210.0,179.13,49060.67,115.0,0,Healthy
143,475,2,3,298.0,223.96,61440.74,160.0,0,Healthy
144,1646,1,7,157.0,153.0,80553.6,112.0,0,Healthy
145,1854,4,8,237.0,187.78,59227.68,108.0,0,Healthy
146,1182,2,6,277.0,60.54,18424.12,101.0,1,Below Safety
147,51,3,1,186.0,208.94,115122.9,81.0,0,Overstock
148,2150,1,7,103.0,135.5,73514.1,79.0,0,Healthy
149,757,4,6,190.0,315.58,92436.41,117.0,0,Overstock
150,650,4,2,371.0,154.25,48827.99,132.0,0,Healthy
151,759,2,4,454.0,217.67,60114.97,183.0,0,Healthy
152,2083,4,8,244.0,0,0.0,91.0,1,Out of Stock
153,635,1,2,207.0,92.11,49780.35,106.0,1,Below Safety
154,379,2,3,331.0,139.35,40460.02,125.0,0,Healthy
155,840,2,4,304.0,344.13,104697.71,158.0,0,Healthy
156,375,5,2,120.0,90.65,33048.45,60.0,0,Healthy
157,510,1,1,347.0,282.98,142248.93,146.0,0,Healthy
158,1348,2,6,127.0,107.38,31695.61,88.0,0,Healthy
159,1257,1,6,330.0,285.69,155813.1,158.0,0,Healthy
160,933,2,6,302.0,267.16,75185.23,107.0,0,Overstock
161,1285,4,4,208.0,187.27,56316.21,138.0,0,Healthy
162,317,4,1,210.0,186.78,60661.11,86.0,0,Healthy
163,1976,2,8,361.0,223.33,61476.59,132.0,0,Healthy
164,1409,4,5,171.0,51.08,15472.65,71.0,1,Below Safety
165,472,2,1,254.0,73.39,22203.29,109.0,1,Below Safety
166,693,4,2,140.0,94.99,28042.16,66.0,0,Healthy
167,642,5,2,154.0,200.21,77793.42,87.0,0,Overstock
168,1388,1,5,211.0,144.06,72425.3,128.0,0,Healthy
169,644,2,2,114.0,124.47,36446.57,76.0,0,Healthy
170,345,2,3,272.0,96.3,28475.44,199.0,1,Below Safety
171,429,2,1,487.0,335.77,100414.03,176.0,0,Healthy
172,1059,1,5,216.0,148.19,78713.41,110.0,0,Healthy
173,824,4,6,172.0,116.07,36984.74,79.0,0,Healthy
174,911,2,6,323.0,396.29,116249.62,166.0,0,Overstock
175,1217,4,5,107.0,147.4,43090.23,74.0,0,Healthy
176,1951,1,9,354.0,508.2,254234.14,189.0,0,Overstock
177,641,1,3,267.0,317.29,169392.25,114.0,0,Overstock
178,2111,4,8,274.0,105.05,31990.09,98.0,0,Healthy
179,677,3,2,136.0,131.12,70547.18,66.0,0,Healthy
180,1962,2,8,299.0,225.23,61571.35,151.0,0,Healthy
181,371,3,1,159.0,174.27,89186.78,96.0,0,Healthy
182,763,3,5,74.0,114.72,58379.34,54.0,0,Healthy
183,1263,4,5,81.0,72.07,21816.2,60.0,0,Healthy
184,265,5,1,57.0,36.86,14940.59,45.0,1,Below Safety
185,302,1,1,244.0,363.51,183682.77,194.0,0,Healthy
186,1272,2,6,377.0,228.3,63978.59,152.0,0,Healthy
187,1609,3,9,140.0,172.77,85759.19,97.0,0,Healthy
188,818,3,6,147.0,106.18,56408.51,95.0,0,Healthy
189,1156,1,6,142.0,250.72,132422.79,108.0,0,Overstock
190,1378,3,5,119.0,96.38,53495.27,60.0,0,Healthy
191,2036,3,9,124.0,168.28,83825.2,66.0,0,Overstock
192,784,2,6,218.0,318.42,89290.3,122.0,0,Overstock
193,1453,1,4,167.0,86.17,43112.83,139.0,1,Below Safety
194,912,2,4,283.0,280.18,77508.16,104.0,0,Overstock
195,847,5,4,103.0,77.5,29428.49,83.0,1,Below Safety
196,72,2,1,130.0,116.24,34896.24,74.0,0,Healthy
197,1866,4,9,221.0,397.96,120415.67,142.0,0,Overstock
198,365,4,2,102.0,242.12,72587.01,73.0,0,Overstock
199,126,4,2,118.0,140.21,41128.27,85.0,0,Healthy
200,619,3,1,100.0,69.26,36025.89,53.0,0,Healthy
201,1216,1,5,287.0,153.05,79091.09,164.0,1,Below Safety
202,1078,2,4,248.0,237.42,65814.79,111.0,0,Healthy
203,63,1,2,512.0,384.11,191075.25,178.0,0,Healthy
204,470,2,3,437.0,291.26,85718.0,169.0,0,Healthy
205,679,2,3,362.0,87.82,25013.31,127.0,1,Below Safety
206,1468,5,8,61.0,65.75,24496.59,41.0,0,Healthy
207,1073,1,4,158.0,162.2,84210.04,112.0,0,Healthy
208,1537,4,7,160.0,76.92,22594.45,58.0,0,Healthy
209,2127,2,7,309.0,178.51,51563.43,114.0,0,Healthy
210,678,4,2,233.0,234.2,74034.99,99.0,0,Overstock
211,621,2,3,339.0,234.57,67345.29,132.0,0,Healthy
212,1166,1,5,191.0,130.67,71781.9,134.0,1,Below Safety
213,2180,2,8,223.0,326.57,95798.43,132.0,0,Overstock
214,545,2,3,293.0,124.69,34317.13,205.0,1,Below Safety
215,416,1,3,307.0,257.01,137720.65,118.0,0,Healthy
216,204,5,3,59.0,25.81,10269.91,42.0,1,Below Safety
217,365,1,3,188.0,305.12,163624.32,136.0,0,Healthy
218,1191,1,5,368.0,227.38,121017.76,180.0,0,Healthy
219,1411,3,6,119.0,101.82,50541.61,60.0,0,Healthy
220,880,4,4,264.0,114.65,33351.88,123.0,1,Below Safety
221,987,1,6,116.0,120.21,63544.35,89.0,0,Healthy
222,1487,1,9,343.0,248.84,133103.93,188.0,0,Healthy
223,1053,4,5,179.0,125.78,39313.87,86.0,0,Healthy
224,1066,4,6,165.0,148.8,46642.6,97.0,0,Healthy
225,430,1,2,300.0,156.3,77926.49,113.0,0,Healthy
226,143,4,1,403.0,409.31,122578.22,170.0,0,Overstock
227,1731,5,7,110.0,85.05,31658.95,41.0,0,Healthy
228,172,2,2,327.0,348.68,103075.16,135.0,0,Overstock
229,435,2,2,160.0,135.28,36938.01,96.0,0,Healthy
230,1085,5,4,85.0,159.54,64112.93,59.0,0,Overstock
231,878,2,5,275.0,434.86,130981.84,155.0,0,Overstock
232,874,5,4,234.0,198.11,75938.07,81.0,0,Overstock
233,993,2,5,353.0,127.21,38743.39,126.0,0,Healthy
234,1176,4,5,142.0,235.76,70712.73,90.0,0,Overstock
235,1248,1,6,206.0,174.3,92623.26,73.0,0,Overstock
236,63,4,2,264.0,213.69,68040.09,118.0,0,Healthy
237,170,3,1,96.0,108.3,55480.01,67.0,0,Healthy
238,195,5,3,123.0,82.82,31657.91,53.0,0,Healthy
239,899,2,4,265.0,304.05,91473.52,188.0,0,Healthy
240,1632,1,7,208.0,360.65,188968.16,132.0,0,Overstock
241,2137,3,7,122.0,75.46,39626.49,85.0,1,Below Safety
242,1364,5,4,89.0,198.3,72138.25,68.0,0,Overstock
243,735,5,4,178.0,152.87,59488.4,91.0,0,Healthy
244,7,1,3,430.0,387.0,192682.84,151.0,0,Overstock
245,860,4,4,340.0,186.91,54515.08,140.0,0,Healthy
246,1430,4,6,174.0,248.94,79095.76,116.0,0,Healthy
247,1467,1,7,443.0,155.58,81653.44,199.0,1,Below Safety
248,811,4,5,183.0,13.79,4108.85,79.0,1,Below Safety
249,866,4,5,150.0,103.04,32540.68,76.0,0,Healthy
250,1028,3,4,122.0,90.41,46490.74,55.0,0,Healthy
251,573,1,2,313.0,234.38,118032.85,167.0,0,Healthy
252,1047,2,5,189.0,169.85,47477.68,93.0,0,Healthy
253,308,2,3,260.0,198.5,58936.99,124.0,0,Healthy
254,84,3,1,196.0,149.92,78514.06,77.0,0,Healthy
255,888,4,6,207.0,153.7,44962.26,78.0,0,Healthy
256,826,1,6,178.0,297.79,161254.08,125.0,0,Overstock
257,551,3,3,136.0,173.96,90732.02,67.0,0,Overstock
258,1324,1,5,353.0,186.21,98901.79,155.0,0,Healthy
259,1296,2,5,488.0,386.5,110140.43,180.0,0,Healthy
260,1643,4,7,150.0,183.41,57514.7,85.0,0,Healthy
261,1648,1,7,210.0,154.07,76628.85,81.0,0,Healthy
262,967,4,6,305.0,217.89,69201.67,109.0,0,Healthy
263,240,4,2,246.0,201.97,60252.4,115.0,0,Healthy
264,899,3,4,153.0,149.57,76854.22,72.0,0,Healthy
265,1685,2,9,202.0,57.21,17306.87,131.0,1,Below Safety
266,329,2,1,190.0,185.8,53296.67,94.0,0,Healthy
267,678,4,3,283.0,186.23,60082.1,98.0,0,Healthy
268,1251,5,6,181.0,95.07,35298.05,73.0,0,Healthy
269,2136,4,9,201.0,0,0.0,114.0,1,Out of Stock
270,207,1,1,260.0,302.07,162435.12,143.0,0,Healthy
271,191,4,1,141.0,200.66,62930.24,107.0,0,Healthy
272,2090,2,8,427.0,184.57,53845.09,151.0,0,Healthy
273,6,4,1,206.0,208.49,62981.32,131.0,0,Healthy
274,548,4,3,267.0,253.26,77108.86,92.0,0,Overstock
275,323,4,1,239.0,230.11,71964.92,113.0,0,Healthy
276,29,2,2,242.0,217.89,64165.49,134.0,0,Healthy
277,219,5,2,128.0,133.81,52358.76,74.0,0,Healthy
278,1485,2,7,134.0,111.44,33756.22,73.0,0,Healthy
279,674,1,1,203.0,110.4,56726.54,110.0,0,Healthy
280,1290,4,5,226.0,366.83,109896.12,158.0,0,Overstock
281,685,2,2,181.0,144.85,42177.63,98.0,0,Healthy
282,885,1,4,240.0,161.19,86857.19,128.0,0,Healthy
283,210,1,2,155.0,62.35,33703.36,116.0,1,Below Safety
284,1476,4,8,141.0,26.52,8433.69,91.0,1,Below Safety
285,835,1,5,383.0,386.6,195700.72,159.0,0,Overstock
286,729,2,1,170.0,289.63,83956.21,105.0,0,Overstock
287,627,4,3,217.0,140.34,41092.64,85.0,0,Healthy
288,1757,1,8,136.0,85.64,47034.22,98.0,1,Below Safety
289,326,2,2,156.0,167.85,45715.92,120.0,0,Healthy
290,1975,4,7,140.0,2.81,866.07,109.0,1,Below Safety
291,738,2,5,125.0,213.09,62056.33,95.0,0,Healthy
292,1329,4,4,227.0,138.81,44025.32,82.0,0,Healthy
293,1236,5,5,232.0,211.85,84821.65,81.0,0,Overstock
294,353,4,2,120.0,73.54,21586.8,87.0,1,Below Safety
295,892,5,4,116.0,89.12,34946.65,66.0,0,Healthy
296,777,3,5,101.0,52.35,26321.21,70.0,1,Below Safety
297,1786,5,7,143.0,176.36,68093.08,90.0,0,Healthy
298,355,5,1,252.0,136.29,50191.75,91.0,0,Healthy
299,64,3,2,155.0,78.0,41146.8,55.0,0,Healthy
300,592,1,3,261.0,114.78,59478.08,103.0,0,Healthy
301,1461,5,6,84.0,153.36,59220.46,65.0,0,Overstock
302,650,5,3,161.0,247.48,91418.18,85.0,0,Overstock
303,1654,2,8,135.0,135.61,39436.62,87.0,0,Healthy
304,1764,1,7,155.0,33.44,17135.62,126.0,1,Below Safety
305,1172,1,6,198.0,239.09,132281.67,131.0,0,Healthy
306,121,2,2,334.0,198.66,58451.15,116.0,0,Healthy
307,1716,4,9,188.0,104.6,30617.44,73.0,0,Healthy
308,453,2,1,112.0,245.74,71493.46,90.0,0,Overstock
309,2051,3,8,174.0,364.35,197310.45,115.0,0,Overstock
310,646,1,2,183.0,130.15,70459.37,105.0,0,Healthy
311,2004,3,8,171.0,75.17,41247.89,66.0,0,Healthy
312,1341,3,4,120.0,66.91,33612.45,75.0,1,Below Safety
313,1887,1,8,246.0,32.18,17902.91,119.0,1,Below Safety
314,760,3,5,118.0,87.62,45626.25,61.0,0,Healthy
315,841,4,5,192.0,189.74,58913.73,99.0,0,Healthy
316,1025,1,4,190.0,242.26,133258.45,126.0,0,Healthy
317,12,1,3,361.0,188.36,104339.17,134.0,0,Healthy
318,320,4,2,134.0,111.15,34650.62,85.0,0,Healthy
319,2015,5,9,192.0,205.78,80194.83,101.0,0,Healthy
320,678,4,2,159.0,76.73,24884.35,58.0,0,Healthy
321,1332,5,4,79.0,95.61,37806.17,44.0,0,Healthy
322,1186,1,6,364.0,140.12,69582.83,162.0,1,Below Safety
323,437,2,3,249.0,365.07,101629.58,141.0,0,Overstock
324,1055,2,5,293.0,155.57,46407.89,141.0,0,Healthy
325,1006,4,5,197.0,62.17,20245.52,102.0,1,Below Safety
326,2075,2,7,261.0,248.34,69417.68,137.0,0,Healthy
327,431,2,1,272.0,279.73,77988.61,166.0,0,Healthy
328,1560,1,8,246.0,90.15,49756.01,96.0,1,Below Safety
329,805,4,6,151.0,174.87,52074.29,103.0,0,Healthy
330,1605,4,8,266.0,144.26,43563.67,105.0,0,Healthy
331,1106,1,5,214.0,133.0,66141.3,96.0,0,Healthy
332,1130,4,5,259.0,418.36,127925.68,137.0,0,Overstock
333,1413,5,5,137.0,118.94,43795.53,52.0,0,Healthy
334,1132,4,4,249.0,139.37,45291.88,111.0,0,Healthy
335,998,4,6,435.0,203.84,62632.94,150.0,0,Healthy
336,1099,1,6,194.0,164.52,84178.59,110.0,0,Healthy
337,1105,3,5,183.0,128.21,63557.38,79.0,0,Healthy
338,1969,4,7,332.0,175.42,51257.18,121.0,0,Healthy
339,1559,4,9,318.0,241.75,76488.47,122.0,0,Healthy
340,13,3,1,113.0,46.8,24281.42,53.0,1,Below Safety
341,1887,4,7,276.0,279.26,82142.1,96.0,0,Overstock
342,780,2,5,168.0,37.58,10279.19,104.0,1,Below Safety
343,238,1,2,94.0,214.06,118743.23,71.0,0,Overstock
344,2166,2,9,292.0,202.3,60523.75,151.0,0,Healthy
345,1950,3,8,248.0,112.59,56394.64,98.0,0,Healthy
346,1451,3,5,72.0,66.48,34207.0,58.0,0,Healthy
347,1816,2,7,194.0,135.82,36938.01,95.0,0,Healthy
348,690,2,3,364.0,153.07,45971.21,152.0,0,Healthy
349,1379,3,5,144.0,74.01,40141.43,68.0,0,Healthy
350,216,2,1,408.0,290.96,83549.91,149.0,0,Healthy
351,433,4,2,202.0,239.59,69646.32,93.0,0,Overstock
352,1146,3,4,39.0,62.67,31096.44,30.0,0,Healthy
353,1816,2,7,381.0,300.61,86639.84,179.0,0,Healthy
354,1593,3,7,194.0,156.15,78521.28,73.0,0,Healthy
355,1693,1,8,256.0,549.54,274243.0,169.0,0,Overstock
356,1326,5,5,74.0,131.59,51195.86,52.0,0,Overstock
357,2034,5,8,83.0,63.2,23290.4,30.0,0,Healthy
358,1454,5,5,135.0,14.79,5562.14,53.0,1,Below Safety
359,42,2,2,208.0,201.92,58641.87,135.0,0,Healthy
360,1905,3,9,123.0,157.35,82972.95,84.0,0,Healthy
361,592,2,3,399.0,389.06,116394.16,145.0,0,Overstock
362,1248,2,4,158.0,272.3,80150.09,109.0,0,Overstock
363,1967,1,8,172.0,180.32,92954.91,100.0,0,Healthy
364,61,4,3,400.0,248.83,75814.82,139.0,0,Healthy
365,1901,4,8,116.0,255.49,83175.09,95.0,0,Overstock
366,330,1,3,512.0,225.76,112283.8,197.0,0,Healthy
367,503,3,3,105.0,115.65,62402.44,76.0,0,Healthy
368,616,1,2,87.0,113.1,60960.56,59.0,0,Healthy
369,1285,2,6,311.0,198.54,59186.85,160.0,0,Healthy
370,973,3,6,65.0,86.83,45518.82,51.0,0,Healthy
371,1071,5,6,128.0,70.59,25644.19,48.0,0,Healthy
372,580,2,3,303.0,385.75,110089.63,168.0,0,Healthy
373,652,3,3,234.0,228.41,116045.63,97.0,0,Overstock
374,517,1,1,284.0,235.81,129914.36,143.0,0,Healthy
375,746,3,5,163.0,163.43,87825.24,61.0,0,Overstock
376,1600,3,7,61.0,75.48,38477.38,40.0,0,Healthy
377,1747,5,9,102.0,84.96,31831.12,59.0,0,Healthy
378,1346,1,6,247.0,115.48,62532.24,97.0,0,Healthy
379,324,1,2,153.0,120.77,66997.91,96.0,0,Healthy
380,1385,3,4,257.0,51.67,28679.65,90.0,1,Below Safety
381,1263,3,4,192.0,111.09,60608.35,82.0,0,Healthy
382,888,3,6,116.0,137.14,74446.73,49.0,0,Overstock
383,682,1,3,279.0,109.8,56094.1,100.0,0,Healthy
384,217,5,1,84.0,118.06,45640.93,65.0,0,Healthy
385,267,1,1,165.0,328.88,173376.24,114.0,0,Overstock
386,1007,1,6,237.0,111.7,58952.39,96.0,0,Healthy
387,108,5,3,161.0,143.46,58181.14,60.0,0,Overstock
388,134,1,1,185.0,278.52,152844.11,103.0,0,Overstock
389,132,3,1,173.0,108.85,57437.1,63.0,0,Healthy
390,1745,1,8,244.0,60.78,32061.17,135.0,1,Below Safety
391,1783,2,8,237.0,325.76,93421.48,181.0,0,Healthy
392,1326,2,5,114.0,114.44,32104.64,86.0,0,Healthy
393,1585,4,8,191.0,105.29,31379.06,71.0,0,Healthy
394,2029,5,9,89.0,110.65,40820.07,60.0,0,Healthy
395,879,4,5,243.0,193.77,58819.21,96.0,0,Healthy
396,2109,2,9,169.0,165.04,46553.72,102.0,0,Healthy
397,281,5,1,167.0,85.05,32690.92,64.0,0,Healthy
398,287,5,2,79.0,67.14,25620.38,46.0,0,Healthy
399,1822,2,9,281.0,61.17,17750.36,116.0,1,Below Safety
400,198,1,1,312.0,250.13,135916.53,126.0,0,Healthy
401,356,2,2,263.0,437.4,122138.11,160.0,0,Overstock
402,1048,2,4,315.0,290.29,80181.98,153.0,0,Healthy
403,1784,4,9,235.0,140.39,40971.61,103.0,0,Healthy
404,337,2,1,344.0,142.05,40436.3,171.0,1,Below Safety
405,1685,1,9,299.0,0,0.0,195.0,1,Out of Stock
406,317,1,2,431.0,259.2,142997.39,207.0,0,Healthy
407,108,3,2,137.0,164.08,81626.19,77.0,0,Healthy
408,314,3,3,107.0,70.59,35281.09,50.0,0,Healthy
409,1168,3,6,127.0,126.09,68099.18,84.0,0,Healthy
410,364,1,3,218.0,205.32,111584.01,134.0,0,Healthy
411,1296,3,5,64.0,74.28,40139.4,43.0,0,Healthy
412,698,3,3,166.0,130.32,67968.53,70.0,0,Healthy
413,28,3,1,151.0,103.6,54689.55,106.0,1,Below Safety
414,1145,3,5,77.0,138.63,68466.08,50.0,0,Overstock
415,1955,1,8,309.0,260.87,133069.94,123.0,0,Healthy
416,645,5,2,183.0,204.88,76241.76,76.0,0,Overstock
417,432,5,2,103.0,201.28,80033.78,69.0,0,Overstock
418,1956,2,8,392.0,430.34,117501.76,176.0,0,Overstock
419,1373,3,6,123.0,69.4,35110.39,43.0,0,Healthy
420,1527,5,9,93.0,21.9,8725.1,41.0,1,Below Safety
421,608,3,3,265.0,51.91,28660.78,94.0,1,Below Safety
422,2070,3,9,104.0,21.4,11480.6,46.0,1,Below Safety
423,1263,5,6,136.0,129.94,47036.54,57.0,0,Healthy
424,1843,3,9,149.0,201.35,108258.43,66.0,0,Overstock
