fact_transport_id,sk_date,sk_route,sk_vehicle,sk_driver,sk_carrier,sk_transport_mode,distance_km,duration_hours,transport_cost_amount,transport_cost_per_km,fill_rate,fill_rate_band,co2_kg
59,162,2,1,2,5,1,313.63,3.63,524.95,1.6738,0.778,Medium,231.84
60,801,8,6,36,10,1,190.14,1.94,593.6,3.1219,0.84,Medium,141.13
61,805,6,6,32,8,1,776.28,6.53,1539.18,1.9828,0.632,Low,615.78
62,1971,9,10,53,15,1,616.1,12.8,1129.92,1.834,0.605,Low,469.1
63,437,4,2,2,1,1,805.11,9.98,1636.29,2.0324,0.929,High,620.77
64,791,5,6,29,6,1,288.95,3.25,772.85,2.6747,0.904,High,231.74
65,793,7,6,24,6,1,394.06,4.06,879.78,2.2326,0.941,High,314.74
66,1482,9,9,42,12,1,616.1,10.52,1012.46,1.6433,0.717,Medium,515.62
67,768,8,6,21,8,1,190.14,2.07,394.04,2.0724,0.707,Medium,155.07
68,676,3,1,11,4,1,1000.99,11.12,1953.23,1.9513,0.76,Medium,858.18
69,496,4,3,9,3,1,805.11,7.95,1699.36,2.1107,0.748,Medium,481.62
70,2159,11,10,47,13,1,654.72,9.04,1104.73,1.6873,0.832,Medium,524.09
71,1794,12,9,44,14,1,862.03,10.08,1821.68,2.1132,0.898,High,652.24
72,947,6,5,36,10,1,776.28,9.07,1944.24,2.5046,0.957,High,577.37
73,77,2,1,15,2,1,313.63,6.53,753.12,2.4013,0.635,Low,273.61
74,2075,12,9,42,12,3,862.03,11.03,789.61,0.916,0.91,High,121.43
75,788,8,5,23,9,1,190.14,3.92,669.04,3.5187,0.81,Medium,152.94
76,1848,9,10,46,11,1,616.1,9.35,1211.98,1.9672,0.806,Medium,461.08
77,534,3,1,1,5,1,1000.99,8.16,1630.63,1.629,0.543,Low,707.15
78,276,1,4,7,2,1,465.31,5.75,1008.37,2.1671,0.873,High,150.93
79,1685,10,9,42,15,1,349.86,4.05,687.72,1.9657,0.94,High,261.02
80,1321,7,6,33,10,1,394.06,5.67,1073.6,2.7245,0.796,Medium,315.27
81,507,2,2,1,5,1,313.63,3.83,701.04,2.2352,0.815,Medium,235.12
82,1962,12,12,42,15,1,862.03,10.89,1135.47,1.3172,0.64,Low,285.15
83,1193,8,5,28,10,1,190.14,2.07,586.67,3.0855,0.513,Low,140.84
84,275,4,3,12,5,2,805.11,6.73,931.83,1.1574,0.907,High,153.14
85,1546,11,9,40,11,1,654.72,11.0,1253.08,1.9139,0.58,Low,555.06
86,1267,8,6,36,6,1,190.14,2.32,420.16,2.2097,0.552,Low,144.8
87,1868,9,9,52,13,1,616.1,6.87,1130.05,1.8342,0.662,Low,500.25
88,1757,10,9,44,12,1,349.86,7.0,635.03,1.8151,0.758,Medium,291.54
89,2074,12,9,43,15,1,862.03,8.61,1394.01,1.6171,0.849,Medium,660.26
90,917,8,6,28,8,1,190.14,1.97,361.56,1.9015,0.96,High,133.06
91,736,5,7,30,6,1,288.95,3.24,606.57,2.0992,0.699,Medium,181.58
92,2168,9,10,41,12,1,616.1,8.75,1148.24,1.8637,0.754,Medium,517.89
93,1288,6,5,22,8,1,776.28,6.4,1468.55,1.8918,0.825,Medium,591.39
94,1669,10,9,54,11,4,349.86,5.29,1740.25,4.9741,0.734,Medium,880.78
95,1080,6,7,29,8,1,776.28,8.16,1338.37,1.7241,0.46,Low,510.13
96,754,8,7,26,10,1,190.14,3.47,518.43,2.7266,0.731,Medium,117.93
97,618,1,2,18,3,1,465.31,6.23,1189.64,2.5567,0.906,High,326.62
98,2137,10,9,48,15,1,349.86,4.61,741.76,2.1202,0.792,Medium,275.93
99,1814,9,11,49,14,1,616.1,9.93,1328.62,2.1565,0.764,Medium,375.49
100,41,1,2,10,2,1,465.31,6.88,1100.55,2.3652,0.504,Low,327.57
101,2084,12,9,40,11,1,862.03,10.2,1641.52,1.9042,0.731,Medium,650.68
102,1954,9,11,38,13,1,616.1,7.77,972.45,1.5784,0.921,High,386.76
103,2146,9,9,39,13,1,616.1,8.66,1187.41,1.9273,0.638,Low,536.32
104,624,1,1,17,4,1,465.31,5.46,903.9,1.9426,0.807,Medium,352.73
105,1292,8,7,21,10,1,190.14,2.25,443.18,2.3308,0.781,Medium,106.47
106,978,7,6,21,8,1,394.06,4.14,912.4,2.3154,0.865,High,281.37
107,330,4,1,12,3,1,805.11,7.52,1720.4,2.1369,0.568,Low,626.74
108,486,2,1,1,3,1,313.63,3.21,758.73,2.4192,0.64,Low,251.88
109,858,8,7,36,8,1,190.14,2.92,551.07,2.8982,0.634,Low,103.33
110,197,2,3,13,2,1,313.63,6.1,815.89,2.6014,0.897,High,176.11
111,1324,8,6,22,9,1,190.14,1.71,678.46,3.5682,0.768,Medium,158.95
112,344,4,1,13,4,1,805.11,7.08,1442.0,1.7911,0.676,Low,667.79
113,1216,5,6,28,10,1,288.95,3.3,828.38,2.8669,0.9,High,232.93
114,1153,5,7,22,10,1,288.95,3.73,871.74,3.0169,0.805,Medium,191.22
115,1938,10,9,52,14,1,349.86,5.02,748.39,2.1391,0.656,Low,264.58
116,133,3,3,1,5,1,1000.99,12.88,1499.89,1.4984,0.82,Medium,639.46
117,788,8,5,24,6,1,190.14,2.99,535.19,2.8147,0.717,Medium,134.67
118,543,3,2,11,4,1,1000.99,9.61,1868.37,1.8665,0.794,Medium,813.96
119,1025,8,6,30,6,1,190.14,2.03,400.86,2.1082,0.801,Medium,130.1
120,1781,9,9,43,12,1,616.1,10.71,991.22,1.6089,0.496,Low,477.21
121,1975,11,9,44,15,1,654.72,11.42,1165.62,1.7803,0.693,Medium,481.4
122,147,1,1,11,1,1,465.31,6.47,968.16,2.0807,0.96,High,337.79
123,157,4,3,15,4,2,805.11,8.62,903.19,1.1218,0.735,Medium,147.72
124,1039,6,7,20,9,1,776.28,6.5,1762.52,2.2705,0.814,Medium,423.03
125,697,2,1,12,1,1,313.63,4.9,621.11,1.9804,0.99,High,250.93
126,465,1,1,11,4,1,465.31,4.06,856.4,1.8405,0.59,Low,331.03
127,1727,12,9,54,13,1,862.03,14.44,1529.44,1.7742,0.891,High,707.78
128,1856,11,11,46,14,1,654.72,7.13,1318.9,2.0144,0.737,Medium,373.16
129,611,3,3,9,2,1,1000.99,13.5,2197.26,2.1951,0.822,Medium,566.54
130,284,2,2,10,1,1,313.63,4.77,642.42,2.0483,0.858,Medium,260.38
131,998,7,7,34,7,1,394.06,4.79,763.29,1.937,0.615,Low,239.58
132,61,1,1,8,1,1,465.31,5.08,989.02,2.1255,0.706,Medium,396.48
133,1789,11,9,42,15,1,654.72,8.54,1061.92,1.6219,0.773,Medium,543.0
134,1991,12,11,42,13,4,862.03,14.71,2856.63,3.3138,0.728,Medium,1471.86
135,1655,9,11,47,11,1,616.1,6.92,1214.2,1.9708,0.68,Medium,383.12
136,1603,12,9,44,15,1,862.03,8.47,1468.18,1.7032,0.864,High,655.83
137,1030,8,6,20,6,1,190.14,2.24,568.03,2.9874,0.757,Medium,156.37
138,429,4,2,12,3,1,805.11,8.07,1942.83,2.4131,0.817,Medium,642.76
139,1045,8,5,23,9,1,190.14,1.82,644.06,3.3873,0.886,High,160.25
140,2119,9,10,38,15,1,616.1,5.63,1159.14,1.8814,0.712,Medium,434.54
141,1929,9,12,46,13,1,616.1,6.95,835.13,1.3555,0.909,High,199.9
142,704,2,1,6,1,1,313.63,4.18,746.82,2.3812,0.738,Medium,224.51
143,475,2,2,14,2,1,313.63,6.42,911.64,2.9067,0.875,High,231.26
144,1646,9,9,53,14,1,616.1,14.73,1427.68,2.3173,0.869,High,526.1
145,1854,12,9,47,12,2,862.03,9.44,945.24,1.0965,0.609,Low,233.16
146,1182,8,7,34,7,1,190.14,2.38,409.83,2.1554,0.861,High,121.47
147,51,1,1,12,1,1,465.31,7.09,1057.18,2.272,0.694,Medium,378.21
148,2150,12,10,41,13,2,862.03,11.11,875.07,1.0151,0.755,Medium,202.06
149,757,8,7,27,9,1,190.14,2.53,630.66,3.3168,0.569,Low,114.68
150,650,3,2,14,4,1,1000.99,7.97,1812.56,1.8108,0.776,Medium,787.25
151,759,8,6,26,7,1,190.14,2.06,538.61,2.8327,0.99,High,136.12
152,2083,9,10,42,11,1,616.1,8.82,1140.43,1.851,0.631,Low,422.48
153,635,2,2,17,4,1,313.63,3.78,670.19,2.1369,0.758,Medium,250.11
154,379,4,2,17,4,1,805.11,8.49,1556.19,1.9329,0.74,Medium,662.77
155,840,6,6,29,8,1,776.28,7.83,1395.22,1.7973,0.602,Low,629.59
156,375,4,3,13,1,2,805.11,8.44,1106.41,1.3742,0.846,Medium,146.51
157,510,1,1,15,2,1,465.31,4.62,1081.83,2.325,0.866,High,385.39
158,1348,8,6,27,6,1,190.14,2.33,539.77,2.8388,0.866,High,157.82
159,1257,6,5,30,6,1,776.28,6.78,1665.22,2.1451,0.48,Low,616.81
160,933,5,7,34,9,1,288.95,2.92,740.55,2.5629,0.872,High,180.47
161,1285,6,5,36,6,1,776.28,6.86,1590.62,2.049,0.758,Medium,676.47
162,317,1,1,2,3,1,465.31,4.92,1084.26,2.3302,0.816,Medium,371.16
163,1976,9,10,51,14,1,616.1,6.76,1369.97,2.2236,0.733,Medium,421.79
164,1409,6,6,34,10,1,776.28,10.44,1811.68,2.3338,0.825,Medium,639.22
165,472,2,1,18,3,1,313.63,4.31,856.33,2.7304,0.817,Medium,245.04
166,693,1,2,13,2,1,465.31,5.24,1254.9,2.6969,0.713,Medium,376.7
167,642,4,4,8,3,1,805.11,6.9,1601.93,1.9897,0.632,Low,238.0
168,1388,8,5,33,9,1,190.14,3.03,557.42,2.9316,0.729,Medium,136.75
169,644,3,1,17,2,2,1000.99,8.89,1476.5,1.475,0.604,Low,236.88
170,345,2,2,7,3,1,313.63,4.71,872.71,2.7826,0.797,Medium,214.34
171,429,4,3,15,2,2,805.11,16.0,1264.4,1.5705,0.971,High,143.19
172,1059,7,6,27,9,1,394.06,3.6,1036.14,2.6294,0.631,Low,329.68
173,824,7,5,35,8,1,394.06,3.84,869.6,2.2068,0.706,Medium,288.82
174,911,7,5,27,7,1,394.06,4.02,773.72,1.9635,0.647,Low,290.27
175,1217,6,6,25,8,1,776.28,7.18,1578.47,2.0334,0.769,Medium,590.36
176,1951,9,9,39,14,1,616.1,9.44,1240.74,2.0139,0.844,Medium,439.85
177,641,4,3,2,1,1,805.11,8.64,1473.8,1.8306,0.677,Low,519.68
178,2111,11,12,41,11,2,654.72,8.76,916.44,1.3997,0.526,Low,73.1
179,677,3,1,11,5,1,1000.99,11.33,1618.29,1.6167,0.802,Medium,796.17
180,1962,9,10,46,14,1,616.1,10.25,1308.95,2.1246,0.734,Medium,493.79
181,371,2,2,16,2,4,313.63,5.13,1754.48,5.5941,0.644,Low,745.68
182,763,7,6,35,10,1,394.06,3.79,922.7,2.3415,0.756,Medium,299.51
183,1263,7,6,31,8,1,394.06,3.8,881.25,2.2363,0.559,Low,323.06
184,265,1,1,5,5,4,465.31,4.44,1627.35,3.4973,0.452,Low,1170.55
185,302,1,1,6,3,1,465.31,5.28,1009.54,2.1696,0.864,High,336.02
186,1272,5,5,34,8,1,288.95,2.55,642.41,2.2233,0.541,Low,230.68
187,1609,12,11,45,13,1,862.03,11.1,1230.59,1.4275,0.748,Medium,492.07
188,818,6,7,30,7,1,776.28,6.19,1374.83,1.771,0.556,Low,439.56
189,1156,8,7,32,10,1,190.14,2.32,485.31,2.5524,0.67,Low,122.71
190,1378,8,5,28,8,1,190.14,3.37,452.4,2.3793,0.69,Medium,142.98
191,2036,12,10,42,15,1,862.03,12.62,1343.46,1.5585,0.633,Low,605.75
192,784,8,5,22,10,1,190.14,3.18,560.51,2.9479,0.683,Medium,164.16
193,1453,8,5,34,10,1,190.14,1.95,563.49,2.9636,0.796,Medium,134.22
194,912,7,5,28,6,1,394.06,4.34,972.57,2.4681,0.85,Medium,341.99
195,847,8,6,31,7,1,190.14,2.22,544.21,2.8622,0.783,Medium,157.37
196,72,1,2,6,2,1,465.31,4.69,1103.54,2.3716,0.778,Medium,349.43
197,1866,10,9,38,14,1,349.86,4.28,913.05,2.6098,0.835,Medium,295.07
198,365,3,2,10,2,1,1000.99,13.17,2246.05,2.2438,0.814,Medium,742.53
199,126,4,1,10,1,2,805.11,7.21,1083.62,1.3459,0.826,Medium,194.68
200,619,2,1,15,2,1,313.63,3.83,859.74,2.7413,0.84,Medium,271.6
201,1216,7,7,24,7,1,394.06,4.47,803.73,2.0396,0.486,Low,249.4
202,1078,5,7,21,6,1,288.95,2.43,574.45,1.9881,0.687,Medium,190.56
203,63,2,1,15,4,1,313.63,4.38,616.84,1.9668,0.446,Low,269.81
204,470,4,2,14,2,1,805.11,7.59,1775.57,2.2054,0.538,Low,644.11
205,679,2,1,8,5,1,313.63,4.49,667.3,2.1277,0.727,Medium,272.32
206,1468,10,9,52,15,1,349.86,5.42,758.41,2.1678,0.804,Medium,297.79
207,1073,8,6,20,9,1,190.14,2.0,556.35,2.926,0.73,Medium,137.86
208,1537,10,9,52,12,1,349.86,7.81,608.04,1.738,0.764,Medium,268.14
209,2127,11,9,49,13,1,654.72,10.5,1216.33,1.8578,0.799,Medium,544.98
210,678,2,2,16,1,1,313.63,4.87,826.23,2.6344,0.791,Medium,252.25
211,621,2,1,1,5,1,313.63,4.16,737.16,2.3504,0.725,Medium,257.24
212,1166,7,6,32,10,1,394.06,4.97,1076.35,2.7314,0.683,Medium,322.34
213,2180,10,9,41,13,1,349.86,4.84,745.18,2.1299,0.565,Low,256.48
214,545,1,1,6,4,1,465.31,4.99,903.15,1.941,0.658,Low,338.29
215,416,4,2,8,2,1,805.11,10.66,1800.82,2.2367,0.816,Medium,673.09
216,204,1,3,18,1,1,465.31,4.2,1010.64,2.172,0.623,Low,299.82
217,365,4,1,5,2,1,805.11,12.36,1931.52,2.3991,0.813,Medium,626.37
218,1191,5,6,23,8,1,288.95,3.0,680.22,2.3541,0.873,High,226.96
219,1411,6,5,22,8,1,776.28,7.57,1518.97,1.9567,0.543,Low,670.53
220,880,7,8,20,8,1,394.06,3.22,800.47,2.0313,0.743,Medium,142.08
221,987,5,7,36,8,1,288.95,2.35,544.08,1.883,0.953,High,189.24
222,1487,12,11,51,15,1,862.03,10.04,1250.91,1.4511,0.912,High,495.69
223,1053,7,5,22,7,1,394.06,3.85,758.69,1.9253,0.729,Medium,337.1
224,1066,6,7,22,10,1,776.28,8.59,1760.86,2.2683,0.755,Medium,508.38
225,430,4,2,5,5,1,805.11,12.14,1437.48,1.7854,0.873,High,577.24
226,143,2,3,2,4,1,313.63,4.29,754.04,2.4042,0.863,High,206.4
227,1731,10,9,52,11,1,349.86,4.64,855.98,2.4466,0.736,Medium,257.16
228,172,1,2,13,4,1,465.31,3.81,815.36,1.7523,0.727,Medium,334.54
229,435,3,3,8,2,1,1000.99,11.89,2142.79,2.1407,0.99,High,626.6
230,1085,8,6,22,9,1,190.14,2.61,659.83,3.4702,0.776,Medium,152.33
231,878,5,5,32,10,1,288.95,2.89,787.58,2.7257,0.775,Medium,237.2
232,874,6,6,36,7,2,776.28,5.79,978.02,1.2599,0.781,Medium,170.77
233,993,7,6,21,6,1,394.06,3.12,959.35,2.4345,0.692,Medium,298.4
234,1176,8,5,30,10,1,190.14,2.18,611.69,3.2171,0.63,Low,135.14
235,1248,5,5,30,7,1,288.95,2.63,596.25,2.0635,0.868,High,236.04
236,63,2,1,7,2,1,313.63,4.16,796.53,2.5397,0.864,High,222.0
237,170,3,1,2,2,1,1000.99,11.51,2234.69,2.2325,0.832,Medium,836.14
238,195,4,1,12,3,2,805.11,8.7,1133.79,1.4082,0.935,High,184.14
239,899,6,6,23,6,1,776.28,10.23,1732.79,2.2322,0.672,Low,597.99
240,1632,9,11,47,14,1,616.1,10.53,1251.02,2.0305,0.744,Medium,357.38
241,2137,12,11,43,15,2,862.03,15.12,1009.58,1.1712,0.692,Medium,172.7
242,1364,6,6,27,6,1,776.28,7.73,1716.59,2.2113,0.819,Medium,637.69
243,735,6,8,23,8,1,776.28,6.58,1248.75,1.6086,0.546,Low,278.78
244,7,3,2,17,5,1,1000.99,8.74,1580.58,1.579,0.798,Medium,763.78
245,860,7,5,34,10,1,394.06,3.96,919.08,2.3323,0.956,High,304.74
246,1430,7,5,32,6,1,394.06,3.38,902.76,2.2909,0.48,Low,326.3
247,1467,12,10,45,15,2,862.03,8.61,894.11,1.0372,0.904,High,227.4
248,811,6,6,23,8,1,776.28,6.16,1486.42,1.9148,0.707,Medium,618.68
249,866,8,6,30,6,1,190.14,1.96,420.28,2.2104,0.779,Medium,142.74
250,1028,7,6,22,7,1,394.06,4.75,812.24,2.0612,0.803,Medium,303.28
251,573,1,2,8,2,1,465.31,6.0,1149.38,2.4701,0.692,Medium,320.21
252,1047,6,7,34,8,2,776.28,9.16,845.58,1.0893,0.798,Medium,163.57
253,308,4,2,15,5,2,805.11,7.94,822.01,1.021,0.615,Low,180.28
254,84,1,2,17,1,1,465.31,5.3,964.81,2.0735,0.722,Medium,323.08
255,888,8,5,36,8,1,190.14,2.15,465.14,2.4463,0.771,Medium,149.79
256,826,8,6,35,7,1,190.14,2.02,444.05,2.3354,0.835,Medium,151.19
257,551,3,1,15,3,1,1000.99,8.27,2193.28,2.1911,0.867,High,738.78
258,1324,5,6,20,7,1,288.95,2.66,581.59,2.0128,0.714,Medium,212.12
259,1296,8,5,20,6,1,190.14,2.32,443.24,2.3311,0.729,Medium,135.33
260,1643,11,12,43,14,1,654.72,8.38,1157.58,1.7681,0.861,High,197.55
261,1648,10,10,39,11,1,349.86,6.04,867.11,2.4784,0.891,High,276.09
262,967,8,5,32,6,1,190.14,1.74,584.36,3.0733,0.715,Medium,154.7
263,240,1,3,14,1,1,465.31,5.53,885.34,1.9027,0.608,Low,303.97
264,899,8,6,23,9,1,190.14,2.77,656.32,3.4518,0.676,Low,150.56
265,1685,12,9,52,15,1,862.03,14.37,1534.06,1.7796,0.8,Medium,621.27
266,329,3,1,17,4,1,1000.99,8.59,1832.31,1.8305,0.749,Medium,770.8
267,678,1,1,2,4,1,465.31,5.35,851.16,1.8292,0.707,Medium,331.06
268,1251,6,8,31,10,1,776.28,7.75,1624.37,2.0925,0.863,High,246.84
269,2136,9,10,54,15,1,616.1,7.94,1144.5,1.8577,0.645,Low,518.31
270,207,3,2,1,3,1,1000.99,8.65,2263.38,2.2611,0.75,Medium,781.04
271,191,4,2,1,5,1,805.11,8.96,1295.14,1.6086,0.723,Medium,550.12
272,2090,12,10,46,12,1,862.03,15.16,1244.25,1.4434,0.764,Medium,607.62
273,6,1,3,13,5,1,465.31,5.63,842.97,1.8116,0.592,Low,302.12
274,548,4,1,12,2,2,805.11,17.6,1209.91,1.5028,0.827,Medium,196.09
275,323,3,2,9,1,1,1000.99,9.36,2010.72,2.0087,0.738,Medium,714.12
276,29,1,1,6,1,1,465.31,5.51,1018.92,2.1898,0.599,Low,381.37
277,219,2,2,11,4,1,313.63,3.79,598.85,1.9094,0.564,Low,252.46
278,1485,11,10,44,13,1,654.72,9.97,1141.78,1.7439,0.877,High,449.86
279,674,1,1,13,1,1,465.31,5.66,1107.79,2.3808,0.881,High,390.35
280,1290,6,5,34,6,1,776.28,7.1,1638.38,2.1106,0.816,Medium,617.13
281,685,2,1,14,3,1,313.63,4.25,780.04,2.4871,0.765,Medium,254.58
282,885,7,6,22,9,1,394.06,4.16,1034.23,2.6245,0.762,Medium,323.03
283,210,3,3,6,4,2,1000.99,7.99,1123.41,1.1223,0.901,High,192.19
284,1476,9,9,53,15,1,616.1,6.51,1074.6,1.7442,0.458,Low,501.78
285,835,7,5,24,10,1,394.06,3.06,1110.26,2.8175,0.805,Medium,306.79
286,729,2,2,1,3,1,313.63,3.53,824.77,2.6298,0.898,High,243.88
287,627,1,2,18,2,1,465.31,5.14,1169.36,2.5131,0.771,Medium,330.61
288,1757,10,10,47,15,1,349.86,4.86,742.97,2.1236,0.636,Low,260.91
289,326,1,2,14,3,1,465.31,4.98,1115.87,2.3981,0.885,High,375.49
290,1975,11,11,43,14,1,654.72,6.14,1402.31,2.1418,0.624,Low,364.9
291,738,8,6,27,8,1,190.14,3.05,451.28,2.3734,0.49,Low,156.37
292,1329,5,5,19,9,1,288.95,3.47,879.18,3.0427,0.673,Low,221.87
293,1236,5,5,30,7,1,288.95,2.48,723.43,2.5037,0.663,Low,220.15
294,353,4,3,2,1,1,805.11,9.58,1555.39,1.9319,0.629,Low,504.5
295,892,8,8,31,7,1,190.14,1.79,411.5,2.1642,0.732,Medium,59.16
296,777,8,7,20,9,1,190.14,1.79,646.45,3.3999,0.699,Medium,118.88
297,1786,10,9,46,12,1,349.86,4.0,669.28,1.913,0.777,Medium,293.12
298,355,1,1,17,1,1,465.31,5.05,975.48,2.0964,0.568,Low,365.35
299,64,4,3,12,3,2,805.11,7.52,1154.26,1.4337,0.88,High,142.77
300,592,2,1,8,1,1,313.63,3.94,727.14,2.3185,0.822,Medium,271.42
301,1461,5,6,22,8,1,288.95,2.6,609.58,2.1096,0.89,High,228.31
302,650,4,3,1,3,4,805.11,7.74,4252.76,5.2822,0.578,Low,1562.34
303,1654,11,9,37,14,1,654.72,8.69,1312.19,2.0042,0.677,Low,492.68
304,1764,12,10,44,14,2,862.03,7.12,1270.05,1.4733,0.731,Medium,207.33
305,1172,7,5,27,9,1,394.06,4.05,1052.2,2.6702,0.647,Low,285.49
306,121,3,2,13,3,2,1000.99,9.69,1406.37,1.405,0.733,Medium,221.65
307,1716,10,10,52,13,1,349.86,4.93,755.98,2.1608,0.862,High,274.51
308,453,2,1,4,2,1,313.63,4.35,757.56,2.4155,0.932,High,255.58
309,2051,12,10,43,15,1,862.03,12.29,1523.28,1.7671,0.926,High,591.39
310,646,2,4,4,4,1,313.63,2.98,485.58,1.5483,0.808,Medium,100.21
311,2004,12,10,46,15,3,862.03,14.46,861.36,0.9992,0.733,Medium,121.42
312,1341,8,7,35,10,1,190.14,1.72,654.75,3.4435,0.737,Medium,117.48
313,1887,12,9,49,15,2,862.03,10.12,1044.22,1.2113,0.785,Medium,220.97
314,760,8,5,35,8,1,190.14,2.65,393.02,2.067,0.764,Medium,164.55
315,841,8,7,25,6,1,190.14,2.03,577.92,3.0394,0.822,Medium,119.49
316,1025,7,5,35,6,1,394.06,3.01,896.22,2.2743,0.839,Medium,298.98
317,12,4,2,14,1,1,805.11,7.05,1580.67,1.9633,0.915,High,639.28
318,320,1,2,5,4,1,465.31,7.07,839.72,1.8046,0.929,High,330.21
