fact_purchase_id,sk_date,sk_supplier,sk_product,sk_order,quantity_units,purchase_unit_price,purchase_amount,planned_delay_days,real_delay_days,delay_gap_days
121,1975,19,4,2328,61.0,314.09,19159.79,3.75,5.97,2.21
122,147,8,2,869,157.0,294.57,46247.48,2.57,3.25,0.68
123,157,2,1,699,23.0,541.53,12455.17,1.9,4.53,2.63
124,1039,11,4,1794,32.0,321.24,10279.57,2.81,2.4,-0.41
125,697,5,2,279,56.0,294.72,16504.56,2.97,2.96,-0.01
126,465,8,4,1386,51.0,298.97,15247.57,2.77,1.92,-0.86
127,1727,19,1,650,36.0,522.92,18825.29,4.15,4.99,0.84
128,1856,21,4,84,70.0,319.7,22379.07,3.66,6.03,2.37
129,611,3,5,1372,28.0,405.84,11363.61,9.79,9.72,-0.08
130,284,5,3,1617,18.0,526.02,9468.41,5.11,4.83,-0.28
131,998,14,2,140,46.0,274.58,12630.57,4.25,3.55,-0.7
132,61,1,2,1110,131.0,285.75,37433.27,1.08,1.4,0.32
133,1789,21,2,1978,30.0,279.97,8399.24,2.83,4.12,1.29
134,1991,21,5,1092,27.0,387.92,10473.86,12.94,13.83,0.89
135,1655,23,4,2085,48.0,325.7,15633.46,4.01,5.12,1.11
136,1603,19,4,2204,54.0,304.84,16461.21,3.14,4.41,1.27
137,1030,13,4,678,110.0,302.57,33282.75,3.16,4.02,0.86
138,429,6,3,914,53.0,500.52,26527.56,10.25,9.75,-0.5
139,1045,14,1,244,108.0,509.51,55027.44,2.21,1.34,-0.88
140,2119,22,4,1889,57.0,291.17,16596.87,5.95,5.12,-0.83
141,1929,18,5,1033,54.0,373.06,20145.01,7.21,6.94,-0.27
142,704,3,2,1262,127.0,273.88,34783.15,3.45,4.97,1.52
143,475,2,2,1148,12.0,274.34,3292.06,1.86,1.47,-0.4
144,1646,23,1,1426,17.0,526.49,8950.4,2.15,2.11,-0.04
145,1854,22,4,513,24.0,315.41,7569.84,3.76,5.32,1.56
146,1182,10,2,671,80.0,304.33,24346.38,1.2,1.17,-0.03
147,51,6,3,1848,9.0,550.99,4958.87,9.3,9.6,0.3
148,2150,24,1,1863,46.0,542.54,24956.82,3.01,4.43,1.42
149,757,9,4,2177,71.0,292.91,20796.58,2.56,2.84,0.28
150,650,7,4,772,52.0,316.55,16460.65,5.72,6.95,1.23
151,759,12,2,1774,84.0,276.17,23198.68,1.59,0.92,-0.67
152,2083,19,4,1781,30.0,307.39,9221.72,3.41,4.48,1.08
153,635,3,1,228,24.0,540.44,12970.67,2.11,2.3,0.19
154,379,8,2,2282,54.0,290.35,15678.8,2.3,3.06,0.75
155,840,15,2,2154,30.0,304.24,9127.17,1.81,2.14,0.33
156,375,6,5,1202,20.0,364.57,7291.44,6.76,7.46,0.7
157,510,3,1,356,79.0,502.68,39711.87,2.1,2.71,0.62
158,1348,13,2,1692,68.0,295.17,20071.72,2.53,2.16,-0.37
159,1257,9,1,1971,95.0,545.39,51812.26,3.28,2.9,-0.39
160,933,13,2,1744,28.0,281.42,7879.87,1.98,1.48,-0.5
161,1285,9,4,751,40.0,300.72,12028.88,4.22,4.36,0.15
162,317,7,4,2091,45.0,324.77,14614.79,3.59,4.53,0.95
163,1976,19,2,1387,117.0,275.27,32206.87,2.8,1.79,-1.01
164,1409,10,4,796,57.0,302.91,17265.88,3.92,5.86,1.94
165,472,6,2,1363,107.0,302.54,32371.6,1.72,0.3,-1.42
166,693,7,4,2109,43.0,295.21,12694.1,3.24,4.92,1.68
167,642,3,5,632,7.0,388.56,2719.91,9.85,7.29,-2.56
168,1388,16,1,2137,139.0,502.74,69881.41,2.06,5.12,3.06
169,644,8,2,884,143.0,292.81,41872.41,3.25,2.63,-0.63
170,345,8,2,1030,34.0,295.7,10053.63,1.76,3.6,1.84
171,429,5,2,1180,76.0,299.06,22728.26,1.46,0.53,-0.93
172,1059,12,1,952,91.0,531.17,48336.06,3.84,4.66,0.83
173,824,10,4,370,26.0,318.64,8284.68,4.58,6.34,1.76
174,911,14,2,520,26.0,293.34,7626.97,2.6,2.69,0.09
175,1217,10,4,2310,47.0,292.34,13739.76,3.51,3.8,0.29
176,1951,21,1,1976,92.0,500.26,46024.28,2.82,4.37,1.56
177,641,1,1,1002,88.0,533.87,46980.74,2.03,2.64,0.61
178,2111,21,4,2350,68.0,304.52,20707.53,3.44,3.51,0.07
179,677,3,3,1024,17.0,538.04,9146.6,7.28,8.77,1.49
180,1962,17,2,1622,42.0,273.37,11481.58,1.67,1.75,0.07
181,371,2,3,271,11.0,511.77,5629.51,9.28,10.31,1.03
182,763,14,3,2132,6.0,508.89,3053.31,6.02,7.56,1.53
183,1263,12,4,25,54.0,302.71,16346.26,4.26,4.24,-0.03
184,265,2,5,2344,15.0,405.33,6080.0,8.85,9.66,0.81
185,302,4,1,590,118.0,505.3,59625.78,1.75,2.02,0.27
186,1272,10,2,1776,53.0,280.24,14852.67,1.84,2.93,1.1
187,1609,18,3,1421,20.0,496.38,9927.56,4.98,4.57,-0.4
188,818,15,3,2333,23.0,531.25,12218.83,10.54,11.63,1.09
189,1156,9,1,1003,63.0,528.17,33274.71,2.13,4.4,2.27
190,1378,10,3,2141,44.0,555.05,24422.0,10.89,9.05,-1.84
191,2036,17,3,321,11.0,498.13,5479.42,6.86,6.02,-0.84
192,784,11,2,1677,86.0,280.42,24115.84,3.22,3.32,0.1
193,1453,12,1,1047,39.0,500.32,19512.59,1.82,3.87,2.06
194,912,9,2,1780,36.0,276.64,9958.93,2.17,3.1,0.94
195,847,13,5,2388,18.0,379.72,6835.0,6.25,7.39,1.15
196,72,5,2,1252,55.0,300.21,16511.47,4.14,4.09,-0.05
197,1866,22,4,2436,51.0,302.58,15431.7,3.03,2.57,-0.46
198,365,8,4,1174,56.0,299.8,16788.67,2.63,3.88,1.24
199,126,7,4,1953,80.0,293.33,23466.67,6.54,6.7,0.16
200,619,7,3,1945,5.0,520.15,2600.77,6.04,4.74,-1.3
201,1216,12,1,1080,41.0,516.77,21187.42,3.23,4.5,1.27
202,1078,14,2,1576,110.0,277.21,30492.91,1.8,2.26,0.46
203,63,4,1,1156,65.0,497.45,32334.21,3.2,1.58,-1.63
204,470,5,2,2081,60.0,294.3,17658.04,1.28,2.63,1.35
205,679,3,2,1374,25.0,284.82,7120.62,2.1,3.03,0.93
206,1468,20,5,1179,15.0,372.57,5588.57,5.72,6.23,0.51
207,1073,10,1,394,77.0,519.17,39976.41,2.05,2.2,0.15
208,1537,21,4,1431,38.0,293.74,11162.11,4.18,4.33,0.16
209,2127,21,2,2386,55.0,288.85,15887.0,1.29,0.92,-0.37
210,678,1,4,1117,14.0,316.12,4425.66,6.25,6.07,-0.18
211,621,3,2,2234,91.0,287.1,26126.19,3.48,3.1,-0.38
212,1166,13,1,970,123.0,549.34,67568.48,2.1,0.3,-1.8
213,2180,23,2,253,78.0,293.35,22881.09,2.39,0.55,-1.84
214,545,6,2,614,95.0,275.22,26145.86,2.07,3.2,1.13
215,416,6,1,173,31.0,535.86,16611.57,3.56,2.89,-0.67
216,204,7,5,1566,29.0,397.9,11539.22,6.14,6.51,0.37
217,365,4,1,589,31.0,536.26,16624.13,2.18,3.32,1.14
218,1191,14,1,12,45.0,532.23,23950.21,1.93,0.3,-1.63
219,1411,12,3,2021,8.0,496.38,3971.06,8.44,7.08,-1.37
220,880,12,4,2242,19.0,290.9,5527.13,5.56,6.91,1.35
221,987,13,1,1408,84.0,528.61,44403.34,2.03,0.41,-1.62
222,1487,19,1,768,38.0,534.9,20326.11,2.66,4.78,2.12
223,1053,13,4,510,47.0,312.56,14690.35,3.31,5.99,2.68
224,1066,12,4,1665,63.0,313.46,19747.88,5.15,4.64,-0.51
225,430,4,1,1734,54.0,498.57,26922.78,2.52,1.7,-0.81
226,143,1,4,2484,59.0,299.48,17669.04,2.54,3.65,1.11
227,1731,20,5,2425,26.0,372.24,9678.22,7.51,8.94,1.43
228,172,5,2,2100,27.0,295.62,7981.61,1.1,1.11,0.01
229,435,6,2,2052,46.0,273.05,12560.23,1.63,0.76,-0.86
230,1085,12,5,1836,10.0,401.86,4018.61,6.69,6.56,-0.13
231,878,13,2,2374,72.0,301.2,21686.73,2.27,1.1,-1.17
232,874,15,5,923,60.0,383.31,22998.76,6.53,5.47,-1.06
233,993,12,2,2126,33.0,304.56,10050.56,3.32,3.27,-0.05
234,1176,9,4,1914,178.0,299.94,53388.47,5.5,6.07,0.57
235,1248,15,1,1927,27.0,531.4,14347.84,1.9,1.06,-0.84
236,63,7,4,1849,25.0,318.41,7960.14,4.01,5.37,1.36
237,170,4,3,2181,27.0,512.28,13831.58,7.62,7.49,-0.13
238,195,3,5,523,5.0,382.25,1911.25,6.79,7.0,0.22
239,899,11,2,1351,24.0,300.85,7220.41,2.94,0.8,-2.14
240,1632,18,1,117,52.0,523.97,27246.21,3.06,2.23,-0.83
241,2137,17,3,2480,21.0,525.13,11027.78,10.59,12.19,1.6
242,1364,15,5,1968,33.0,363.78,12004.85,7.22,7.66,0.43
243,735,9,5,1520,24.0,389.14,9339.45,8.06,8.65,0.59
244,7,6,1,2243,71.0,497.89,35350.08,2.2,4.14,1.93
245,860,10,4,1418,29.0,291.66,8458.28,4.85,3.55,-1.3
246,1430,14,4,544,54.0,317.73,17157.43,4.74,3.48,-1.26
247,1467,18,1,793,62.0,524.83,32539.61,2.58,3.88,1.29
248,811,16,4,2157,33.0,297.96,9832.63,3.3,4.82,1.52
249,866,12,4,962,54.0,315.81,17053.54,4.28,5.59,1.31
250,1028,9,3,709,17.0,514.22,8741.76,9.23,12.29,3.06
251,573,8,1,611,96.0,503.6,48345.23,3.67,3.28,-0.39
252,1047,15,2,2075,77.0,279.53,21523.59,2.31,3.83,1.52
253,308,1,2,758,55.0,296.91,16330.15,2.39,2.73,0.33
254,84,2,3,1478,18.0,523.71,9426.72,7.96,9.51,1.55
255,888,9,4,769,63.0,292.53,18429.55,3.01,3.42,0.42
256,826,15,1,1729,106.0,541.5,57399.28,3.88,3.1,-0.78
257,551,5,3,1969,6.0,521.57,3129.41,8.84,10.07,1.23
258,1324,13,1,307,53.0,531.13,28149.91,2.53,3.19,0.66
259,1296,14,2,2445,56.0,284.97,15958.25,2.39,2.58,0.19
260,1643,17,4,1660,36.0,313.59,11289.08,2.86,2.31,-0.55
261,1648,21,1,2028,39.0,497.36,19397.19,1.98,1.37,-0.6
262,967,11,4,571,25.0,317.6,7939.98,3.12,4.82,1.7
263,240,7,4,60,23.0,298.32,6861.44,6.46,8.21,1.75
264,899,11,3,790,23.0,513.83,11818.19,7.78,6.74,-1.03
265,1685,19,2,1200,44.0,302.51,13310.65,3.71,2.89,-0.82
266,329,2,2,371,43.0,286.85,12334.54,2.94,4.15,1.21
267,678,6,4,645,80.0,322.62,25809.85,3.47,4.27,0.79
268,1251,10,5,1753,5.0,371.28,1856.42,9.55,9.95,0.4
269,2136,22,4,1451,23.0,298.84,6873.43,3.16,2.68,-0.48
270,207,4,1,1096,48.0,537.74,25811.52,2.52,2.41,-0.11
271,191,1,4,1769,80.0,313.62,25089.3,3.4,4.06,0.66
272,2090,21,2,362,31.0,291.73,9043.71,2.8,4.15,1.35
273,6,3,4,2287,31.0,302.08,9364.58,4.04,3.98,-0.06
274,548,3,4,2409,31.0,304.47,9438.42,2.54,1.31,-1.22
275,323,1,4,1733,49.0,312.74,15324.33,4.44,5.29,0.85
276,29,3,2,2302,77.0,294.49,22675.4,2.14,1.58,-0.56
277,219,1,5,687,35.0,391.29,13695.21,9.46,11.56,2.1
278,1485,21,2,98,53.0,302.91,16054.2,2.91,3.85,0.95
279,674,4,1,1707,90.0,513.83,46244.46,2.15,0.75,-1.41
280,1290,13,4,1154,67.0,299.58,20072.08,4.9,3.17,-1.73
281,685,2,2,457,76.0,291.18,22129.79,2.91,2.06,-0.85
282,885,9,1,1980,58.0,538.85,31253.29,3.48,5.52,2.04
283,210,4,1,1477,84.0,540.55,45406.28,1.98,2.43,0.44
284,1476,17,4,2420,20.0,318.01,6360.25,5.84,6.47,0.63
285,835,14,1,1983,45.0,506.21,22779.44,2.14,2.16,0.02
286,729,6,2,2045,38.0,289.87,11015.21,2.81,1.0,-1.81
287,627,1,4,107,90.0,292.81,26352.7,4.84,5.84,1.0
288,1757,20,1,562,32.0,549.21,17574.68,1.72,2.62,0.9
289,326,6,2,1127,78.0,272.36,21244.22,2.58,3.34,0.76
290,1975,22,4,1023,47.0,308.21,14485.92,2.6,0.97,-1.63
291,738,14,2,667,54.0,291.22,15725.95,1.82,0.6,-1.22
292,1329,10,4,540,68.0,317.16,21567.05,2.93,3.25,0.32
293,1236,14,5,2144,21.0,400.39,8408.09,9.46,10.16,0.7
294,353,8,4,1872,55.0,293.54,16144.61,3.37,4.4,1.03
295,892,16,5,2131,9.0,392.13,3529.17,5.89,6.91,1.02
296,777,9,3,999,21.0,502.79,10558.65,4.54,7.41,2.87
297,1786,19,5,2359,19.0,386.1,7335.95,5.73,4.26,-1.48
298,355,1,5,2395,45.0,368.27,16572.23,8.34,7.29,-1.05
299,64,3,3,1177,22.0,527.52,11605.51,7.09,8.55,1.46
300,592,8,1,1322,29.0,518.19,15027.57,3.43,4.57,1.14
301,1461,15,5,555,19.0,386.15,7336.91,10.21,11.05,0.84
302,650,3,5,2368,26.0,369.4,9604.3,12.1,13.03,0.93
303,1654,23,2,1768,29.0,290.81,8433.46,2.45,2.77,0.32
304,1764,24,1,1526,45.0,512.43,23059.29,2.09,1.83,-0.26
305,1172,13,1,2007,19.0,553.27,10512.16,3.57,2.77,-0.8
306,121,1,2,2128,77.0,294.23,22655.49,3.35,2.32,-1.03
307,1716,23,4,651,51.0,292.71,14928.2,2.81,2.23,-0.58
308,453,8,2,175,63.0,290.93,18328.67,2.01,2.47,0.46
309,2051,20,3,840,22.0,541.54,11913.9,10.57,11.79,1.21
310,646,3,1,1064,42.0,541.37,22737.56,4.17,3.58,-0.6
311,2004,18,3,857,37.0,548.73,20302.94,5.99,5.58,-0.41
312,1341,14,3,730,70.0,502.35,35164.72,6.06,6.46,0.4
313,1887,22,1,2112,17.0,556.34,9457.72,2.29,0.66,-1.64
314,760,12,3,602,5.0,520.73,2603.64,8.9,11.14,2.24
315,841,13,4,1913,80.0,310.5,24839.77,2.35,1.16,-1.19
316,1025,10,1,534,104.0,550.06,57206.63,2.12,1.9,-0.21
317,12,5,1,2493,40.0,553.93,22157.4,2.32,3.56,1.24
318,320,2,4,682,48.0,311.75,14963.83,4.74,4.73,-0.01
319,2015,17,5,1476,23.0,389.71,8963.36,13.77,15.63,1.86
320,678,2,4,2006,19.0,324.31,6161.9,3.46,2.71,-0.74
321,1332,12,5,1398,16.0,395.42,6326.73,7.12,7.94,0.82
322,1186,9,1,2057,93.0,496.59,46183.3,2.28,1.8,-0.48
323,437,4,2,1940,66.0,278.38,18373.33,2.23,1.59,-0.63
324,1055,9,2,1749,104.0,298.31,31024.11,4.36,5.46,1.11
325,1006,11,4,1704,51.0,325.65,16608.04,4.16,5.65,1.49
326,2075,19,2,138,54.0,279.53,15094.45,1.45,1.46,0.01
327,431,8,2,1022,90.0,278.8,25091.96,2.65,4.24,1.58
328,1560,22,1,1845,153.0,551.92,84444.47,1.5,0.9,-0.6
329,805,16,4,2295,52.0,297.79,15485.01,3.23,3.56,0.34
330,1605,18,4,2491,44.0,301.98,13287.13,3.96,1.49,-2.47
331,1106,14,1,49,71.0,497.3,35308.52,2.93,1.77,-1.17
332,1130,14,4,274,33.0,305.78,10090.71,3.32,3.27,-0.05
333,1413,16,5,1007,64.0,368.22,23565.78,10.89,12.53,1.64
334,1132,10,4,2020,129.0,324.98,41921.88,4.23,3.3,-0.93
335,998,10,4,833,18.0,307.27,5530.77,3.49,3.02,-0.46
336,1099,13,1,2343,49.0,511.66,25071.43,2.64,3.43,0.79
337,1105,13,3,2402,14.0,495.73,6940.2,6.78,6.87,0.09
338,1969,24,4,286,100.0,292.2,29219.69,5.32,6.75,1.44
339,1559,23,4,986,25.0,316.39,7909.87,2.67,3.55,0.87
340,13,5,3,909,17.0,518.83,8820.17,7.29,7.55,0.26
341,1887,22,4,1467,54.0,294.14,15883.67,2.78,2.41,-0.37
342,780,14,2,278,92.0,273.53,25164.6,3.96,5.27,1.31
343,238,1,1,829,24.0,554.72,13313.27,1.89,2.39,0.5
344,2166,24,2,81,100.0,299.18,29917.82,2.13,0.51,-1.62
345,1950,20,3,1735,11.0,500.89,5509.74,12.89,12.88,-0.02
346,1451,16,3,1679,25.0,514.55,12863.64,9.96,10.8,0.84
347,1816,19,2,1918,29.0,271.96,7886.93,2.52,3.23,0.71
348,690,1,2,428,92.0,300.33,27630.18,3.76,3.37,-0.39
349,1379,14,3,184,20.0,542.38,10847.57,5.03,5.17,0.13
350,216,5,2,2121,38.0,287.15,10911.8,1.81,2.01,0.2
351,433,7,4,1878,58.0,290.69,16860.0,4.05,4.17,0.12
352,1146,16,3,288,11.0,496.19,5458.13,10.93,12.88,1.95
353,1816,21,2,984,51.0,288.21,14698.88,1.29,0.3,-0.99
354,1593,17,3,774,21.0,502.86,10560.02,8.46,8.11,-0.35
355,1693,19,1,1584,72.0,499.04,35930.95,2.35,3.32,0.96
356,1326,16,5,643,10.0,389.06,3890.56,5.38,7.15,1.78
357,2034,20,5,431,2.0,368.52,737.04,7.03,7.49,0.47
358,1454,14,5,220,8.0,376.07,3008.6,7.25,6.23,-1.02
359,42,7,2,1325,46.0,290.42,13359.38,1.87,1.21,-0.66
360,1905,20,3,1696,23.0,527.31,12128.24,6.85,6.97,0.12
361,592,1,2,1075,45.0,299.17,13462.54,2.55,1.0,-1.55
362,1248,12,2,1261,63.0,294.34,18543.72,2.02,4.14,2.13
363,1967,18,1,1077,70.0,515.5,36084.98,1.86,0.9,-0.96
364,61,5,4,538,55.0,304.69,16757.69,3.77,6.08,2.3
365,1901,21,4,1655,48.0,325.55,15626.46,5.56,6.85,1.28
366,330,1,1,102,44.0,497.36,21883.8,2.69,2.63,-0.06
367,503,6,3,810,11.0,539.58,5935.38,7.59,7.87,0.28
368,616,6,1,312,109.0,539.0,58750.67,1.92,0.3,-1.62
369,1285,14,2,123,55.0,298.11,16396.08,1.57,2.61,1.04
370,973,14,3,891,15.0,524.23,7863.44,7.26,8.09,0.83
371,1071,14,5,2201,7.0,363.28,2542.99,10.87,10.63,-0.24
372,580,1,2,1886,21.0,285.39,5993.21,2.63,2.99,0.36
373,652,7,3,1716,39.0,508.06,19814.28,6.84,6.83,-0.01
374,517,5,1,1414,114.0,550.93,62805.81,2.76,3.97,1.21
375,746,13,3,2358,19.0,537.39,10210.36,7.06,5.82,-1.24
376,1600,21,3,2355,9.0,509.77,4587.92,8.32,5.55,-2.78
377,1747,21,5,51,26.0,374.66,9741.16,5.93,7.69,1.76
378,1346,12,1,1375,123.0,541.5,66604.31,2.18,2.81,0.64
379,324,1,1,1448,160.0,554.76,88761.0,2.57,4.21,1.64
